symbol,sumOpenInterest,sumOpenInterestValue,timestamp,timestamp_dt,sample_position
ADAUSDT,312343199.00000000,75600384.96573332,1775563200000,2026-04-07 12:00:00+00:00,earliest
ADAUSDT,404312199.00000000,107830063.47330000,1778147100000,2026-05-07 09:45:00+00:00,latest
ADAUSDT,404112873.00000000,107817314.51640000,1778148000000,2026-05-07 10:00:00+00:00,latest
ADAUSDT,403786529.00000000,107730245.93720000,1778148900000,2026-05-07 10:15:00+00:00,latest
ADAUSDT,402835564.00000000,107113976.46760000,1778149800000,2026-05-07 10:30:00+00:00,latest
ADAUSDT,403117745.00000000,107833996.78750000,1778150700000,2026-05-07 10:45:00+00:00,latest
AVAXUSDT,8193720.00000000,70588897.80000000,1775559600000,2026-04-07 11:00:00+00:00,earliest
AVAXUSDT,8221652.00000000,70790808.41016260,1775560500000,2026-04-07 11:15:00+00:00,earliest
AVAXUSDT,8230155.00000000,70754642.53500000,1775561400000,2026-04-07 11:30:00+00:00,earliest
AVAXUSDT,8255081.00000000,71183950.95650214,1775562300000,2026-04-07 11:45:00+00:00,earliest
AVAXUSDT,8265056.00000000,71153867.10400000,1775563200000,2026-04-07 12:00:00+00:00,earliest
AVAXUSDT,8991313.00000000,86060191.88456295,1778147100000,2026-05-07 09:45:00+00:00,latest
AVAXUSDT,8992827.00000000,86009918.20733637,1778148000000,2026-05-07 10:00:00+00:00,latest
AVAXUSDT,8991952.00000000,85981045.02400000,1778148900000,2026-05-07 10:15:00+00:00,latest
AVAXUSDT,8978351.00000000,85527771.62600000,1778149800000,2026-05-07 10:30:00+00:00,latest
AVAXUSDT,8986884.00000000,86049414.30000000,1778150700000,2026-05-07 10:45:00+00:00,latest
LINKUSDT,9172304.86000000,79799035.68012820,1775559600000,2026-04-07 11:00:00+00:00,earliest
LINKUSDT,9164179.06000000,79691701.10576000,1775560500000,2026-04-07 11:15:00+00:00,earliest
LINKUSDT,9157205.63000000,79633653.93697470,1775561400000,2026-04-07 11:30:00+00:00,earliest
LINKUSDT,9155860.24000000,79563732.93633145,1775562300000,2026-04-07 11:45:00+00:00,earliest
LINKUSDT,9148055.29000000,79368527.69604000,1775563200000,2026-04-07 12:00:00+00:00,earliest
LINKUSDT,9878495.80000000,98676294.54620000,1778147100000,2026-05-07 09:45:00+00:00,latest
LINKUSDT,9875212.01000000,98761995.31201000,1778148000000,2026-05-07 10:00:00+00:00,latest
LINKUSDT,9877353.10000000,98690635.70920238,1778148900000,2026-05-07 10:15:00+00:00,latest
LINKUSDT,9865094.25000000,98286091.16370140,1778149800000,2026-05-07 10:30:00+00:00,latest
LINKUSDT,9897619.89000000,98995554.38852829,1778150700000,2026-05-07 10:45:00+00:00,latest
LTCUSDT,1160682.55900000,61585816.58054000,1775559600000,2026-04-07 11:00:00+00:00,earliest
LTCUSDT,1160981.34000000,61648109.15400000,1775560500000,2026-04-07 11:15:00+00:00,earliest
LTCUSDT,1161177.61700000,61704978.56738000,1775561400000,2026-04-07 11:30:00+00:00,earliest
LTCUSDT,1162382.82600000,61850390.17146000,1775562300000,2026-04-07 11:45:00+00:00,earliest
LTCUSDT,1161447.26900000,61764718.18644125,1775563200000,2026-04-07 12:00:00+00:00,earliest
LTCUSDT,1268318.23400000,72011577.93537790,1778147100000,2026-05-07 09:45:00+00:00,latest
LTCUSDT,1269055.82000000,72069680.01780000,1778148000000,2026-05-07 10:00:00+00:00,latest
LTCUSDT,1268891.43600000,72123789.22224000,1778148900000,2026-05-07 10:15:00+00:00,latest
LTCUSDT,1268773.91400000,71888729.96724000,1778149800000,2026-05-07 10:30:00+00:00,latest
LTCUSDT,1269544.65100000,72237103.08343758,1778150700000,2026-05-07 10:45:00+00:00,latest
