timeframe,param_id,exit_model,friction_case,entry_mode,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-06,590,7190.740354535975,0.3271186440677966,-0.5734502148658687,-338.3356267708625,,,0.38007023162617276,1.074760722860584,-1.3747215271610964
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-07,575,6878.812691914022,0.3339130434782609,-0.5028070841534271,-289.1140733882206,,,0.4254494926990201,1.1150332075912441,-1.313839293069816
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-08,530,6250.898082744702,0.31886792452830187,-0.5062451868634841,-268.30994903764656,,,0.42507011840695935,1.173804490898522,-1.2927504376717363
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-09,528,6453.047054722901,0.36742424242424243,-0.5244057492124823,-276.8862355841907,,,0.42395119604507153,1.0504036508176138,-1.4391154007269693
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-10,521,6201.067209775967,0.3742802303262956,-0.36122818378330857,-188.19988375110376,,,0.5432055472206525,1.1476992940345403,-1.2638075033369298
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-11,543,6678.271483689933,0.3885819521178637,-0.32012842043499906,-173.8297322962045,,,0.5817867499117515,1.146060762214076,-1.2519534732631763
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-12,526,6224.658791765103,0.37072243346007605,-0.44225694848127517,-232.62715490115073,,,0.4780000655406977,1.0924040598359004,-1.3463623763418469
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2026-01,604,7260.423723003085,0.27483443708609273,-0.7230631465581019,-436.7301405210935,,,0.2849113909321492,1.048226247599984,-1.394373738864591
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2026-02,579,7658.263296869106,0.38687392055267705,-0.31399133427923087,-181.80098254767466,,,0.5880454801654759,1.1585368491793886,-1.2431358782080502
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2026-03,555,6599.023397761953,0.3099099099099099,-0.5701493240911003,-316.4328748705607,,,0.3667753940211358,1.0656033077221847,-1.3047431952970665
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2026-04,522,6492.872649875843,0.28544061302681994,-0.7320485301506547,-382.1293327386418,,,0.2862612109922144,1.0286018760061246,-1.4353646441382153
