timeframe,param_id,exit_model,friction_case,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.5,model_b,base,1.5,1.5,1.5,0.8,0.2,0.5,True,1.2,2.0,5937,-0.37028195003506587,-2198.363937358186,-2199.5184100327037,0.5724751595156261,5658,-0.3515007427052029,-1988.7912022260377,-1988.2680954272214,0.5847001878223906,0.018781207329862992,-279
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.5,model_b,stress,1.5,1.5,1.5,0.8,0.2,0.5,True,1.2,2.0,6005,-0.8082297697373164,-4853.419767272585,-4851.91559731344,0.30636894307346535,5707,-0.7790823264806699,-4446.222837225183,-4444.717223822032,0.31540011757459685,0.029147443256646532,-298
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,1.5,1.5,1.5,0.8,0.2,0.65,True,1.0,1.5,5465,-0.4614657850239085,-2521.91051515566,-2520.6734876785135,0.46798255428244295,5218,-0.47854730027721165,-2497.0598128464903,-2495.7565203042695,0.44676177689450164,-0.017081515253303148,-247
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.65,model_a,stress,1.5,1.5,1.5,0.8,0.2,0.65,True,1.0,1.5,5480,-0.9683848341550614,-5306.748891169736,-5305.144247378748,0.2093024056224137,5239,-0.9839464245841798,-5154.895318396518,-5153.288942472747,0.1972001998575587,-0.015561590429118421,-241
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.65,model_b,base,1.5,1.5,1.5,0.8,0.2,0.65,True,1.2,2.0,5231,-0.3447971898659458,-1803.6341001887627,-1806.143904705265,0.5967683609317953,5028,-0.3465720876979597,-1742.5644569453414,-1743.3964764069942,0.5888501214322448,-0.0017748978320138997,-203
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.65,model_b,stress,1.5,1.5,1.5,0.8,0.2,0.65,True,1.2,2.0,5280,-0.7845200987296792,-4142.266121292706,-4140.761951333561,0.31931716711255204,5064,-0.7757149623564511,-3928.2205693730684,-3926.7149559699146,0.31696000728896057,0.008805136373228106,-216
15m,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,1.5,1.5,2.5,0.7,0.3,0.5,True,1.0,1.5,5375,-0.4972065786108773,-2672.4853600334654,-2671.1829338578364,0.4410623519463797,5094,-0.500790500981504,-2551.0268119997813,-2552.1784878454737,0.4303602604723364,-0.003583922370626713,-281
15m,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.5,model_a,stress,1.5,1.5,2.5,0.7,0.3,0.5,True,1.0,1.5,5398,-1.008684770438797,-5444.880390828625,-5443.275747037642,0.19626049567065434,5119,-1.0122530634743632,-5181.723431925265,-5180.117056001484,0.1876857032337492,-0.0035682930355662723,-279
15m,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.5,model_b,base,1.5,1.5,2.5,0.7,0.3,0.5,True,1.2,2.0,5133,-0.37960765535314456,-1948.526094927691,-1956.6540595423514,0.5669604271627403,4900,-0.377986568820224,-1852.1341872190978,-1859.345902715242,0.5613096405616899,0.0016210865329205348,-233
15m,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.5,model_b,stress,1.5,1.5,2.5,0.7,0.3,0.5,True,1.2,2.0,5186,-0.8114902892766153,-4208.388640188527,-4206.8844702293645,0.30868642278768155,4937,-0.8228058527724542,-4062.1924951376063,-4060.6868817344616,0.2940252938331674,-0.011315563495838954,-249
15m,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.65,model_a,base,1.5,1.5,2.5,0.7,0.3,0.65,True,1.0,1.5,4548,-0.48681385562269913,-2214.0294153720356,-2215.101458858796,0.45036931799560503,4360,-0.5107812169653035,-2227.006105968723,-2230.2444804911647,0.4232056389869727,-0.02396736134260441,-188
15m,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.65,model_a,stress,1.5,1.5,2.5,0.7,0.3,0.65,True,1.0,1.5,4565,-1.0028204604170894,-4577.875401804013,-4576.270758013033,0.20000689386715637,4381,-1.0233152949827218,-4483.144307319304,-4481.537931395511,0.18435938320081036,-0.02049483456563239,-184
15m,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.65,model_b,base,1.5,1.5,2.5,0.7,0.3,0.65,True,1.2,2.0,4380,-0.3615008876115887,-1583.3738877387586,-1594.596103444514,0.5844266572016574,4223,-0.3879099706270323,-1638.1438059579575,-1654.0914079498668,0.5522998721035776,-0.02640908301544359,-157
15m,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.65,model_b,stress,1.5,1.5,2.5,0.7,0.3,0.65,True,1.2,2.0,4418,-0.7993491955813823,-3531.5247460785467,-3530.020576119394,0.3162728709458636,4251,-0.8297275779912644,-3527.171934040865,-3527.231582562182,0.2907153150994262,-0.03037838240988211,-167
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.5,model_a,base,1.5,1.5,2.5,0.8,0.2,0.5,True,1.0,1.5,3929,-0.48328825391940483,-1898.8395496493415,-1897.5371234737154,0.4511274876358196,3773,-0.4832929782098185,-1823.4644067856452,-1822.2088495917453,0.44402513788683357,-4.724290413649079e-06,-156
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.5,model_a,stress,1.5,1.5,2.5,0.8,0.2,0.5,True,1.0,1.5,3933,-0.9902903959157077,-3894.8121271364785,-3893.2074833454976,0.202280729267539,3785,-0.9865157613862995,-3733.9621568471434,-3732.3557809233494,0.1973782763831602,0.003774634529408183,-148
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.5,model_b,base,1.5,1.5,2.5,0.8,0.2,0.5,True,1.2,2.0,3783,-0.3724724800726272,-1409.0633921147487,-1409.6934772672068,0.5722978076519121,3663,-0.36206089478665227,-1326.2290576035073,-1328.5631163504536,0.5753653504450593,0.010411585285974911,-120
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.5,model_b,stress,1.5,1.5,2.5,0.8,0.2,0.5,True,1.2,2.0,3810,-0.8096269108876188,-3084.6785304818277,-3083.174360522679,0.30786139860628414,3686,-0.7926613835691694,-2921.7498598359584,-2920.2442464328074,0.3079414658251506,0.01696552731844947,-124
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.65,model_a,base,1.5,1.5,2.5,0.8,0.2,0.65,True,1.0,1.5,3469,-0.4643973045873451,-1610.9942496135002,-1609.6918234378752,0.46747065025455853,3360,-0.48653176110732776,-1634.7467173206212,-1635.2341111205242,0.4420255023027365,-0.022134456519982637,-109
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.65,model_a,stress,1.5,1.5,2.5,0.8,0.2,0.65,True,1.0,1.5,3474,-0.9763941865058018,-3391.9934039211553,-3390.3887601301694,0.2087411615546038,3369,-0.9942051996857298,-3349.477317741224,-3347.8709418174317,0.19477229972846424,-0.01781101317992806,-105
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.65,model_b,base,1.5,1.5,2.5,0.8,0.2,0.65,True,1.2,2.0,3358,-0.33979396741520834,-1141.0281425802696,-1143.7948392744506,0.6041073458814256,3270,-0.3549412228270176,-1160.6577986443476,-1164.2626711783485,0.5823889782622413,-0.01514725541180928,-88
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.65,model_b,stress,1.5,1.5,2.5,0.8,0.2,0.65,True,1.2,2.0,3378,-0.7800836074387243,-2635.1224259280107,-2633.6182559688586,0.3253154744045375,3288,-0.7889322221813446,-2594.009146532261,-2592.5463173961793,0.3103908699663905,-0.008848614742620331,-90
15m,range1.5_ret1.5_vz2_cl0.7_cs0.3_body0.5,model_a,base,1.5,1.5,2.0,0.7,0.3,0.5,True,1.0,1.5,6684,-0.49868376894671507,-3333.2023116398436,-3331.899885464211,0.43929756743245707,6302,-0.49264390308318523,-3104.641877230233,-3108.5658916507214,0.43677167780999443,0.006039865863529836,-382
15m,range1.5_ret1.5_vz2_cl0.7_cs0.3_body0.5,model_a,stress,1.5,1.5,2.0,0.7,0.3,0.5,True,1.0,1.5,6717,-1.005125456218315,-6751.427689418422,-6749.823045627412,0.19660335640559642,6336,-0.9987156997127987,-6327.862673380293,-6326.25629745649,0.19211806321817126,0.006409756505516229,-381
15m,range1.5_ret1.5_vz2_cl0.7_cs0.3_body0.5,model_b,base,1.5,1.5,2.0,0.7,0.3,0.5,True,1.2,2.0,6345,-0.3837671301606956,-2435.0024408696136,-2439.329301102751,0.5617329396746187,6012,-0.3677122555978226,-2210.6860806541094,-2214.615460490034,0.5699511805866053,0.016054874562872967,-333
15m,range1.5_ret1.5_vz2_cl0.7_cs0.3_body0.5,model_b,stress,1.5,1.5,2.0,0.7,0.3,0.5,True,1.2,2.0,6420,-0.8164067382976725,-5241.331259871057,-5239.82708991188,0.304132057821035,6071,-0.8131788394825294,-4936.808734498436,-4936.669181495422,0.298562791844226,0.003227898815143071,-349
15m,range1.5_ret1.5_vz2_cl0.7_cs0.3_body0.65,model_a,base,1.5,1.5,2.0,0.7,0.3,0.65,True,1.0,1.5,5651,-0.49438015946879554,-2793.7422811581637,-2792.4398549825337,0.4436238470565087,5383,-0.5016238542014553,-2700.2412071664335,-2705.585983522451,0.4307183125230625,-0.007243694732659733,-268
15m,range1.5_ret1.5_vz2_cl0.7_cs0.3_body0.65,model_a,stress,1.5,1.5,2.0,0.7,0.3,0.65,True,1.0,1.5,5673,-1.0039936533664406,-5695.655995547818,-5694.051351756826,0.1980426544867034,5407,-1.0101864475439368,-5462.078121870067,-5460.471745946279,0.18918262292056587,-0.006192794177496186,-266
15m,range1.5_ret1.5_vz2_cl0.7_cs0.3_body0.65,model_b,base,1.5,1.5,2.0,0.7,0.3,0.65,True,1.2,2.0,5421,-0.3722812377090182,-2018.1365896205878,-2031.4945173491587,0.5733726469085598,5179,-0.37537616989049244,-1944.0731838628603,-1949.3576899592565,0.5625969728831959,-0.0030949321814742192,-242
15m,range1.5_ret1.5_vz2_cl0.7_cs0.3_body0.65,model_b,stress,1.5,1.5,2.0,0.7,0.3,0.65,True,1.2,2.0,5471,-0.8053196298989954,-4405.903695177404,-4404.399525218245,0.31132022164700146,5221,-0.8210291214539193,-4286.593043110913,-4288.163989258905,0.29482449715517733,-0.01570949155492385,-250
15m,range1.5_ret1.5_vz2_cl0.8_cs0.2_body0.5,model_a,base,1.5,1.5,2.0,0.8,0.2,0.5,True,1.0,1.5,4952,-0.4839399371566948,-2396.4705687999526,-2395.1681426243226,0.44970375450376826,4719,-0.47804197337435494,-2255.880072353581,-2256.383039347871,0.44783087619752315,0.005897963782339866,-233
15m,range1.5_ret1.5_vz2_cl0.8_cs0.2_body0.5,model_a,stress,1.5,1.5,2.0,0.8,0.2,0.5,True,1.0,1.5,4959,-0.9845990232840005,-4882.626556465359,-4881.021912674375,0.20275058259880213,4733,-0.9789752238609395,-4633.489734533827,-4631.883358610033,0.1991715913786271,0.0056237994230610155,-226
15m,range1.5_ret1.5_vz2_cl0.8_cs0.2_body0.5,model_b,base,1.5,1.5,2.0,0.8,0.2,0.5,True,1.2,2.0,4741,-0.3720154382327444,-1763.7251926614413,-1765.4513792900166,0.5715131799180215,4546,-0.34821471641042107,-1582.9841008017743,-1585.1523255937152,0.5876077300595636,0.023800721822323345,-195
15m,range1.5_ret1.5_vz2_cl0.8_cs0.2_body0.5,model_b,stress,1.5,1.5,2.0,0.8,0.2,0.5,True,1.2,2.0,4780,-0.8022836942058117,-3834.9160583037797,-3833.411888344629,0.30951346563100135,4578,-0.7827339315436959,-3583.3559386070397,-3581.850325203885,0.31269042952740633,0.019549762662115833,-202
15m,range1.5_ret1.5_vz2_cl0.8_cs0.2_body0.65,model_a,base,1.5,1.5,2.0,0.8,0.2,0.65,True,1.0,1.5,4361,-0.4690707740422095,-2045.6176455980756,-2044.315219422446,0.46223031626151906,4198,-0.481479787076116,-2021.2521461455349,-2023.181444612388,0.44569455075757713,-0.012409013033906513,-163
