timeframe,param_id,exit_model,friction_case,entry_mode,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r,best_symbol_ev_share,best_symbol_total_ev_r,best_month_ev_share,best_month_total_ev_r
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,5904,5917.501029041848,0.350440379403794,-0.47506891999207884,-2804.8069036332336,-2803.503611091008,31,0.4495828226158715,1.1072870169194897,-1.3287571686152955,,-465.8881999090804,,-280.3004082558899
15m,range2_ret2_vz2_cl0.8_cs0.2_body0.5,model_a,base,next_close,2.0,2.0,2.0,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,3458,3466.105768681036,0.3548293811451706,-0.4762044416280288,-1646.7149591497234,-1648.9488478900173,28,0.45326489435244455,1.11262545422691,-1.3500252763272713,,-275.04430316657624,,-227.77192086629125
15m,range1.5_ret1.5_vz2_cl0.8_cs0.2_body0.5,model_a,base,next_close,1.5,1.5,2.0,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,4719,4730.0616316963005,0.34901462174189446,-0.47804197337435494,-2255.880072353581,-2256.383039347871,37,0.44783087619752315,1.1108727761801873,-1.3299113068757649,,-372.83536948389843,,-182.91663746982374
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,5218,5229.932311914018,0.3499425067075508,-0.47854730027721165,-2497.0598128464903,-2495.7565203042695,30,0.44676177689450164,1.1043125401171079,-1.330641070489484,,-236.2925344727016,,-139.44331247505667
15m,range1.5_ret1.5_vz2_cl0.8_cs0.2_body0.65,model_a,base,next_close,1.5,1.5,2.0,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,4198,4207.840375050026,0.3492139113863745,-0.481479787076116,-2021.2521461455349,-2023.181444612388,32,0.44569455075757713,1.1085995550322034,-1.3347214838297017,,-137.19026265630552,,-229.80306140064351
15m,range2_ret2_vz2.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,2.0,2.0,2.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2905,2911.809502029615,0.353184165232358,-0.4815553431174185,-1398.9182717561007,-1404.9478508243972,26,0.4493555055586096,1.1126632592893109,-1.3520546970659573,,-235.60451600553932,,-54.52210486814554
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,1.5,1.5,2.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,3773,3781.8441484191867,0.34799893983567454,-0.4832929782098185,-1823.4644067856452,-1822.2088495917453,40,0.44402513788683357,1.1091364206055063,-1.3332359866019006,,-112.20513804340187,,-216.8013316285626
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.65,model_a,base,next_close,1.5,1.5,2.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,3360,3367.876050540278,0.34851190476190474,-0.48653176110732776,-1634.7467173206212,-1635.2341111205242,35,0.4420255023027365,1.105927240118712,-1.3384136662858077,,-104.01458086190846,,-86.67311537626921
15m,range2_ret2_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,2.0,2.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,4052,4061.4981419015494,0.351431391905232,-0.48662582408847777,-1971.807839206512,-1972.1476835969133,29,0.4448619428863146,1.1096316936914954,-1.3515690148490112,,-326.87375567827854,,-84.41437464653168
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,7731,7748.678938943517,0.3465269693441987,-0.4872970017720381,-3767.293120699627,-3766.119597660066,26,0.4398043884603299,1.1040190191660848,-1.3311480746329312,,-307.5645202911403,,-188.7729205651042
15m,range2_ret2_vz2_cl0.8_cs0.2_body0.65,model_a,base,next_close,2.0,2.0,2.0,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,3073,3080.203304556629,0.3524243410348194,-0.48800480516054523,-1499.6387662583554,-1501.856537078872,28,0.44454530072108095,1.1082189708665755,-1.356703473219526,,-127.75300440913266,,-67.9676204353156
15m,range3_ret3_vz2_cl0.8_cs0.2_body0.65,model_a,base,next_close,3.0,3.0,2.0,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,1162,1165.6234587326562,0.36919104991394147,-0.48990188189839184,-569.2659867659313,-572.5660448461929,30,0.454392076070469,1.1051164000198874,-1.423411899555884,,-28.316589991801507,,-22.259896615955213
15m,range2.5_ret2.5_vz2.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,2.5,2.5,2.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,1962,1968.118094693177,0.35881753312945974,-0.4899488720814838,-961.2796870238712,-971.4864368480598,22,0.44741093307564,1.1055576918120056,-1.3828237695226735,,-163.79692877906444,,-32.45011088093907
15m,range2.5_ret2.5_vz2_cl0.8_cs0.2_body0.5,model_a,base,next_close,2.5,2.5,2.0,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2206,2212.8789586611356,0.3594741613780598,-0.49054626460054596,-1082.1450597088044,-1085.3481333251984,22,0.44701068523415793,1.1030963781865495,-1.384926035110218,,-98.95761716988751,,-91.08718351518405
15m,range2_ret2_vz2.5_cl0.8_cs0.2_body0.65,model_a,base,next_close,2.0,2.0,2.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2587,2593.0640901034817,0.35175879396984927,-0.4909809165222753,-1270.1676310431262,-1274.8273998682575,26,0.44251950580076266,1.1079556869768965,-1.3586209339249264,,-226.63854540804434,,-200.90961470196143
15m,range2.5_ret2.5_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,2.5,2.5,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2422,2429.5525103704763,0.36044591246903385,-0.4912831727384185,-1189.8878443724495,-1191.85007524291,22,0.4471174516621279,1.1022510566823227,-1.3893821929348722,,-56.05248913447426,,-121.01062845930133
15m,range2_ret2_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_close,2.0,2.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,3565,3573.356583385741,0.3509116409537167,-0.4916672117840886,-1752.7936100102759,-1753.1173364809003,27,0.44138160018576666,1.107063315781702,-1.3559765851569512,,-181.1051196304107,,-77.16831154447254
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_close,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,1226,1229.823029609498,0.3703099510603589,-0.4925730044158902,-603.8945034138814,-606.009675206635,31,0.4522328499579108,1.0981744776307245,-1.4280643992982258,,-68.42481640616893,,-26.10211390695676
15m,range1.5_ret1.5_vz2_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,2.0,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,6302,6316.4111593871485,0.34496985084100285,-0.49264390308318523,-3104.641877230233,-3108.5658916507214,27,0.43677167780999443,1.1074444605361864,-1.3353260984583097,,-516.8930396300161,,-336.98674111858173
15m,range2.5_ret2.5_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_close,2.5,2.5,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2163,2169.744871978258,0.36107258437355527,-0.4941861463969065,-1068.9246346565087,-1071.764674455473,26,0.44550655594118144,1.0996481192844936,-1.3948985642675096,,-114.82216660290302,,-45.70825261140525
15m,range3_ret3_vz2.5_cl0.8_cs0.2_body0.65,model_a,base,next_close,3.0,3.0,2.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,1083,1086.3771134315548,0.36657433056325023,-0.49543232756466155,-536.5532107525285,-541.54052826148,30,0.45125092469903644,1.1113902813232261,-1.4253282105508007,,-54.67760236168235,,-32.220559296118644
15m,range2.5_ret2.5_vz2_cl0.8_cs0.2_body0.65,model_a,base,next_close,2.5,2.5,2.0,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,1977,1983.1648691174369,0.35912999494183107,-0.4963817392183811,-981.3466984347394,-984.726348748354,21,0.4431997875221935,1.1001813235069653,-1.3910619085435556,,-47.70992129353299,,-78.12910356478656
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,6564,6579.010290418477,0.3426264472882389,-0.4984896576818627,-3272.0861130237467,-3271.8457308754637,32,0.43117016546873466,1.1028123097947653,-1.3330964073585572,,-571.4801678849616,,-436.7301405210935
15m,range2_ret2_vz2_cl0.7_cs0.3_body0.5,model_a,base,next_close,2.0,2.0,2.0,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,4654,4664.909267623349,0.3483025354533734,-0.4995224232574426,-2324.777357840138,-2330.004915665075,36,0.4365428264533017,1.1111285223015996,-1.360341804316199,,-397.85431683464446,,-343.93603958970755
15m,range2.5_ret2.5_vz2.5_cl0.8_cs0.2_body0.65,model_a,base,next_close,2.5,2.5,2.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,1763,1768.4975539979976,0.35677821894498013,-0.5003154059011818,-882.0560606037835,-890.8930001848092,21,0.439476729115022,1.099481126690669,-1.3876805020213532,,-42.729092867719544,,-21.553514568625808
15m,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,5094,5105.940655194099,0.3425598743619945,-0.500790500981504,-2551.0268119997813,-2552.1784878454737,34,0.4303602604723364,1.1044637706031009,-1.3372099407889497,,-421.2275323956305,,-128.8378610101282
15m,range1.5_ret1.5_vz2_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,2.0,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,5383,5395.61808930307,0.342559910830392,-0.5016238542014553,-2700.2412071664335,-2705.585983522451,25,0.4307183125230625,1.1079183789163376,-1.3402776767132412,,-241.62709745401966,,-144.366502736188
15m,range2_ret2_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2.0,2.0,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,5372,5384.592304613801,0.3467982129560685,-0.5029113133245313,-2701.6395751793825,-2704.9730886544226,41,0.43306130395858294,1.1077144812239135,-1.35802554964364,,-468.8128415821763,,-104.63423613598424
15m,range3_ret3_vz2_cl0.8_cs0.2_body0.5,model_a,base,next_close,3.0,3.0,2.0,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,1286,1290.010127306537,0.36158631415241055,-0.5029696188738696,-646.8189298717963,-651.09863514963,32,0.44318483014718335,1.1071426886629632,-1.414908989159652,,-41.73368170040119,,-68.22330508267538
15m,range2_ret2_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2.0,2.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,3950,3959.259047510148,0.3468354430379747,-0.5032487033710132,-1987.8323783155022,-1992.4058016059719,31,0.43342591466643166,1.109985641975612,-1.359888646442671,,-340.22557075013987,,-108.71480301202428
15m,range3_ret3_vz2.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,3.0,3.0,2.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,1200,1203.741953940781,0.36,-0.5055628463709965,-606.6754156451957,-612.6423803517196,32,0.44218041411450226,1.1132133161654787,-1.4161244377977635,,-39.94637446132494,,-4.4660055926238105
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,1363,1367.250236017737,0.36243580337490827,-0.5067260275018152,-690.6675754849741,-693.8081907649776,33,0.4405527397560428,1.1009836611338146,-1.4206599586709765,,-44.58414847374987,,-21.534478522538002
15m,range2_ret2_vz2_cl0.7_cs0.3_body0.65,model_a,base,next_close,2.0,2.0,2.0,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,3994,4003.362186267223,0.34702053079619427,-0.508097892002916,-2029.3429806596464,-2033.69486603294,36,0.4307292056601038,1.107841525893942,-1.366875512096875,,-190.37801147003714,,-89.60338648502142
15m,range2_ret2_vz2.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,2.0,2.0,2.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,3389,3396.944028357441,0.34670994393626436,-0.5089693285680125,-1724.8970545169943,-1729.6994699188567,32,0.4300604016469594,1.1077096474244539,-1.3669629133878625,,-310.8352976043592,,-259.17514333187415
15m,range2_ret2_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,2.0,2.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,4579,4589.733462923789,0.34570867001528716,-0.5093405050962034,-2332.2701728355155,-2334.7280138589213,32,0.4284946863913946,1.1046459673214328,-1.3621244122514498,,-410.22329888672607,,-10.692294173101065
15m,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,2.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,4360,4370.220113201075,0.3396788990825688,-0.5107812169653035,-2227.006105968723,-2230.2444804911647,43,0.4232056389869727,1.1033080557668964,-1.3410925100936077,,-379.5255754391438,,-10.6779420815262
15m,range2.5_ret2.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2.5,2.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,3276,3286.2155342583324,0.3522588522588523,-0.5174351126761146,-1695.1174291269515,-1701.9132479346872,27,0.42809378923123204,1.0995325606354431,-1.3967851103205715,,-189.22752315512696,,-61.793352410767234
15m,range2.5_ret2.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,2.5,2.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2829,2837.8216564153913,0.3534817956875221,-0.5187653725176447,-1467.5872388524167,-1474.1315655578028,33,0.42828231020684715,1.0993916478484462,-1.4034876362497883,,-98.9362873422727,,-135.58702607197606
15m,range2.5_ret2.5_vz2_cl0.7_cs0.3_body0.5,model_a,base,next_close,2.5,2.5,2.0,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,3006,3015.3735946216566,0.3509647371922821,-0.5193166484894676,-1561.0658453593396,-1569.6105934662319,24,0.4265351427329853,1.1005677243437855,-1.395266424675568,,-141.2421728639313,,-58.17436858199169
15m,range2.5_ret2.5_vz2_cl0.7_cs0.3_body0.65,model_a,base,next_close,2.5,2.5,2.0,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2601,2609.1106851666427,0.35294117647058826,-0.5196838206462362,-1351.6976175008604,-1359.4374487561552,27,0.42771027061891825,1.1004507083878097,-1.4033935637557158,,-142.91944468265785,,-52.51655265144983
15m,range2.5_ret2.5_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2.5,2.5,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2693,2701.3975683021026,0.3483104344597104,-0.5234450214835484,-1409.6374428551958,-1421.828499920851,23,0.42276604882287805,1.1006590897875752,-1.391484711724183,,-110.21705804121405,,-62.88389315905351
15m,range2.5_ret2.5_vz2.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,2.5,2.5,2.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2334,2341.278100414819,0.3496143958868895,-0.5256384375134779,-1226.8401131564576,-1239.6393001617582,25,0.4223457159764119,1.0992536172788727,-1.39909819819237,,-104.29001452147577,,-199.88498657433573
15m,range3_ret3_vz2_cl0.7_cs0.3_body0.65,model_a,base,next_close,3.0,3.0,2.0,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,1587,1591.9487340866829,0.350346565847511,-0.5439926571588432,-863.316346911084,-867.2815187464363,27,0.41506656653084284,1.101809417084538,-1.4315445032105598,,-114.26183869485945,,-8.369241953037326
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,3.0,3.0,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,1674,1679.2200257473896,0.35185185185185186,-0.5442614715555615,-911.0937033840099,-914.3811154070258,28,0.41477130572957943,1.0963036056608075,-1.4348539420444473,,-49.5825474817961,,-169.81279072165688
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,3.0,3.0,2.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,1484,1488.6275497067659,0.34568733153638814,-0.5542996743628208,-822.5807167544261,-829.2494183091409,24,0.4086320445057244,1.107989876063576,-1.432522680921772,,-142.22845870108262,,-124.43436946487061
15m,range3_ret3_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,3.0,3.0,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,1916,1921.974653125447,0.34342379958246344,-0.557771683796228,-1068.6905461535728,-1072.7372251553825,30,0.403151809836874,1.0970610759613992,-1.4233360366742236,,-146.53456196951615,,-35.45848261289469
15m,range3_ret3_vz2_cl0.7_cs0.3_body0.5,model_a,base,next_close,3.0,3.0,2.0,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,1813,1818.65346874553,0.34142305570877,-0.5579979848422272,-1011.6503465189579,-1017.3489684748604,30,0.4028920274166593,1.1027462489295297,-1.4189700792347881,,-60.820342462847,,-29.617141754761793
15m,range3_ret3_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,3.0,3.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,1696,1701.2886282363038,0.33785377358490565,-0.5658210430525631,-959.632489017147,-967.0183704017389,27,0.3981677134405417,1.1080028547933392,-1.4198736641262069,,-157.0646713617385,,-76.28289216049802
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,1.5,1.5,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,5465,5477.497141550423,0.35718206770356814,-0.4614657850239085,-2521.91051515566,-2520.6734876785135,29,0.46798255428244295,1.1364586769924518,-1.3493532173768648,,-164.48896269124756,,-33.23253524429549
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,1.5,1.5,2.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,3469,3477.529189776431,0.35802825021620066,-0.4643973045873451,-1610.9942496135002,-1609.6918234378752,35,0.46747065025455853,1.1386315024088078,-1.358407981861356,,-123.32733095618613,,-208.46436178534555
15m,range1.5_ret1.5_vz2_cl0.8_cs0.2_body0.65,model_a,base,next_open,1.5,1.5,2.0,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,4361,4370.972558884061,0.35381793166704884,-0.4690707740422095,-2045.6176455980756,-2044.315219422446,39,0.46223031626151906,1.139516572488034,-1.3498551160209766,,-136.29212522789973,,-133.86963592201633
15m,range2_ret2_vz2.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,2.0,2.0,2.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2657,2663.532734861913,0.36243884079789235,-0.46913338690599005,-1246.4874090092155,-1245.1849828335887,40,0.46769126542755857,1.1372534826974114,-1.3823273393428706,,-255.77037075861958,,-84.92156520056587
15m,range2.5_ret2.5_vz2.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,2.5,2.5,2.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,1803,1808.8292752710938,0.3699389905712701,-0.47111591901667127,-849.4220019870583,-847.8569378174514,34,0.4702496475344277,1.130459210067315,-1.411477372448906,,-39.93326690990667,,-29.32072117723008
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,1.5,1.5,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,6257,6271.308255202379,0.3498481700495445,-0.47795347353527623,-2990.5548839102235,-2989.317856433076,31,0.4543008497093188,1.1373556441978383,-1.3471549628955977,,-466.0171568238524,,-186.04690402320526
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,1.5,1.5,2.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,3929,3938.6601864028817,0.34894375159073554,-0.48328825391940483,-1898.8395496493415,-1897.5371234737154,39,0.4511274876358196,1.1383573659869335,-1.3524345185369144,,-156.81034149495616,,-23.417632555577924
15m,range1.5_ret1.5_vz2_cl0.8_cs0.2_body0.5,model_a,base,next_open,1.5,1.5,2.0,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,4952,4963.324033844043,0.34693053311793215,-0.4839399371566948,-2396.4705687999526,-2395.1681426243226,42,0.44970375450376826,1.139931891503485,-1.346590463328058,,-381.52883734853276,,-257.56842753185293
15m,range2.5_ret2.5_vz2_cl0.8_cs0.2_body0.65,model_a,base,next_open,2.5,2.5,2.0,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2024,2030.5437898772566,0.3641304347826087,-0.48541986497943257,-982.4898067183715,-981.2598475758867,41,0.4587149159293205,1.129737040244094,-1.4103387765176914,,-44.51387462911589,,-50.5206034465624
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,6977,6992.954722158702,0.34929052601404614,-0.4854304450392159,-3386.8482150386094,-3385.6111875614633,33,0.44939953769022656,1.1343217359947717,-1.3548877281184732,,-551.2335371725486,,-278.778838955078
15m,range2_ret2_vz2.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,2.0,2.0,2.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,3525,3533.6668763222597,0.3568794326241135,-0.4866632946301234,-1715.488113571185,-1717.8491407791482,59,0.45528263481543507,1.1397692544451192,-1.3892006332876685,,-318.40268039560397,,-117.41517110049287
15m,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,1.5,1.5,2.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,4548,4559.182114471953,0.3500439753737907,-0.48681385562269913,-2214.0294153720356,-2215.101458858796,46,0.45036931799560503,1.1395625039281647,-1.362724263066872,,-391.1578582860078,,-113.83023317508655
15m,range2_ret2_vz2.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,2.0,2.0,2.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2994,3001.3613128252045,0.3530394121576486,-0.487369793122343,-1459.185160608295,-1457.8827344326687,44,0.4520442054485827,1.138861206832242,-1.3747865029581698,,-265.91444026309506,,-102.67249523912217
15m,range2_ret2_vz2_cl0.8_cs0.2_body0.65,model_a,base,next_open,2.0,2.0,2.0,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,3159,3166.7669963977355,0.352326685660019,-0.4902865273795631,-1548.8151399920398,-1547.5127138164123,45,0.44964205884780367,1.1369100652167463,-1.3754623864018958,,-169.17740409615243,,-105.84267642255757
15m,range2.5_ret2.5_vz2.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,2.5,2.5,2.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2016,2022.517925095133,0.35912698412698413,-0.4909158551276816,-989.6863639374061,-988.1212997677983,35,0.4534662034223313,1.1341928944682,-1.4015805104739805,,-199.73198648646118,,-19.429716687911778
15m,range1.5_ret1.5_vz2_cl0.7_cs0.3_body0.65,model_a,base,next_open,1.5,1.5,2.0,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,5651,5663.922478847473,0.3457795080516723,-0.49438015946879554,-2793.7422811581637,-2792.4398549825337,34,0.4436238470565087,1.1400086787682233,-1.358214563016303,,-184.87594847972892,,-35.68493145935973
15m,range2.5_ret2.5_vz2.5_cl0.7_cs0.3_body0.65,model_a,base,next_open,2.5,2.5,2.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2411,2418.794998712483,0.362090418913314,-0.494778490142904,-1192.9109397345414,-1194.4167882985928,50,0.4531949438357496,1.1325211254112206,-1.4184667634710904,,-66.05475763097273,,-72.87019425212848
15m,range2_ret2_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,2.0,2.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,3685,3694.060266453199,0.35169606512890095,-0.49499689997801527,-1824.0635764189863,-1823.799253516147,26,0.4459924957363356,1.133044256387057,-1.378187079404191,,-99.45284375121247,,-160.45584433858303
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,8321,8340.028127143838,0.3445499339021752,-0.49536913813171346,-4121.966598393988,-4120.729570916855,38,0.4410080147129759,1.1342732143560732,-1.3520219845898147,,-303.84621875981776,,-61.678889875855006
15m,range2.5_ret2.5_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,2.5,2.5,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2221,2228.180710137049,0.3624493471409275,-0.49571715455289533,-1100.9878002619805,-1100.8990810279347,26,0.4511450273172745,1.1242041853181162,-1.4166470123185482,,-118.31233054088165,,-123.60196974246428
15m,range2.5_ret2.5_vz2_cl0.8_cs0.2_body0.5,model_a,base,next_open,2.5,2.5,2.0,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2267,2274.3294326342593,0.35730039700044114,-0.49619554431406515,-1124.8752989599857,-1123.3102347903791,41,0.44912333347687117,1.1322194279025486,-1.4014914451345573,,-54.48670852655578,,-79.36634357917421
15m,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,1.5,1.5,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,5375,5388.215449711247,0.34474418604651164,-0.4972065786108773,-2672.4853600334654,-2671.1829338578364,53,0.4410623519463797,1.1380898270071476,-1.3575712122310362,,-435.8980563133445,,-149.73441339886958
15m,range1.5_ret1.5_vz2_cl0.7_cs0.3_body0.5,model_a,base,next_open,1.5,1.5,2.0,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,6684,6699.284701577864,0.3432076600837822,-0.49868376894671507,-3333.2023116398436,-3331.899885464211,35,0.43929756743245707,1.1383992971193442,-1.354143576134765,,-518.560901030411,,-215.08011433095916
15m,range2_ret2_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,next_open,2.0,2.0,2.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,4145,4155.19126307965,0.3490952955367913,-0.5010725637005984,-2076.94577653898,-2079.3068037469434,67,0.44313449760953555,1.142199258083505,-1.3823973695277287,,-345.07721103868386,,-110.86764136041961
15m,range2_ret2_vz2_cl0.8_cs0.2_body0.5,model_a,base,next_open,2.0,2.0,2.0,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,3571,3579.779975984905,0.3458415009801176,-0.5021260771177243,-1793.0922213873935,-1791.7897952117664,48,0.43919173788863974,1.1370391732033438,-1.3687224316325013,,-305.3534514851676,,-139.38569614037468
