window,exit_model,friction_case,horizon_bars,total_trades_next_open,average_return_pct_next_open,cumulative_return_units_next_open,sharpe_like_next_open,max_drawdown_units_next_open,total_trades_next_close,average_return_pct_next_close,cumulative_return_units_next_close,sharpe_like_next_close,max_drawdown_units_next_close,cum_return_delta_close_minus_open,avg_return_delta_close_minus_open_pct
2023,pure_horizon_12,base,12,54,2.621541231270667,1.4156322648861603,4.256732574619968,-0.07156838413656225,54,0.3143248456343154,0.16973541664253033,1.174706646126178,-0.2008845738619046,-1.2458968482436301,-2.3072163856363517
2023,pure_horizon_12,stress,12,54,2.438890963847974,1.317001120477906,3.964115991408126,-0.08409895393281254,54,0.13398064271803933,0.07234954706774124,0.501218470015552,-0.23668979657929412,-1.2446515734101646,-2.3049103211299347
2023,pure_horizon_6,base,6,54,2.543732576082793,1.373615591084708,4.337375700807327,-0.07450939906436674,54,0.24275523194131118,0.13108782524830803,1.0181987261637557,-0.19260779248669496,-1.2425277658364,-2.3009773441414816
2023,pure_horizon_6,stress,6,54,2.36116007846927,1.275026442373406,4.030095306839302,-0.08207431902529928,54,0.06248256290755468,0.03374058397007953,0.2623355096167921,-0.23683121999428874,-1.2412858584033264,-2.2986775155617156
2023,scaled_exit_6_12,base,12,54,2.5826369036767294,1.394623927985434,4.318113443260489,-0.07055505385843337,54,0.2785400387878133,0.15041162094541918,1.131271056548629,-0.1967461831742998,-1.2442123070400148,-2.304096864888916
2023,scaled_exit_6_12,stress,12,54,2.400025521158623,1.2960137814256565,4.01680593363786,-0.08308663647905591,54,0.09823160281279703,0.05304506551891039,0.3993600051195394,-0.23375242620987136,-1.2429687159067462,-2.301793918345826
2024,pure_horizon_12,base,12,108,4.062112282076507,4.387081264642627,9.004353395313688,-0.2669067134066532,108,3.349651572709796,3.61762369852658,7.677249321057529,-0.33512136492797395,-0.769457566116047,-0.7124607093667108
2024,pure_horizon_12,stress,12,108,3.878022162809005,4.188263935833725,8.60488735153915,-0.27564144169646576,108,3.166273558455209,3.4195754431316256,7.264215827426259,-0.3437879126224726,-0.7686884927020996,-0.7117486043537959
2024,pure_horizon_6,base,6,108,2.331803696741565,2.5183479924808903,4.67563352068065,-0.7554002706627196,108,1.5976515737504222,1.725463699650456,3.847032183297984,-0.4554572589400626,-0.7928842928304343,-0.734152122991143
2024,pure_horizon_6,stress,6,108,2.149443022201757,2.3213984639778977,4.314283788060971,-0.7906512545256164,108,1.4160246848076972,1.5293066595923128,3.413098853819002,-0.4640035308183194,-0.7920918043855849,-0.7334183373940599
2024,scaled_exit_6_12,base,12,108,3.1969579894090354,3.452714628561758,7.0885182151088335,-0.37809390114888675,108,2.473651573230109,2.671543699088518,6.220590532500848,-0.3952893119340183,-0.7811709294732401,-0.7233064161789264
2024,scaled_exit_6_12,stress,12,108,3.0137325925053813,3.2548311999058117,6.68894369089181,-0.4137220030108572,108,2.2911491216314532,2.4744410513619695,5.767408848660876,-0.403895721720396,-0.7803901485438423,-0.722583470873928
2025,pure_horizon_12,base,12,99,1.054924897352529,1.0443756483790037,1.344761054073864,-0.9701642803964405,99,1.0313365809288748,1.0210232151195862,1.3045053260180237,-0.9733885825656972,-0.023352433259417493,-0.02358831642365411
2025,pure_horizon_12,stress,12,99,0.873840464129573,0.8651020594882772,1.115038920444787,-1.0952156249694278,99,0.8502757242458611,0.8417729670034024,1.076563147309891,-1.0544222270090997,-0.023329092484874803,-0.023564739883711883
2025,pure_horizon_6,base,6,99,1.0802581766816786,1.0694555949148619,1.465047414861762,-0.8684050073936223,99,1.0272380641472072,1.016965683505735,1.4511306046694097,-0.808997288304232,-0.052489911409126844,-0.053020112534471364
2025,pure_horizon_6,stress,6,99,0.8991484228270477,0.8901569385987771,1.2206461895979948,-0.9461449950450029,99,0.8461813039347869,0.837719490895439,1.1965562459253223,-0.8225910977081301,-0.052437447703338136,-0.0529671188922608
2025,scaled_exit_6_12,base,12,99,1.0675915370171036,1.0569156216469326,1.4509963570437392,-0.8908063310270461,99,1.029287322538041,1.0189944493126606,1.4201453017489065,-0.8530500665855387,-0.03792117233427206,-0.038304214479062626
2025,scaled_exit_6_12,stress,12,99,0.8864944434783102,0.877629499043527,1.2060672155080763,-1.015936993929898,99,0.848228514090324,0.8397462289494206,1.1715027705467913,-0.8738010466044336,-0.037883270094106414,-0.03826592938798623
2026_ytd,pure_horizon_12,base,12,30,2.274561068433022,0.6823683205299066,3.286259187242343,-0.10561209588720508,30,1.6655373701620453,0.4996612110486136,2.5788459495324747,-0.14862978376723782,-0.18270710948129298,-0.6090236982709769
2026_ytd,pure_horizon_12,stress,12,30,2.0922576079431052,0.6276772823829315,3.02589366603372,-0.12530984036794973,30,1.4838426293149412,0.44515278879448233,2.299816347985784,-0.17188513273666056,-0.1825244935884492,-0.6084149786281641
2026_ytd,pure_horizon_6,base,6,30,2.996615424409367,0.8989846273228101,3.788667159204323,-0.03722943946389663,30,2.3904205893359625,0.7171261768007887,3.0566495939402185,-0.09180022714224015,-0.18185845052202143,-0.6061948350734045
