entry_mode,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,return_volatility_pct,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_month_contribution,best_symbol,worst_symbol,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,year,window_start,window_end
next_close,pure_horizon_12,base,12,4.0,5.0,22,22.015068493150686,0.5223868610661312,0.8642972621601874,0.5454545454545454,0.11492510943454887,-0.12616638701270783,1.0066942453642196,2.4339183194424576,7,2.4623508560857914,-1.8055699329574615,2023-08,2023-06,2.0597449315138054,LTCUSDT,SOLUSDT,0.6334292207640706,0.5,0.6666666666666666,2.590909090909091,8,6.850000000000001,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,22,22.015068493150686,4.752292393735781,2.604347874382731,0.8636363636363636,1.0455043266218718,-0.003921150592113579,4.590338671219256,4.855900345354415,2,5.539033264514059,-0.23039978785998205,2023-08,2023-01,0.7726470353648714,AVAXUSDT,XRPUSDT,0.20023721290666693,0.75,1.0,2.590909090909091,8,6.850000000000001,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,22,22.015068493150686,0.34183470000951555,0.6834033614014513,0.5,0.07520363400209343,-0.13937844050542542,0.6594103841117892,2.4314856162582545,8,2.4938110762613097,-1.8101416762422777,2023-08,2023-06,2.9530143533310262,LTCUSDT,SOLUSDT,0.8712738607155671,0.5,0.5555555555555556,2.590909090909091,8,6.850000000000001,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_open,pure_horizon_12,stress,12,8.0,10.0,22,22.015068493150686,4.567512438929473,2.4217147917331254,0.7727272727272727,1.0048527365644842,-0.007517832099108626,4.416269911188452,4.8510468693203395,2,5.992374624028651,-0.2770189904077223,2023-08,2023-01,0.7887683281977158,AVAXUSDT,XRPUSDT,0.2009632051958656,0.75,1.0,2.590909090909091,8,6.850000000000001,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_close,pure_horizon_6,base,6,4.0,5.0,22,22.015068493150686,0.33395404703729314,0.5263511946075795,0.5454545454545454,0.07346989034820449,-0.14055491917653543,0.6722926970724684,2.329912747976332,7,2.1091082990294354,-1.7962310553532777,2023-08,2023-06,2.717678683764682,LTCUSDT,SOLUSDT,0.8097844883072445,0.5,0.6666666666666666,2.590909090909091,8,6.850000000000001,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_open,pure_horizon_6,base,6,4.0,5.0,22,22.015068493150686,4.540291135106862,2.322821273303657,0.9545454545454546,0.9988640497235097,-0.0007802853206962668,4.81535405943236,4.422489568046886,1,4.760211119258124,-0.07802853206962716,2023-08,2023-01,0.7687150009229077,AVAXUSDT,XRPUSDT,0.17003391384311792,1.0,1.0,2.590909090909091,8,6.850000000000001,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_close,pure_horizon_6,stress,6,8.0,10.0,22,22.015068493150686,0.15359022471950554,0.3457950711966019,0.5,0.03378984943829122,-0.15354816649509104,0.3095063426550486,2.327583998438747,8,2.106982315095979,-1.7998018656569679,2023-08,2023-06,5.476957941623038,LTCUSDT,SOLUSDT,1.5458521406656565,0.5,0.4444444444444444,2.590909090909091,8,6.850000000000001,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_open,pure_horizon_6,stress,6,8.0,10.0,22,22.015068493150686,4.355723075717425,2.140469576702813,0.9545454545454546,0.9582590766578334,-0.002579805774908628,4.624226293285409,4.418069286409517,1,4.575423249679724,-0.2579805774908637,2023-08,2023-01,0.7854576450211969,AVAXUSDT,XRPUSDT,0.16954684840321457,1.0,1.0,2.590909090909091,8,6.850000000000001,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_close,scaled_exit_6_12,base,12,4.0,5.0,22,22.015068493150686,0.4281704540517122,0.7783608892774819,0.5454545454545454,0.09419749989137668,-0.13336065309462164,0.8669076931460213,2.316622013454238,7,2.2857295775576136,-1.80090049415537,2023-08,2023-06,2.316324568393742,LTCUSDT,SOLUSDT,0.7022038813636955,0.5,0.5555555555555556,2.590909090909091,8,6.850000000000001,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,22,22.015068493150686,4.6462917644213215,2.64713258425773,1.0,1.0221841881726907,0.0,4.730900449336328,4.60653111388907,0,4.6462917644213215,0.0,2023-08,2023-01,0.770725870915354,AVAXUSDT,XRPUSDT,0.18548009282659678,1.0,1.0,2.590909090909091,8,6.850000000000001,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
