scenario,entry_mode,timeframe,fees_bps_per_side,slippage_bps_per_side,trade_count,trades_per_year,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,best_symbol_ev_share,best_month_ev_share,parameters
base,next_open,15m,4.0,2.0,4,8.963190184049079,1.00984842896455,4.0393937158582,-1.1857026239067054,1,0.43317245577815466,0.46037410060783995,"{'timeframe': '15m', 'breakout_lookback': 48, 'atr_lookback': 48, 'range_median_lookback': 96, 'volume_median_lookback': 96, 'range_expansion_mult': 1.6, 'volume_expansion_mult': 1.4, 'min_body_fraction': 0.55, 'max_range_atr_mult': 2.8, 'max_extension_atr_mult': 1.8, 'max_same_direction_bars': 3, 'stop_atr_mult': 1.2, 'target_r': 2.0, 'max_hold_bars': 16, 'cooldown_bars': 4, 'base_fee_bps_per_side': 4.0, 'base_slippage_bps_per_side': 2.0, 'stress_fee_bps_per_side': 6.0, 'stress_slippage_bps_per_side': 5.0}"
base,next_close,15m,4.0,2.0,4,8.963190184049079,-0.3464077516132651,-1.3856310064530604,-1.9956575298307047,2,0.0,0.0,"{'timeframe': '15m', 'breakout_lookback': 48, 'atr_lookback': 48, 'range_median_lookback': 96, 'volume_median_lookback': 96, 'range_expansion_mult': 1.6, 'volume_expansion_mult': 1.4, 'min_body_fraction': 0.55, 'max_range_atr_mult': 2.8, 'max_extension_atr_mult': 1.8, 'max_same_direction_bars': 3, 'stop_atr_mult': 1.2, 'target_r': 2.0, 'max_hold_bars': 16, 'cooldown_bars': 4, 'base_fee_bps_per_side': 4.0, 'base_slippage_bps_per_side': 2.0, 'stress_fee_bps_per_side': 6.0, 'stress_slippage_bps_per_side': 5.0}"
stress,next_open,15m,6.0,5.0,4,8.963190184049079,0.8097221197683417,3.238888479073367,-1.3404548104956264,1,0.47584714699872255,0.5380423359169595,"{'timeframe': '15m', 'breakout_lookback': 48, 'atr_lookback': 48, 'range_median_lookback': 96, 'volume_median_lookback': 96, 'range_expansion_mult': 1.6, 'volume_expansion_mult': 1.4, 'min_body_fraction': 0.55, 'max_range_atr_mult': 2.8, 'max_extension_atr_mult': 1.8, 'max_same_direction_bars': 3, 'stop_atr_mult': 1.2, 'target_r': 2.0, 'max_hold_bars': 16, 'cooldown_bars': 4, 'base_fee_bps_per_side': 4.0, 'base_slippage_bps_per_side': 2.0, 'stress_fee_bps_per_side': 6.0, 'stress_slippage_bps_per_side': 5.0}"
stress,next_close,15m,6.0,5.0,4,8.963190184049079,-0.5459976256090968,-2.1839905024363873,-2.4690391286287348,2,0.0,0.0,"{'timeframe': '15m', 'breakout_lookback': 48, 'atr_lookback': 48, 'range_median_lookback': 96, 'volume_median_lookback': 96, 'range_expansion_mult': 1.6, 'volume_expansion_mult': 1.4, 'min_body_fraction': 0.55, 'max_range_atr_mult': 2.8, 'max_extension_atr_mult': 1.8, 'max_same_direction_bars': 3, 'stop_atr_mult': 1.2, 'target_r': 2.0, 'max_hold_bars': 16, 'cooldown_bars': 4, 'base_fee_bps_per_side': 4.0, 'base_slippage_bps_per_side': 2.0, 'stress_fee_bps_per_side': 6.0, 'stress_slippage_bps_per_side': 5.0}"
