section,feature,bucket,trade_count,avg_return_pct,median_return_pct,win_rate,cumulative_return_units,contribution_to_total_return,best_month,worst_month
overall,all,all,367,0.6022907756205176,0.12646573705567002,0.5395095367847411,2.2104071465272996,1.0,,
strongest_positive,event_drop_bucket,<= -4%,39,5.745159246316456,3.20523377679792,0.8461538461538461,2.240612106063418,1.013664885034222,2025-10,2025-05
strongest_positive,signal_month,2025-10,83,2.2766841378572176,1.02538800129589,0.6867469879518072,1.8896478344214906,0.854886773864379,2025-10,2025-10
strongest_positive,realized_vol_bucket,high_realized_vol,122,2.0576442818865286,1.202676122232645,0.6311475409836066,2.510326023901565,1.135684902143688,2025-10,2025-08
strongest_positive,btc_vol_bucket,high_btc_vol,118,2.0475047816895393,0.36381885391382995,0.576271186440678,2.4160556423936566,1.0930364780033601,2025-10,2025-12
strongest_positive,atr_regime_bucket,high_atr_rel,122,1.938627826485492,0.824866057935055,0.639344262295082,2.3651259483123,1.0699956123595031,2025-10,2025-12
strongest_positive,prior_6h_bucket,flat,30,1.2737324631918991,1.004556939346055,0.7,0.38211973895756973,0.17287301100066832,2026-01,2025-07
strongest_positive,distance_ema200_bucket,below_ema200_far,123,1.2184653031981523,0.26606297373328996,0.6016260162601627,1.4987123229337271,0.6780254602815171,2025-10,2026-01
strongest_positive,symbol,LINKUSDT,55,1.1627629028865496,0.26606297373328996,0.509090909090909,0.6395195965876023,0.28932208149631217,2025-10,2025-12
strongest_positive,funding_change_bucket,flat,168,1.090368476694347,0.354041571229,0.5595238095238095,1.8318190408465032,0.828724718757997,2025-10,2026-02
strongest_positive,symbol,BNBUSDT,22,1.0239275804741597,0.29761232599952003,0.5,0.22526406770431512,0.1019106674796181,2025-10,2025-12
strongest_positive,simultaneous_drop_bucket,5+ symbols,249,0.9603780200320078,0.21757083502939,0.5622489959839357,2.391341269879699,1.081855563865987,2025-10,2025-12
strongest_positive,ema200_slope_bucket,negative,251,0.9597052916780825,0.25451859246651,0.5657370517928287,2.408860282111987,1.0897812585778464,2025-10,2025-12
strongest_positive,ema50_slope_bucket,negative,258,0.9588381597966128,0.295733359897965,0.5697674418604651,2.473802452275261,1.1191614432489387,2025-10,2026-01
strongest_positive,prior_24h_bucket,negative,247,0.9282770052236685,0.22420402334447,0.5587044534412956,2.292844202902461,1.0372949646424532,2025-10,2026-01
strongest_positive,distance_ema50_bucket,below_ema50_far,123,0.926042662845419,0.13992080303394,0.5528455284552846,1.1390324752998653,0.5153043759785897,2025-10,2026-01
edge_killers,simultaneous_drop_bucket,2 symbols,22,-1.220831532965877,-0.9070328081982049,0.36363636363636365,-0.26858293725249294,-0.12150835545137241,2026-04,2026-02
edge_killers,btc_24h_bucket,flat,20,-0.7015045589254105,-1.23244646751812,0.3,-0.1403009117850821,-0.06347288191024193,2025-11,2025-12
edge_killers,event_drop_bucket,-2.5% to -3%,91,-0.3271331396968368,-0.17995002498749,0.4725274725274725,-0.2976911571241215,-0.13467706960313378,2025-10,2026-02
edge_killers,simultaneous_drop_bucket,1 symbol,52,-0.325523272417356,-0.16889389664833998,0.4807692307692308,-0.1692721016570251,-0.0765796029581985,2025-12,2025-10
edge_killers,ema50_slope_bucket,positive,93,-0.20574822040285648,-0.15675790659513,0.4838709677419355,-0.1913458449746565,-0.08656588234220736,2025-05,2025-12
edge_killers,prior_24h_bucket,positive,92,-0.1978445743943711,-0.126875846640385,0.4782608695652174,-0.18201700844282143,-0.08234546686513503,2025-05,2025-12
edge_killers,ema200_slope_bucket,positive,105,-0.1881022508590266,-0.02553136362966,0.49523809523809526,-0.19750736340197794,-0.08935338619053755,2025-05,2025-12
edge_killers,signal_month,2026-01,49,-0.15183564821961448,-0.06300755974437999,0.4897959183673469,-0.0743994676276111,-0.033658716560203736,2026-01,2026-01
edge_killers,realized_vol_bucket,low_realized_vol,123,-0.14992533726012638,-0.17995002498749,0.4634146341463415,-0.18440816482995548,-0.08342723878705934,2026-01,2025-10
edge_killers,atr_regime_bucket,low_atr_rel,123,-0.14890224867847107,0.02556334669531,0.5203252032520326,-0.18314976587451942,-0.08285793237786993,2025-11,2026-01
edge_killers,funding_change_bucket,positive,80,-0.11473609299770446,-0.204952104950415,0.475,-0.09178887439816358,-0.04152577706888532,2025-10,2025-12
edge_killers,btc_vol_bucket,low_btc_vol,123,-0.0976663117724595,0.11073115219681,0.5203252032520326,-0.1201295634801252,-0.054347256191628286,2025-05,2025-10
