exit_model,friction_case,event_threshold,hold_bars,stop_atr_mult,target_r,total_trades_next_open,avg_net_return_pct_next_open,ev_per_trade_r_next_open,win_rate_next_open,profit_factor_next_open,total_trades_next_close,avg_net_return_pct_next_close,ev_per_trade_r_next_close,win_rate_next_close,profit_factor_next_close,avg_return_delta_close_minus_open_pct,ev_r_delta_close_minus_open
fixed_horizon_12,base,-0.02,12,,,303,-0.05191492390146271,-0.3786962988230164,0.5016501650165016,0.9553782553551966,303,0.10213234221956329,-0.11354431882005366,0.5115511551155115,1.1243116490690936,0.15404726612102598,0.26515198000296275
fixed_horizon_12,stress,-0.02,12,,,303,-0.23182433712662368,-0.6391984927920146,0.47194719471947194,0.815274433992298,303,-0.07799262331460909,-0.3738079316865683,0.46204620462046203,0.9146788959548781,0.1538317138120146,0.2653905611054463
stop_1atr_horizon_12,base,-0.02,12,1.0,,325,0.3226815757585157,-0.09029618801578997,0.28923076923076924,1.4673504738564216,322,0.04281398690166445,-0.2541344950676204,0.2670807453416149,1.0617591918288434,-0.27986758885685126,-0.16383830705183045
stop_1atr_horizon_12,stress,-0.02,12,1.0,,326,0.11461065510219323,-0.33903291640985217,0.26993865030674846,1.1428035690420841,323,-0.11969470845094789,-0.5197197460407739,0.25077399380804954,0.8497818715251868,-0.23430536355314113,-0.1806868296309217
stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,336,0.002687237584187453,-0.22476674601347688,0.39285714285714285,1.0045053093798246,327,-0.04226236375492493,-0.2594446183541012,0.3853211009174312,0.9300675850726714,-0.04494960133911238,-0.03467787234062433
stop_1atr_tp_1_5r,stress,-0.02,12,1.0,1.5,336,-0.1862377219972934,-0.4676238652151084,0.3630952380952381,0.7346084102016484,329,-0.20674989388964413,-0.5051082838261017,0.3556231003039514,0.7067361781073983,-0.020512171892350717,-0.03748441861099333
wide_1_5atr_tp_1_5r,base,-0.02,12,1.5,1.5,327,-0.03346218089655364,-0.30960255545632337,0.38837920489296635,0.9584781285555829,318,-0.01828981050047252,-0.26962627074345136,0.41509433962264153,0.9756227819431692,0.015172370396081117,0.03997628471287201
wide_1_5atr_tp_1_5r,stress,-0.02,12,1.5,1.5,327,-0.21584990336123883,-0.5755802659703658,0.36085626911314983,0.7636468915974481,318,-0.18090058299527445,-0.48773496257211535,0.4025157232704403,0.7855289740713474,0.034949320365964376,0.08784530339825047
wide_1_5atr_tp_2r,base,-0.02,12,1.5,2.0,327,0.06208344027087173,-0.2865902611767981,0.36085626911314983,1.0750562857089672,318,-0.01886174173388823,-0.30270029276643806,0.3742138364779874,0.9761442253835587,-0.08094518200475996,-0.016110031589639973
wide_1_5atr_tp_2r,stress,-0.02,12,1.5,2.0,326,-0.13856225697704896,-0.5227706031082568,0.34355828220858897,0.851812235992836,318,-0.19466191309550904,-0.5416071904090177,0.3553459119496855,0.7809825243213752,-0.05609965611846007,-0.018836587300760876
