entry_mode,exit_model,friction_case,event_threshold,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,avg_net_return_pct,median_net_return_pct,win_rate,total_net_return_units,ev_per_trade_r,total_ev_r,max_drawdown_return_units,max_drawdown_r,max_losing_streak,profit_factor,average_win_pct,average_loss_pct,best_symbol,worst_symbol,best_month,worst_month,best_symbol_contribution,best_month_contribution
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-05,40,706.5793450881612,0.6586461719245448,0.6930978020811364,0.8,0.26345846876981793,1.0238376067148214,40.95350426859286,-0.05440106736212702,-5.149363372196294,4,5.135473246971005,1.022391995165191,-0.7963371210380398,LTCUSDT,LINKUSDT,2025-05,2025-05,0.2120603973850897,1.0
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-06,25,537.7914110429448,-0.16691655800940317,-0.6394937663949993,0.36,-0.04172913950235079,-0.3949054507002516,-9.87263626750629,-0.1396274824728824,-21.975767303264476,7,0.7682456802964212,1.536983513219768,-1.125360348075812,ETHUSDT,ADAUSDT,2025-06,2025-06,,
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-07,23,667.0570719602978,0.029506489644579616,-0.4457384185371671,0.43478260869565216,0.006786492618253311,0.018979837914254803,0.43653627202786044,-0.11068382662585499,-12.294938693757787,13,1.0613142211029052,1.1747031924410833,-0.8514140509681155,XRPUSDT,ADAUSDT,2025-07,2025-07,1.5557737606359783,1.0
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-08,15,236.174225415357,-0.2079487089550331,-0.1078224749399897,0.4666666666666667,-0.031192306343254962,-0.20164939591716116,-3.0247409387574176,-0.05633540246613743,-6.324717686746222,4,0.5833653699813848,0.6239283610504283,-0.9358411452098118,SOLUSDT,ADAUSDT,2025-08,2025-08,,
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-09,9,147.5343618513324,-0.38478017827298877,-0.17991004497749907,0.4444444444444444,-0.03463021604456899,-0.8295306010140822,-7.465775409126739,-0.04566203774794899,-9.635804049519134,4,0.2968491439982769,0.3654958925798601,-0.9850010349552678,ADAUSDT,LTCUSDT,2025-09,2025-09,,
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-10,45,594.3050847457627,-0.4836162713118216,0.5027223869844442,0.5777777777777777,-0.2176273220903197,-0.8447638054348715,-38.01437124456922,-0.5080841658567059,-58.30239487552035,10,0.6475255224359526,1.537691754490939,-3.249616727673494,SOLUSDT,LTCUSDT,2025-10,2025-10,,
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-11,30,613.0069930069931,0.6918265474379303,0.11312163359881759,0.5333333333333333,0.20754796423137906,0.642506003746576,19.27518011239728,-0.14746435728557888,-15.900581896767928,9,1.8548382831153758,2.8146252721336675,-1.734229137928626,BNBUSDT,LTCUSDT,2025-11,2025-11,0.2792868795003795,1.0000000000000002
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2025-12,18,214.24032586558044,-1.6347167383772867,-2.1143548028311208,0.1111111111111111,-0.2942490129079116,-1.992467458201129,-35.864414247620324,-0.2648017627097035,-30.69490665140585,11,0.18323594831969994,3.300647035786851,-2.2516372101478037,AVAXUSDT,ADAUSDT,2025-12,2025-12,,
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2026-01,41,596.0298507462686,-0.006704538156633619,0.04485835446234697,0.5365853658536586,-0.002748860644219784,-0.605589213653243,-24.829157759782962,-0.32002716785744506,-64.76652068643429,6,0.9931320521247038,1.8067998702537849,-2.1065517478950135,AVAXUSDT,SOLUSDT,2026-01,2026-01,,
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,2026-02,43,597.1295049504951,0.8987174404454696,-0.6024945108230282,0.4418604651162791,0.3864484993915519,-0.17698338914685544,-7.610285733314784,-0.24154009348412625,-26.24859912388625,11,2.1075206066741425,3.8704194946230945,-1.4538800191118166,XRPUSDT,LTCUSDT,2026-02,2026-02,0.16958349521266525,1.0000000000000002
