symbol,timeframe,event_type,event_threshold,entry_mode,exit_model,friction_case,signal_time,entry_time,exit_time,event_return,raw_entry,entry,raw_exit,exit,atr_at_signal,risk,stop,target,gross_return,fee_return,net_return,gross_r,fee_r,net_r,exit_reason,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side
SOLUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-11 00:15:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 03:30:00+00:00,-0.02832940648490956,176.17,176.25808499999997,176.5,176.41175,1.3307142857142853,1.3307142857142853,,,0.0008718181636890865,0.0008003487272654757,7.14694364236108e-05,0.11547557702633653,0.10600918282340314,0.009466394202933381,horizon,12,,,4.0,5.0
XRPUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-11 00:15:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 03:30:00+00:00,-0.023511735564038072,2.4262,2.4274131,2.4103,2.4090948500000002,0.015021428571428519,0.015021428571428519,,,-0.007546408149482153,0.0007969814367402071,-0.00834338958622236,-1.2194745601521444,0.12878956024726626,-1.3482641203994106,horizon,12,,,4.0,5.0
ADAUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-12 14:15:00+00:00,2025-05-12 14:30:00+00:00,2025-05-12 17:30:00+00:00,-0.020863137815927413,0.831,0.8314154999999999,0.8171,0.8166914500000001,0.012857142857142836,0.012857142857142836,,,-0.017709616912361836,0.0007929161532350554,-0.01850253306559689,-1.1452038888888727,0.05127443844444453,-1.1964783273333173,horizon,12,,,4.0,5.0
LINKUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-12 14:15:00+00:00,2025-05-12 14:30:00+00:00,2025-05-12 17:30:00+00:00,-0.022169756996429646,17.174,17.182586999999998,16.758,16.749621,0.1774285714285718,0.1774285714285718,,,-0.025197951856725465,0.0007899208192573099,-0.025987872675982775,-2.440227053140074,0.07649773140096604,-2.5167247845410397,horizon,12,,,4.0,5.0
XRPUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-12 14:15:00+00:00,2025-05-12 14:30:00+00:00,2025-05-12 17:30:00+00:00,-0.020109407504430243,2.5845,2.5857922499999995,2.5851,2.58380745,0.046107142857142805,0.046107142857142805,,,-0.0007675790659513737,0.0007996929683736194,-0.0015672720343249931,-0.043047560030969524,0.044848579891556974,-0.0878961399225265,horizon,12,,,4.0,5.0
ADAUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-14 08:45:00+00:00,2025-05-14 09:00:00+00:00,2025-05-14 12:00:00+00:00,-0.021100134162702733,0.8064,0.8068031999999999,0.8234,0.8229883000000001,0.0061357142857143,0.0061357142857143,,,0.02006077814267493,0.0008080243112570701,0.01925275383141786,2.637850989522723,0.10624950407450501,2.5316014854482183,horizon,12,,,4.0,5.0
LTCUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-14 08:45:00+00:00,2025-05-14 09:00:00+00:00,2025-05-14 12:00:00+00:00,-0.020421989934185092,101.83,101.88091499999999,102.51,102.45874500000001,0.7614285714285701,0.7614285714285701,,,0.005671621618239531,0.0008022686486472958,0.004869352969592235,0.7588761726079075,0.10734541238273938,0.6515307602251681,horizon,12,,,4.0,5.0
ADAUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-21 17:15:00+00:00,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,-0.03040935672514622,0.7476,0.7479738,0.7602,0.7598199,0.006971428571428565,0.006971428571428565,,,0.015837586824565264,0.0008063350347298261,0.015031251789835437,1.6992356557377022,0.08651275327868861,1.6127229024590135,horizon,12,,,4.0,5.0
AVAXUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-21 17:15:00+00:00,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,-0.03529210210724676,22.643,22.6543215,22.678,22.666661,0.24550000000000008,0.24550000000000008,,,0.0005446863637033061,0.0008002178745454814,-0.00025553151084217523,0.05026272912424869,0.0738427413441955,-0.023580012219946808,horizon,12,,,4.0,5.0
ETHUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-21 17:15:00+00:00,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,-0.03467696673006759,2475.2,2476.4375999999997,2497.85,2496.601075,24.047142857142813,24.047142857142813,,,0.008142129242424856,0.0008032568516969699,0.007338872390727886,0.8384977425295687,0.08272148927701554,0.7557762532525532,horizon,12,,,4.0,5.0
LINKUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-21 17:15:00+00:00,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,-0.03341568869672651,15.669,15.6768345,15.859,15.8510705,0.17471428571428568,0.17471428571428568,,,0.01111423355269836,0.0008044456934210794,0.01030978785927728,0.9972624693376972,0.07218163041700737,0.9250808389206899,horizon,12,,,4.0,5.0
LTCUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-21 17:15:00+00:00,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,-0.02555383822771773,95.09,95.137545,96.07,96.021965,0.7650000000000016,0.7650000000000016,,,0.009296224744920645,0.0008037184898979684,0.008492506255022677,1.1561045751633854,0.09995268496732007,1.0561518901960654,horizon,12,,,4.0,5.0
SOLUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-21 17:15:00+00:00,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,-0.034000231294090355,166.9,166.98345,170.08,169.99496000000002,1.6207142857142895,1.6207142857142895,,,0.018034781291199842,0.00080721391251648,0.01722756737868336,1.8581375055090399,0.08316787553988524,1.7749696299691546,horizon,12,,,4.0,5.0
XRPUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-21 17:15:00+00:00,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,-0.025503634475597226,2.3455,2.3466727499999998,2.3771,2.3759114500000003,0.015271428571428634,0.015271428571428634,,,0.012459640995959198,0.0008049838563983837,0.011654657139560815,1.9146014967259375,0.12369724752104722,1.7909042492048903,horizon,12,,,4.0,5.0
ADAUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-23 11:45:00+00:00,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,-0.02882703777335982,0.7702,0.7705850999999999,0.7816,0.7812092,0.004892857142857151,0.004892857142857151,,,0.013787056095426964,0.0008055148224381709,0.012981541272988792,2.171348905109513,0.12686201576642317,2.04448688934309,horizon,12,,,4.0,5.0
AVAXUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-23 11:45:00+00:00,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,-0.034353405725567665,24.038,24.050019,24.802,24.789599000000003,0.1970714285714286,0.1970714285714286,,,0.03075174285725102,0.0008123006971429004,0.029939442160108118,3.7528524827836356,0.09913079405581732,3.6537216887278183,horizon,12,,,4.0,5.0
ETHUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-23 11:45:00+00:00,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,-0.024377999710962883,2542.78,2544.05139,2575.41,2574.122295,14.189285714285688,14.189285714285688,,,0.011820085521149881,0.00080472803420846,0.011015357486941421,2.1192684117795184,0.14428277189025954,1.974985639889259,horizon,12,,,4.0,5.0
LINKUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-23 11:45:00+00:00,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,-0.033386704619581264,16.049,16.057024499999997,16.317,16.3088415,0.12321428571428582,0.12321428571428582,,,0.015682668977680336,0.0008062730675910722,0.014876395910089265,2.043732173913063,0.10507179686956512,1.9386603770434978,horizon,12,,,4.0,5.0
LTCUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-23 11:45:00+00:00,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,-0.028628428927680805,96.27,96.31813499999998,98.99,98.940505,0.5371428571428579,0.5371428571428579,,,0.027226129326528348,0.0008108904517306115,0.026415238874797735,4.8820718085106645,0.14540537021276576,4.736666438297899,horizon,12,,,4.0,5.0
SOLUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-23 11:45:00+00:00,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,-0.030890765459003044,175.95,176.037975,181.68,181.58916000000002,1.2257142857142813,1.2257142857142813,,,0.03153401986133986,0.0008126136079445359,0.030721406253395322,4.528938811188854,0.11670815594405637,4.412230655244798,horizon,12,,,4.0,5.0
XRPUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-23 11:45:00+00:00,2025-05-23 12:00:00+00:00,2025-05-23 15:00:00+00:00,-0.023885284515889227,2.336,2.3371679999999997,2.3649,2.36371755,0.009249999999999916,0.009249999999999916,,,0.011359709699944709,0.000804543883879978,0.010555165816064731,2.8702216216216874,0.20328153729729914,2.6669400843243882,horizon,12,,,4.0,5.0
ADAUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-30 00:45:00+00:00,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,-0.04249134948096889,0.7037,0.7040518499999999,0.7063,0.7059468500000001,0.0037714285714285844,0.0037714285714285844,,,0.0026915631284829544,0.0008010766252513933,0.0018904865032315613,0.502462121212173,0.14954531666666618,0.3529168045455069,horizon,12,,,4.0,5.0
AVAXUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-30 00:45:00+00:00,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,-0.03331978870377894,21.614,21.624807,21.708,21.697146,0.13307142857142779,0.13307142857142779,,,0.0033451859246651505,0.000801338074369866,0.0025438478502952844,0.5436103059581314,0.13022165152979143,0.41338865442834,horizon,12,,,4.0,5.0
ETHUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-30 00:45:00+00:00,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,-0.021746240615801327,2594.03,2595.327015,2626.04,2624.72698,11.07999999999996,11.07999999999996,,,0.011328038751987402,0.0008045312155007951,0.010523507536486607,2.653426444043337,0.18844960270758193,2.464976841335755,horizon,12,,,4.0,5.0
LINKUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-30 00:45:00+00:00,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,-0.040629795183134254,14.559,14.566279499999998,14.624,14.616688000000002,0.07821428571428589,0.07821428571428589,,,0.0034606297373329653,0.0008013842518949331,0.002659245485438032,0.6444922374429617,0.14924622648401792,0.49524601095894377,horizon,12,,,4.0,5.0
LTCUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-30 00:45:00+00:00,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,-0.031129240017174653,91.16,91.20558,91.62,91.57419000000002,0.4399999999999987,0.4399999999999987,,,0.004041529038026237,0.0008016166116152104,0.0032399124264110265,0.8377500000000435,0.16616342727272776,0.6715865727273158,horizon,12,,,4.0,5.0
SOLUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-30 00:45:00+00:00,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,-0.029399412011759662,163.19,163.271595,164.55,164.46772500000003,0.6585714285714245,0.6585714285714245,,,0.007326014056517449,0.0008029304056226071,0.006523083650894842,1.8162494577007215,0.19906075835141124,1.6171886993493103,horizon,12,,,4.0,5.0
XRPUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-30 00:45:00+00:00,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,-0.035754239942721755,2.1861,2.18719305,2.2089,2.20779555,0.009685714285714297,0.009685714285714297,,,0.009419607473606595,0.0008037678429894426,0.008615839630617152,2.127101769911533,0.18150395398230065,1.9455978159292322,horizon,12,,,4.0,5.0
AVAXUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-05 20:30:00+00:00,2025-06-05 20:45:00+00:00,2025-06-05 23:45:00+00:00,-0.02173341051412936,18.469,18.4782345,18.73,18.720635,0.18771428571428597,0.18771428571428597,,,0.013118163426273366,0.0008052472653705094,0.012312916160902857,1.2913268645357787,0.07926699741248086,1.2120598671232978,horizon,12,,,4.0,5.0
ETHUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-05 20:30:00+00:00,2025-06-05 20:45:00+00:00,2025-06-05 23:45:00+00:00,-0.02212425173920085,2397.53,2398.7287650000003,2412.9,2411.6935500000004,23.265000000000068,23.265000000000068,,,0.005404856601200603,0.0008021619426404802,0.004602694658560122,0.5572656350741493,0.0827065947130881,0.47455904036106117,horizon,12,,,4.0,5.0
LINKUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-05 20:30:00+00:00,2025-06-05 20:45:00+00:00,2025-06-05 23:45:00+00:00,-0.02093634116192833,12.663,12.6693315,12.876,12.869562,0.14335714285714296,0.14335714285714296,,,0.015804346109342893,0.0008063217384437372,0.014998024370899156,1.3967249626307912,0.07125949357249621,1.325465469058295,horizon,12,,,4.0,5.0
ADAUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-13 00:00:00+00:00,2025-06-13 00:15:00+00:00,2025-06-13 03:15:00+00:00,-0.02602511726433654,0.6355,0.63581775,0.6298,0.6294851,0.0045142857142857085,0.0045142857142857085,,,-0.009959850916398505,0.0007960160596334406,-0.010755866976031946,-1.4028022151898618,0.11211544240506344,-1.5149176575949252,horizon,12,,,4.0,5.0
AVAXUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-13 00:00:00+00:00,2025-06-13 00:15:00+00:00,2025-06-13 03:15:00+00:00,-0.03053774050320668,19.409,19.418704499999997,18.935,18.9255325,0.1464285714285715,0.1464285714285715,,,-0.02539675084916182,0.0007898412996603352,-0.026186592148822154,-3.3680039024390074,0.10474523278048774,-3.472749135219495,horizon,12,,,4.0,5.0
ETHUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-13 00:00:00+00:00,2025-06-13 00:15:00+00:00,2025-06-13 03:15:00+00:00,-0.02832988816451998,2549.68,2550.95484,2495.72,2494.47214,19.617142857142913,19.617142857142913,,,-0.022141787504164512,0.0007911432849983343,-0.022932930789162847,-2.879252111855513,0.10287791686571485,-2.982130028721228,horizon,12,,,4.0,5.0
LINKUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-13 00:00:00+00:00,2025-06-13 00:15:00+00:00,2025-06-13 03:15:00+00:00,-0.023702112423916954,13.434,13.440717,13.128,13.121436000000001,0.11007142857142885,0.11007142857142885,,,-0.023754759511713464,0.0007904980961953148,-0.02454525760790878,-2.900670992861756,0.09652696742375058,-2.9971979602855066,horizon,12,,,4.0,5.0
SOLUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-13 00:00:00+00:00,2025-06-13 00:15:00+00:00,2025-06-13 03:15:00+00:00,-0.028509492215726184,145.76,145.83288,143.86,143.78807000000003,0.970714285714288,0.970714285714288,,,-0.01402159787285251,0.0007943913608508589,-0.014815989233703367,-2.106500367917536,0.1193434378219276,-2.225843805739464,horizon,12,,,4.0,5.0
ADAUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-16 22:30:00+00:00,2025-06-16 22:45:00+00:00,2025-06-17 01:45:00+00:00,-0.02461397339856286,0.6401,0.64042005,0.6346,0.6342827000000001,0.0025499999999999967,0.0025499999999999967,,,-0.009583319572833426,0.0007961666721708667,-0.010379486245004293,-2.4068039215686032,0.19995337254901988,-2.606757294117623,horizon,12,,,4.0,5.0
AVAXUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-16 22:30:00+00:00,2025-06-16 22:45:00+00:00,2025-06-17 01:45:00+00:00,-0.03055317863794227,19.338,19.347669,19.213,19.2033935,0.1115,0.1115,,,-0.007456996499164759,0.0007970172014003341,-0.008254013700565093,-1.293950672645732,0.1382997757847534,-1.4322504484304854,horizon,12,,,4.0,5.0
ETHUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-16 22:30:00+00:00,2025-06-16 22:45:00+00:00,2025-06-17 01:45:00+00:00,-0.0380917939908989,2568.65,2569.934325,2579.99,2578.700005,13.397142857142821,13.397142857142821,,,0.0034108575906894867,0.000801364343036276,0.0026094932476532105,0.6542947323523138,0.1537233538494353,0.5005713785028785,horizon,12,,,4.0,5.0
LINKUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-06-16 22:30:00+00:00,2025-06-16 22:45:00+00:00,2025-06-17 01:45:00+00:00,-0.024765824581322704,13.778,13.784889,13.614,13.607193000000002,0.06564285714285718,0.06564285714285718,,,-0.012890636986630621,0.0007948437452053478,-0.013685480731835968,-2.707011969532059,0.1669158424374319,-2.873927811969491,horizon,12,,,4.0,5.0
