entry_mode,exit_model,friction_case,event_threshold,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,avg_net_return_pct,median_net_return_pct,win_rate,total_net_return_units,ev_per_trade_r,total_ev_r,max_drawdown_return_units,max_drawdown_r,max_losing_streak,profit_factor,average_win_pct,average_loss_pct,best_symbol,worst_symbol,best_month,worst_month,best_symbol_contribution,best_month_contribution
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,ADAUSDT,51,52.41409226801102,-0.012296490635023227,-0.17991004497749907,0.49019607843137253,-0.006271210223861845,-0.16927417469289088,-8.632982909337436,-0.19545697603848028,-29.73021380381353,8,0.9838675582803601,1.5298466029236917,-1.495126388287634,ADAUSDT,ADAUSDT,2025-11,2025-12,,
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,AVAXUSDT,38,39.05363737616507,0.09634587476176097,0.21935995514859633,0.5789473684210527,0.036611432409469166,-0.05403056900368947,-2.0531616221402,-0.15782085619644126,-19.792089709234457,3,1.1243883917566602,1.5042864394131794,-1.839572401633939,AVAXUSDT,AVAXUSDT,2026-01,2025-10,1.0000000000000004,1.5556811608236525
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,LINKUSDT,45,48.66995681677977,0.11341438556961433,-0.17991004497749907,0.4444444444444444,0.05103647350632645,-0.10564509252402804,-4.7540291635812615,-0.09458383812700868,-12.380218162497718,3,1.139754610915874,2.081114019155208,-1.4607453212988608,LINKUSDT,LINKUSDT,2026-02,2025-12,0.9999999999999999,1.1192385059563685
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,LTCUSDT,40,49.541167743986435,-0.4485821712527536,-0.4333092315188451,0.4,-0.17943286850110146,-0.6443086339862891,-25.772345359451563,-0.26339214549766393,-34.98368786250253,5,0.6168352392171672,1.805367554860266,-1.9512153219947665,LTCUSDT,LTCUSDT,2025-05,2025-10,,
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,XRPUSDT,32,42.66828915845914,0.1852747614416919,0.17523274624799542,0.59375,0.059287923661341405,-0.19881083238066533,-6.36194663618129,-0.15443184316452777,-22.414697032563215,2,1.2047693933343324,1.83591057079367,-2.227192959918891,XRPUSDT,XRPUSDT,2026-02,2025-10,1.0000000000000002,1.1053732901973945
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,ETHUSDT,36,38.93836757357024,0.3557589415654836,0.24208668389649007,0.5833333333333334,0.1280732189635741,0.42287559234455346,15.223521324403924,-0.0855611713272926,-19.782270955697953,4,1.5193039204138956,1.7842762207377578,-1.6441652492757,ETHUSDT,ETHUSDT,2026-02,2025-12,1.0,0.46585546459921484
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,SOLUSDT,40,43.47540373825982,0.23322095751091457,0.10740200309701745,0.575,0.09328838300436583,-0.13339834474441398,-5.335933789776559,-0.13375032261734338,-24.629548777006136,5,1.3187609340491422,1.6780338296302793,-1.7215258694741085,SOLUSDT,SOLUSDT,2026-02,2026-01,0.9999999999999999,0.6285587012457954
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,BNBUSDT,17,45.93419126146259,0.5128491743036392,-0.016628796924611347,0.4117647058823529,0.08718435963161866,0.04402341295184374,0.7483980201813436,-0.0643650609297172,-7.598606399980834,4,1.6856975527648135,3.061876001365342,-1.2714696046395528,BNBUSDT,BNBUSDT,2025-11,2025-12,0.9999999999999999,0.6648603433202972
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,BTCUSDT,4,12.367163389471829,0.9920821118386127,0.18450389842633363,0.5,0.03968328447354451,0.6336378833516977,2.5345515334067907,-0.01666057643980004,-1.6867451126599737,1,3.3498029807182528,2.8285602177067917,-0.8443959940295658,BTCUSDT,BTCUSDT,2026-02,2025-10,1.0,0.9070117804642225
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,ADAUSDT,51,52.41409226801102,-0.06644323388852752,-0.17991004497751018,0.45098039215686275,-0.03388604928314904,-0.26486223480974674,-13.507973975297084,-0.21249709137777698,-33.563888149667804,7,0.93680955444698,2.184202983405526,-1.9151883409514994,ADAUSDT,ADAUSDT,2025-05,2025-12,,
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,AVAXUSDT,38,39.05363737616507,-0.17996097580473147,0.18963099763427455,0.5,-0.06838517080579797,-0.7120589859002957,-27.058241464211235,-0.2517445389502897,-41.35203568815463,4,0.8603341344382481,2.2170996431933645,-2.577021594802828,AVAXUSDT,AVAXUSDT,2025-05,2025-10,,
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,LINKUSDT,45,48.66995681677977,-0.01315514587269687,0.0072545125328830245,0.5111111111111111,-0.005919815642713591,-0.28247446194724496,-12.711350787626024,-0.1812465495745184,-21.026245720096398,3,0.9878302867543889,2.0892111659759407,-2.2110835628053636,LINKUSDT,LINKUSDT,2026-02,2025-12,,
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,LTCUSDT,40,49.541167743986435,-0.5511350868635359,-0.09205910957296871,0.5,-0.22045403474541436,-0.8323843024158384,-33.295372096633535,-0.3317542059746534,-47.72335113036801,4,0.6197965054159292,1.7968882754421465,-2.8991584491692186,LTCUSDT,LTCUSDT,2025-05,2025-10,,
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,XRPUSDT,32,42.66828915845914,0.4452011092246233,0.7989382335308267,0.625,0.14246435495187945,0.15548185017300586,4.975419205536188,-0.15730922578566295,-20.797332792684585,3,1.3957529213303366,2.512237167335413,-2.9998589876266917,XRPUSDT,XRPUSDT,2025-11,2025-10,0.9999999999999998,0.6251955337136291
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,ETHUSDT,36,38.93836757357024,-0.07514895361531028,-0.29654991478340714,0.4166666666666667,-0.027053623301511703,-0.1559549888483794,-5.6143795985416585,-0.12453747346075694,-23.772005292070183,4,0.9288271868396742,2.3537209138512885,-1.8100560018057381,ETHUSDT,ETHUSDT,2026-02,2025-12,,
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,SOLUSDT,40,43.47540373825982,0.004668187232133372,0.17451802188638232,0.55,0.001867274892853349,-0.3975053401317147,-15.900213605268586,-0.13936130746564387,-26.447107473366785,2,1.0044306100938518,1.9241635515739388,-2.3413817025189623,SOLUSDT,SOLUSDT,2025-05,2026-01,1.0,36.650825172014585
