entry_mode,exit_model,friction_case,event_threshold,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,avg_net_return_pct,median_net_return_pct,win_rate,total_net_return_units,ev_per_trade_r,total_ev_r,max_drawdown_return_units,max_drawdown_r,max_losing_streak,profit_factor,average_win_pct,average_loss_pct,best_symbol,worst_symbol,best_month,worst_month,best_symbol_contribution,best_month_contribution
next_close,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,303,311.4013717099478,0.10213234221956329,0.01923403954517467,0.5115511551155115,0.30946099692527673,-0.11354431882005366,-34.403928602476256,-0.6299645969419749,-110.4666074109771,13,1.1243116490690936,1.8057145806973591,-1.6820247318619121,ETHUSDT,LTCUSDT,2026-02,2025-12,0.4138590007660933,1.248779339662196
next_open,fixed_horizon_12,base,-0.02,12,,,4.0,5.0,303,311.4013717099478,-0.05191492390146271,0.0072545125328830245,0.5016501650165016,-0.15730221942143202,-0.3786962988230164,-114.74497854337397,-1.2243848342943298,-189.75748651485657,14,0.9553782553551966,2.215746480582558,-2.334593953580742,XRPUSDT,LTCUSDT,2025-05,2025-12,,
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,303,311.4013717099478,-0.07799262331460909,-0.16077492963928258,0.46204620462046203,-0.23631764864326554,-0.3738079316865683,-113.2638033010302,-0.967320193721112,-170.59832421927996,14,0.9146788959548781,1.8095905242301848,-1.6992296825555357,ETHUSDT,LTCUSDT,2026-02,2025-12,,
next_open,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,303,311.4013717099478,-0.23182433712662368,-0.17273769416837065,0.47194719471947194,-0.7024277414936697,-0.6391984927920146,-193.6771433159804,-1.592296311810513,-256.7499053425838,16,0.815274433992298,2.1679159236895233,-2.3765921952310554,XRPUSDT,LTCUSDT,2025-05,2025-10,,
next_close,stop_1atr_horizon_12,base,-0.02,12,1.0,,4.0,5.0,322,330.9281903980304,0.04281398690166445,-0.6989422987757097,0.2670807453416149,0.1378610378233595,-0.2541344950676204,-81.83130741177378,-0.7538769963552641,-116.28627195413544,33,1.0617591918288434,2.7559257807299837,-0.9458623447476383,XRPUSDT,LTCUSDT,2026-02,2025-07,1.7427465000573583,2.9327677378296766
next_open,stop_1atr_horizon_12,base,-0.02,12,1.0,,4.0,5.0,325,334.01137229614864,0.3226815757585157,-0.6648706680169474,0.28923076923076924,1.048715121215176,-0.09029618801578997,-29.346261105131738,-0.6820549375768028,-88.50188868916969,28,1.4673504738564216,3.5028443983639996,-0.971410655085274,ADAUSDT,LTCUSDT,2025-10,2025-07,0.29585344950369846,1.4556335066544104
next_close,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,323,331.95591769740315,-0.11969470845094789,-0.8282446558195412,0.25077399380804954,-0.38661390829656167,-0.5197197460407739,-167.86947797116994,-0.9517116761283071,-172.56616407240236,33,0.8497818715251868,2.7000858305400315,-1.0635055500140442,XRPUSDT,LTCUSDT,2026-02,2025-07,,
next_open,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,326,335.0390995955214,0.11461065510219323,-0.8107042261796485,0.26993865030674846,0.3736307356331499,-0.33903291640985217,-110.5247307496118,-0.83857406403675,-141.30748251308032,28,1.1428035690420841,3.397758042501515,-1.0993261940202452,BNBUSDT,LTCUSDT,2025-10,2025-07,0.5823953142859245,3.836919136796148
next_close,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,327,336.0668268948942,-0.04226236375492493,-0.5832448926574973,0.3853211009174312,-0.13819792947860454,-0.2594446183541012,-84.8383902017911,-0.4758724890350961,-84.5975481543448,20,0.9300675850726714,1.4587033289232163,-0.9831662308068938,BTCUSDT,LTCUSDT,2026-02,2025-05,,
next_open,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,336,345.31637258924906,0.002687237584187453,-0.5750013691990645,0.39285714285714285,0.009029118282869841,-0.22476674601347688,-75.52162666052823,-0.5407411054336568,-102.16179536240668,16,1.0045053093798246,1.525102483893653,-0.982404980616055,XRPUSDT,ETHUSDT,2025-10,2026-01,19.710418632369077,61.74745123647017
next_close,stop_1atr_tp_1_5r,stress,-0.02,12,1.0,1.5,8.0,10.0,329,338.1222814936397,-0.20674989388964413,-0.7420815753250853,0.3556231003039514,-0.6802071508969291,-0.5051082838261017,-166.18062537878745,-0.8346961866266815,-164.90124206074879,20,0.7067361781073983,1.4010517115971515,-1.094074364842262,BTCUSDT,ADAUSDT,2026-02,2025-05,,
next_open,stop_1atr_tp_1_5r,stress,-0.02,12,1.0,1.5,8.0,10.0,336,345.31637258924906,-0.1862377219972934,-0.7320201208921462,0.3630952380952381,-0.6257587459109059,-0.4676238652151084,-157.12161871227642,-0.7770702656891245,-176.59081502518376,23,0.7346084102016484,1.419762946447825,-1.1018081965314264,XRPUSDT,LTCUSDT,2025-10,2026-01,,
next_close,wide_1_5atr_tp_1_5r,base,-0.02,12,1.5,1.5,4.0,5.0,318,326.8172812005393,-0.01828981050047252,-0.6917825383180901,0.41509433962264153,-0.05816159739150262,-0.26962627074345136,-85.74115409641753,-0.540691652109437,-99.72690408526651,16,0.9756227819431692,1.763437960961757,-1.2827417773446355,LINKUSDT,LTCUSDT,2026-02,2025-12,,
next_open,wide_1_5atr_tp_1_5r,base,-0.02,12,1.5,1.5,4.0,5.0,327,336.0668268948942,-0.03346218089655364,-0.7699883379449658,0.38837920489296635,-0.10942133153173039,-0.30960255545632337,-101.24003563421775,-0.8281451565864841,-141.288446546614,15,0.9584781285555829,1.9888570176915668,-1.3176348720000102,XRPUSDT,LTCUSDT,2025-10,2025-07,,
next_close,wide_1_5atr_tp_1_5r,stress,-0.02,12,1.5,1.5,8.0,10.0,318,326.8172812005393,-0.18090058299527445,-0.8515485849226222,0.4025157232704403,-0.5752638539249727,-0.48773496257211535,-155.09971809793268,-0.9074192014991568,-156.78776300199394,16,0.7855289740713474,1.6460790822347076,-1.4117079364133676,BTCUSDT,ADAUSDT,2026-02,2025-12,,
