entry_mode,model,allow_stacking,friction_case,event_threshold,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_drawdown_pct,worst_drawdown_start,worst_drawdown_end,max_losing_streak,average_win_pct,average_loss_pct,positive_month_rate,positive_symbol_rate,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,average_concurrent_positions,max_concurrent_positions
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,2025-05,40,706.5793450881612,0.6589417486239942,0.6934071649471152,0.2635766994495977,0.8,1.0897669771386922,3.824224471358247,16.072885448732045,-0.054421555984520836,-5.442155598452084,2025-05-11T03:30:00+00:00,2025-05-12T17:30:00+00:00,4,1.0228331284165577,-0.7966237705462583,1.0,0.8571428571428571,2025-05,2025-05,LTCUSDT,LINKUSDT,1.0000000000000002,0.21205738235771984,3.075,7
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,2025-06,25,537.7914110429448,-0.16695133854482108,-0.639717653456382,-0.04173783463620527,0.36,1.6254533498604353,-0.5135531529070207,-2.381893429946075,-0.13968015453469626,-13.968015453469626,2025-06-05T23:45:00+00:00,2025-06-17T01:45:00+00:00,7,1.5376305654459466,-1.1257786595396275,0.0,0.2857142857142857,2025-06,2025-06,ETHUSDT,ADAUSDT,,,2.38,7
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,2025-07,23,667.0570719602978,0.029550309768487108,-0.4458847724461456,0.006796571246752035,0.43478260869565216,1.1912194851191689,0.11896909753553,0.6406956060363068,-0.11072395620833833,-11.072395620833833,2025-07-11T19:00:00+00:00,2025-07-23T16:45:00+00:00,13,1.1752052745509034,-0.8517227400641407,1.0,0.6666666666666666,2025-07,2025-07,XRPUSDT,ADAUSDT,0.9999999999999969,1.5542296448790167,2.369565217391304,6
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,2025-08,15,236.174225415357,-0.20799990891860054,-0.10783360838334302,-0.031199986337790076,0.4666666666666667,1.0212380331233675,-0.7888270482745366,-3.130058209138292,-0.05635666513219031,-5.6356665132190304,2025-08-14T19:15:00+00:00,2025-08-24T22:45:00+00:00,4,0.6242100450684558,-0.9361836186572748,0.0,0.42857142857142855,2025-08,2025-08,SOLUSDT,ADAUSDT,,,1.9,7
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,2025-09,9,147.5343618513324,-0.38490213912864024,-0.17995002498749404,-0.03464119252157762,0.4444444444444444,0.8830142082753882,-1.3076872450797519,-5.2945520758850755,-0.04567838910359043,-4.567838910359042,2025-09-01T23:45:00+00:00,2025-09-22T09:15:00+00:00,4,0.36567416224475796,-0.9853631802273588,0.0,0.3333333333333333,2025-09,2025-09,ADAUSDT,LTCUSDT,,,1.6111111111111112,5
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,2025-10,45,594.3050847457627,-0.4837777824247917,0.502955569212129,-0.21770000209115625,0.5777777777777777,3.837048355129191,-0.84577511726681,-3.0736426238541408,-0.5082833191843797,-50.828331918437975,2025-10-10T09:45:00+00:00,2025-10-11T00:00:00+00:00,10,1.5383390901269898,-3.250885081706177,0.0,0.5555555555555556,2025-10,2025-10,SOLUSDT,LTCUSDT,,,3.3444444444444446,9
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,2025-11,30,613.0069930069931,0.6921354015985698,0.11319891316408323,0.20764062047957094,0.5333333333333333,3.1978925973424652,1.1854624905741822,5.358705672305762,-0.14751920496756613,-14.751920496756613,2025-11-05T04:30:00+00:00,2025-11-21T15:30:00+00:00,9,2.815783585567895,-1.734891094366373,1.0,0.875,2025-11,2025-11,BNBUSDT,LTCUSDT,1.0,0.2792785870825648,2.066666666666667,7
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,2025-12,18,214.24032586558044,-1.6353388739268573,-2.115168870379273,-0.29436099730683435,0.1111111111111111,2.0924065835719867,-3.315873357607996,-11.439638293712754,-0.2649022836231527,-26.49022836231527,2025-12-01T03:15:00+00:00,2025-12-31T19:45:00+00:00,11,3.3019998357211393,-2.252506212632857,0.0,0.0,2025-12,2025-12,AVAXUSDT,ADAUSDT,,,2.2777777777777777,7
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,2026-01,41,596.0298507462686,-0.006675208239929601,0.04490831778946276,-0.0027368353783711365,0.5365853658536586,2.7020213427546245,-0.01581859735698105,-0.06031287748456778,-0.3201488273884004,-32.014882738840036,2026-01-21T19:45:00+00:00,2026-01-31T17:30:00+00:00,6,1.807554892210669,-2.1073626929722025,0.0,0.6666666666666666,2026-01,2026-01,AVAXUSDT,SOLUSDT,,,3.0121951219512195,8
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,2026-02,43,597.1295049504951,0.8991090840791014,-0.6027035922599322,0.38661690615401356,0.4418604651162791,3.377000344788297,1.7458844961592075,6.506022276387573,-0.24163162613458003,-24.163162613458002,2026-02-02T06:30:00+00:00,2026-02-05T23:30:00+00:00,11,3.8720002947409906,-1.4544297910282278,1.0,1.0,2026-02,2026-02,XRPUSDT,LTCUSDT,1.0,0.16958076928311192,3.4767441860465116,9
