symbol,timeframe,entry_mode,model,allow_stacking,friction_case,event_threshold,signal_time,signal_return,entry_time,exit_time,entry_price,exit_price,atr_14_prior,stop,horizon_bars,exit_reason,exit_legs,gross_return,fee_return,net_return,net_return_pct,taker_fee_bps_per_side,slippage_bps_per_side
XRPUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-11 00:15:00+00:00,-0.023511735564038072,2025-05-11 00:30:00+00:00,2025-05-11 03:30:00+00:00,2.4274131,2.4090948500000002,0.015021428571428519,,12,horizon,horizon:1.0@2025-05-11T03:30:00+00:00,-0.007546408149482153,0.0008,-0.008346408149482152,-0.8346408149482152,4.0,5.0
ADAUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-12 14:15:00+00:00,-0.020863137815927413,2025-05-12 14:30:00+00:00,2025-05-12 17:30:00+00:00,0.8314154999999999,0.8166914500000001,0.012857142857142836,,12,horizon,horizon:1.0@2025-05-12T17:30:00+00:00,-0.017709616912361836,0.0008,-0.01850961691236184,-1.850961691236184,4.0,5.0
LINKUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-12 14:15:00+00:00,-0.022169756996429646,2025-05-12 14:30:00+00:00,2025-05-12 17:30:00+00:00,17.182586999999998,16.749621,0.1774285714285718,,12,horizon,horizon:1.0@2025-05-12T17:30:00+00:00,-0.025197951856725465,0.0008,-0.025997951856725467,-2.5997951856725465,4.0,5.0
XRPUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-12 14:15:00+00:00,-0.020109407504430243,2025-05-12 14:30:00+00:00,2025-05-12 17:30:00+00:00,2.5857922499999995,2.58380745,0.046107142857142805,,12,horizon,horizon:1.0@2025-05-12T17:30:00+00:00,-0.0007675790659513737,0.0008,-0.0015675790659513736,-0.15675790659513736,4.0,5.0
ADAUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-14 08:45:00+00:00,-0.021100134162702733,2025-05-14 09:00:00+00:00,2025-05-14 12:00:00+00:00,0.8068031999999999,0.8229883000000001,0.0061357142857143,,12,horizon,horizon:1.0@2025-05-14T12:00:00+00:00,0.02006077814267493,0.0008,0.019260778142674927,1.9260778142674926,4.0,5.0
LTCUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-14 08:45:00+00:00,-0.020421989934185092,2025-05-14 09:00:00+00:00,2025-05-14 12:00:00+00:00,101.88091499999999,102.45874500000001,0.7614285714285701,,12,horizon,horizon:1.0@2025-05-14T12:00:00+00:00,0.005671621618239531,0.0008,0.00487162161823953,0.48716216182395305,4.0,5.0
ADAUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-21 17:15:00+00:00,-0.03040935672514622,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,0.7479738,0.7598199,0.006971428571428565,,12,horizon,horizon:1.0@2025-05-21T20:30:00+00:00,0.015837586824565264,0.0008,0.015037586824565265,1.5037586824565266,4.0,5.0
AVAXUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-21 17:15:00+00:00,-0.03529210210724676,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,22.6543215,22.666661,0.24550000000000008,,12,horizon,horizon:1.0@2025-05-21T20:30:00+00:00,0.0005446863637033061,0.0008,-0.0002553136362966939,-0.02553136362966939,4.0,5.0
ETHUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-21 17:15:00+00:00,-0.03467696673006759,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,2476.4375999999997,2496.601075,24.047142857142813,,12,horizon,horizon:1.0@2025-05-21T20:30:00+00:00,0.008142129242424856,0.0008,0.0073421292424248556,0.7342129242424855,4.0,5.0
LINKUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-21 17:15:00+00:00,-0.03341568869672651,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,15.6768345,15.8510705,0.17471428571428568,,12,horizon,horizon:1.0@2025-05-21T20:30:00+00:00,0.01111423355269836,0.0008,0.010314233552698362,1.0314233552698362,4.0,5.0
LTCUSDT,15m,next_close,pure_horizon_12_single_position,False,base,-0.02,2025-05-21 17:15:00+00:00,-0.02555383822771773,2025-05-21 17:30:00+00:00,2025-05-21 20:30:00+00:00,95.137545,96.021965,0.7650000000000016,,12,horizon,horizon:1.0@2025-05-21T20:30:00+00:00,0.009296224744920645,0.0008,0.008496224744920646,0.8496224744920646,4.0,5.0
