entry_mode,model,allow_stacking,friction_case,event_threshold,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_drawdown_pct,worst_drawdown_start,worst_drawdown_end,max_losing_streak,average_win_pct,average_loss_pct,positive_month_rate,positive_symbol_rate,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,average_concurrent_positions,max_concurrent_positions
next_close,pure_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,367,377.1759188698048,0.602290775620518,0.12646573705567218,2.210407146527301,0.5395095367847411,4.269449257919355,2.7025104848474686,2.7397209705188716,-1.0056198398789409,-100.56198398789408,2025-11-05T04:30:00+00:00,2026-02-05T23:30:00+00:00,18,2.703063011462391,-1.858969003649842,0.5,1.0,2025-10,2025-12,LINKUSDT,LTCUSDT,0.8548867738643791,0.289322081496312,5.5272479564032695,43
next_close,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,367,377.1759188698048,0.5645772123002174,0.07148704237800682,2.071998369141798,0.5149863760217984,3.9914673492798634,2.7097161270975225,2.747025826240696,-0.6659304204429097,-66.59304204429097,2025-08-14T19:15:00+00:00,2025-10-11T00:00:00+00:00,17,2.5039277557505395,-1.4946208366442253,0.6666666666666666,1.0,2025-10,2025-12,LINKUSDT,LTCUSDT,0.7188109934902863,0.26955935789446966,5.5272479564032695,43
next_close,pure_horizon_6_stacked,True,base,-0.02,6,4.0,5.0,367,377.1759188698048,0.526863648979917,0.05193751303661739,1.9335895917562953,0.5122615803814714,3.916999167529594,2.5767826538926975,2.612262010793844,-0.7530607660979739,-75.30607660979739,2025-08-14T17:45:00+00:00,2025-10-10T22:30:00+00:00,14,2.39480278545711,-1.4349942150296484,0.6666666666666666,1.0,2025-10,2025-12,LINKUSDT,LTCUSDT,0.5632542617564487,0.24696735301887549,4.516348773841962,35
next_open,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,367,377.1759188698048,0.496685434354776,-0.8273014190903736,1.822835544082028,0.4114441416893733,4.102474471896935,2.3193621684899037,2.3512971390372086,-0.9490569031593661,-94.90569031593661,2025-06-05T23:45:00+00:00,2025-10-10T21:15:00+00:00,23,3.5064515149367836,-1.6073640016076456,0.3333333333333333,0.8888888888888888,2025-10,2025-12,LINKUSDT,SOLUSDT,1.1442343958342227,0.29648784607439244,3.6689373297002725,26
next_open,pure_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,367,377.1759188698048,0.4453311365814647,0.13529863942142403,1.6343652712539756,0.5204359673024523,4.663489159193951,1.829385033411416,1.8545735778980719,-1.3969596141164955,-139.69596141164956,2025-07-24T09:45:00+00:00,2025-10-11T00:15:00+00:00,21,3.0626578390269623,-2.395063182549729,0.5,0.8888888888888888,2025-10,2025-12,LINKUSDT,LTCUSDT,0.8539442993024886,0.3129423029716351,5.5272479564032695,43
next_close,pure_horizon_12_stacked,True,stress,-0.02,12,8.0,10.0,367,377.1759188698048,0.4216587505414255,-0.05369070054081591,1.5474876144870313,0.49591280653950953,4.265181940186643,1.8938980113202242,1.9199748259000229,-1.204448060942643,-120.4448060942643,2025-11-05T04:30:00+00:00,2026-02-05T23:30:00+00:00,21,2.7519060406492013,-1.8708007456727107,0.4166666666666667,0.7777777777777778,2025-10,2025-12,LINKUSDT,LTCUSDT,1.1233267295151985,0.34886474823379676,5.5272479564032695,43
next_open,scaled_exit_6_12_stacked,True,base,-0.02,12,4.0,5.0,367,377.1759188698048,0.40967598638211933,0.1825402345884653,1.503510870022378,0.5367847411444142,4.4430970704071235,1.766394641519283,1.7907158801848957,-1.484598611203701,-148.4598611203701,2025-07-24T09:45:00+00:00,2025-10-11T00:15:00+00:00,18,2.6334160296198994,-2.1672462990169543,0.5,0.8888888888888888,2025-10,2025-12,LINKUSDT,LTCUSDT,0.6692087068138115,0.2883563990608498,5.5272479564032695,43
next_close,wide_stop_2atr_horizon_12_stacked,True,base,-0.02,12,4.0,5.0,367,377.1759188698048,0.38741958318775094,-0.7183703744062386,1.421829870299046,0.4250681198910082,4.057688630525586,1.8290934038594957,1.854277932939986,-1.0179475501411082,-101.79475501411082,2025-06-05T23:45:00+00:00,2025-10-10T22:00:00+00:00,21,3.0897797979272426,-1.6105339405059014,0.5,0.7777777777777778,2025-10,2025-08,LINKUSDT,SOLUSDT,1.1624072029612835,0.28469275184427484,4.213896457765667,28
next_close,scaled_exit_6_12_stacked,True,stress,-0.02,12,8.0,10.0,367,377.1759188698048,0.38398288195592445,-0.10861444397193373,1.4092171767782429,0.46866485013623976,3.98747787467315,1.8447886147459291,1.8701892489712741,-0.8483088432167447,-84.83088432167447,2025-11-05T04:30:00+00:00,2026-02-05T23:30:00+00:00,23,2.559410560443935,-1.5348558908642687,0.5,0.8888888888888888,2025-10,2025-12,LINKUSDT,LTCUSDT,0.9497908963970995,0.32567853312692147,5.5272479564032695,43
next_open,pure_horizon_6_stacked,True,base,-0.02,6,4.0,5.0,367,377.1759188698048,0.37402083618277393,0.24164329300095047,1.3726564687907803,0.5449591280653951,4.405643113671742,1.6263706018976465,1.6487638693123772,-1.674853406125909,-167.4853406125909,2025-06-05T22:15:00+00:00,2025-10-10T22:45:00+00:00,18,2.4000139278839696,-2.0523181957947054,0.4166666666666667,0.7777777777777778,2026-02,2025-12,ADAUSDT,LTCUSDT,0.5521358189411127,0.26449368143653595,4.516348773841962,35
