timeframe,param_id,exit_model,friction_case,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_b,base,1.5,0.25,0.5,0.6,0.4,1.2,2.0,3351,-0.4651716393222535,-1558.7901633688716,-1582.4645471927422,0.45621820006966757,3097,-0.43036758196998154,-1332.8484013610328,-1345.8318460725236,0.4767803935369947,0.03480405735227199,-254
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_b,stress,1.5,0.25,0.5,0.6,0.4,1.2,2.0,3506,-0.907564243822538,-3181.920238841818,-3181.453452981468,0.23284620553362914,3223,-0.8704394211851921,-2805.4262544798744,-2803.875576928865,0.2392977687627145,0.037124822637345845,-283
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,1.5,0.25,0.5,0.7,0.3,1.0,1.5,3810,-0.5320664181336805,-2027.1730530893226,-2027.9533546342536,0.3908904584236807,3518,-0.5081281556006091,-1787.5948514029426,-1786.8498263765935,0.39994881185328696,0.02393826253307141,-292
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,stress,1.5,0.25,0.5,0.7,0.3,1.0,1.5,3965,-1.0453119889561,-4144.662036210936,-4144.032909598034,0.16955482493646123,3619,-1.026417543042238,-3714.6050882698596,-3712.6150508535807,0.1667880838700522,0.018894445913862024,-346
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_b,base,1.5,0.25,0.5,0.7,0.3,1.2,2.0,3165,-0.46011430878006515,-1456.2617872889061,-1477.961083753679,0.4603387165311013,2929,-0.43645842763004233,-1278.386734528394,-1294.7016068834023,0.4710417502521024,0.023655881150022817,-236
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_b,stress,1.5,0.25,0.5,0.7,0.3,1.2,2.0,3291,-0.8977347052252206,-2954.4449148962008,-2954.3014609432444,0.23568440484827746,3037,-0.863735015814623,-2623.16324302901,-2622.089862315441,0.23961621923117565,0.03399968941059761,-254
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,1.5,0.0,0.25,0.6,0.4,1.0,1.5,4929,-0.5235902689761979,-2580.7764357836795,-2583.3365371901227,0.39642534322146433,4442,-0.5092699579555874,-2262.1771532387193,-2262.576892357136,0.39871681859959757,0.014320311020610488,-487
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,stress,1.5,0.0,0.25,0.6,0.4,1.0,1.5,5156,-1.0328300787860736,-5325.271886220996,-5325.229319769908,0.1716855899526397,4619,-1.0243813215664581,-4731.61732431547,-4729.388123294277,0.16773350165040135,0.008448757219615466,-537
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_b,base,1.5,0.0,0.25,0.6,0.4,1.2,2.0,3875,-0.44200370369090974,-1712.7643518022753,-1733.3503289574255,0.4746833161009644,3568,-0.4297597691161125,-1533.3828562062895,-1560.4982072573382,0.47510753397389033,0.012243934574797222,-307
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_b,stress,1.5,0.0,0.25,0.6,0.4,1.2,2.0,4077,-0.8897458484679527,-3627.493824203843,-3626.8458040008054,0.23852914070122908,3733,-0.873187699820988,-3259.609683431748,-3259.9457999906876,0.2365676088101293,0.0165581486469647,-344
