timeframe,param_id,exit_model,friction_case,entry_mode,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,funding_z_lookback,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r,best_symbol_ev_share,best_symbol_total_ev_r,best_month_ev_share,best_month_total_ev_r
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,4265,4665.064104563746,0.3399765533411489,-0.5069299410646889,-2162.0561986408984,-2164.992992376378,21,0.4005934234072792,0.9965091429844335,-1.2813479417294233,,-671.1601031479906,,-168.69418796649808
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,3518,3848.834695787831,0.3413871517907902,-0.5081281556006091,-1787.5948514029426,-1786.8498263765935,23,0.39994881185328696,0.9920697300282831,-1.2857447549274539,,-578.2723973059846,,-191.83904006268295
15m,fz2_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,2.0,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2079,2289.368004522329,0.34054834054834054,-0.5083310537618362,-1056.8202607708574,-1073.729737103517,20,0.40126829267379144,1.0003925739828663,-1.2874531022251838,,-77.9532510493438,,-175.71409872584837
15m,fz1.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,4442,4858.666999407305,0.33993696533093204,-0.5092699579555874,-2262.1771532387193,-2262.576892357136,22,0.39871681859959757,0.993425180055509,-1.2831682043392012,,-709.5970550611933,,-321.21914085329615
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,3961,4332.548398165767,0.3382984094925524,-0.5106329925797957,-2022.6172836085705,-2030.6126098364803,21,0.3968353057985407,0.9930778763759804,-1.2794130629349043,,-642.5374804777581,,-271.66821519020044
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,3764,4116.812626719487,0.3387353878852285,-0.5118554201430412,-1926.623801418407,-1925.6693022374793,20,0.39722086505943816,0.9957735320891901,-1.2841442566621635,,-120.10301413126159,,-13.235748381435085
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,3792,4147.437162731215,0.3404535864978903,-0.5120982015423491,-1941.8763802485878,-1940.9218810676605,20,0.3972755795817343,0.9914445252055878,-1.2882172180283893,,-634.3848183864862,,-173.36551189290776
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,4124,4510.838069688368,0.3372938894277401,-0.5146665807377654,-2122.4849789625446,-2127.022061797849,23,0.39313980006447174,0.9884981298740431,-1.279724067917065,,-678.0854007504174,,-292.3990597236309
15m,fz2_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,2.0,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,1837,2022.944254263371,0.34077299945563416,-0.517724070124186,-951.0591168181296,-958.7643127485436,18,0.39592913272016783,0.9957785044540475,-1.3000961689565347,,-71.41106624616026,,-97.34113339429867
15m,fz2_react0_body0.5_cl0.6_cs0.4,model_a,base,next_close,2.0,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,1851,2038.3613579975504,0.34359805510534847,-0.5188361411361412,-960.3656972429973,-965.5857988872747,19,0.3954189542628979,0.9876031795605241,-1.3073920324637784,,-73.01390150318231,,-174.08665681787056
