timeframe,param_id,exit_model,friction_case,entry_mode,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,funding_z_lookback,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-01,367,4319.73413897281,0.2997275204359673,-0.6455606919959364,-236.92077396250866,,,0.30840985246922303,0.9604834887403748,-1.332972598147665
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-02,375,4899.031296572281,0.424,-0.18619916996108202,-69.82468873540576,,,0.7169858845895458,1.1125368201622445,-1.142213162690753
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-03,331,4069.489481065919,0.2930513595166163,-0.6101158587374886,-201.94834924210875,,,0.30973647306407187,0.9342131924752857,-1.2502864483427838
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-04,305,3715.955524669909,0.32786885245901637,-0.638354859008035,-194.69823199745068,,,0.303509104165955,0.8484344351045435,-1.3636179293068538
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-05,19,3640.5245901639346,0.3157894736842105,-0.6966183358650045,-13.235748381435085,,,0.27531705212875873,0.8380739093785863,-1.4049378336697385
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-06,294,4041.088200705606,0.36054421768707484,-0.5592579158847399,-164.42182727011354,,,0.37673263731985,0.9375889175038198,-1.4032247474761617
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-07,242,2888.1851599727706,0.384297520661157,-0.4695175258463421,-113.62324125481479,,,0.44218747700688243,0.9685061979346842,-1.3670759574680564
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-08,434,5118.659939455096,0.33640552995391704,-0.4824832745928251,-209.39774117328608,,,0.41793053870519703,1.0297894284960871,-1.249121519908732
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-09,343,4203.758126529186,0.27988338192419826,-0.7153182880619747,-245.35417280525735,,,0.28641614284545386,1.0258283344075836,-1.3920392425440704
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-10,387,4764.6657303370785,0.35658914728682173,-0.3843479914980646,-148.742672709751,,,0.49163081449123003,1.0423567237284652,-1.1750518095754183
15m,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-11,228,3021.387755102041,0.38596491228070173,-0.3320399083094433,-75.70509909455308,,,0.5450464911906557,1.0306447359142765,-1.1885845418214958
