scenario_id,scenario_entry_mode,scenario_friction_mode,concurrent_cap,symbol_cap,selection_policy,account_allocation,symbol,trades_taken,trades_skipped,skip_rate,cumulative_return_units,average_trade_return_pct,median_trade_return_pct,win_rate,account_total_return_pct,cagr_pct,max_drawdown_pct,max_drawdown_units,sharpe_like,max_losing_streak,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,average_exposure_pct,max_exposure_pct,p95_exposure_pct,worst_month,worst_month_return_pct,best_month,best_month_contribution,best_symbol,best_symbol_contribution,positive_symbol_rate,liquidation_margin_risk_proxy
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,XRPUSDT,69,0,0.0,0.8356735201592034,1.2111210437089903,1.18985295617498,0.6376811594202898,0.20906163936311728,0.03496071689328417,-0.05025971311873878,-0.20104569399122313,1.7306250882204437,4,0.5,1,1.0,0.125,0.25,0.25,2020-03,-0.03800554368227349,2022-05,0.2025323244253251,XRPUSDT,1.0,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,LTCUSDT,28,0,0.0,0.00025143183760658987,0.0008979708485949637,0.885234129337675,0.6071428571428571,5.067613126907844e-05,8.512539495519889e-06,-0.05445846249124697,-0.2178722924607187,0.0012505519763094837,2,0.5,1,1.0,0.125,0.25,0.25,2022-05,-0.022252139045209063,2025-03,382.699108980941,LTCUSDT,1.0000000000001104,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,ADAUSDT,68,0,0.0,0.45818739082500504,0.6738049865073603,1.107805015113455,0.5735294117647058,0.11453528763274434,0.019435629682118538,-0.07267991052457567,-0.290748262740321,0.9214579430296105,4,0.5,1,1.0,0.125,0.25,0.25,2020-03,-0.07349785922379226,2021-02,0.692426457654196,ADAUSDT,0.9999999999999999,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,BTCUSDT,27,0,0.0,0.00021841712795622747,0.0008089523257638055,0.77229348382789,0.6296296296296297,3.4890144440247184e-05,5.909229816580819e-06,-0.07089246625914258,-0.2836136276467901,0.0008534153549784578,2,0.5,1,1.0,0.125,0.25,0.25,2020-03,-0.0410813895433737,2026-02,377.4359053186759,BTCUSDT,0.9999999999999047,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,ETHUSDT,54,0,0.0,0.34684094000775656,0.642298037051401,0.464739824989055,0.5555555555555556,0.08667499025223346,0.014674580537343829,-0.07109648203543761,-0.2844493297895589,0.7153035429560096,4,0.5,1,1.0,0.125,0.25,0.25,2021-04,-0.0239505709574539,2020-03,0.5380607176503815,ETHUSDT,1.0000000000000002,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,BNBUSDT,52,0,0.0,0.8878960541655887,1.7074924118569015,1.05810694508869,0.5576923076923077,0.22212649695743103,0.03758618542950565,-0.07452237526617278,-0.2981577742846728,1.6464383897754888,6,0.5,1,1.0,0.125,0.25,0.25,2021-05,-0.06759035516511469,2020-03,0.44393468809680253,BNBUSDT,0.9999999999999998,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,LINKUSDT,56,0,0.0,0.3687885538341512,0.6585509889895558,0.138573347880685,0.5178571428571429,0.09219877098367579,0.01561456001126782,-0.059902843437242836,-0.2396604313202773,1.020428331366292,5,0.5,1,1.0,0.125,0.25,0.25,2025-02,-0.03288160249018679,2021-04,0.7315236373165205,LINKUSDT,1.0,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,AVAXUSDT,71,0,0.0,0.7562171847963352,1.0650946264737116,1.01561063306853,0.6056338028169014,0.18907647782313575,0.03636340797392723,-0.17608301870288834,-0.7047477345098231,1.070261434526927,5,0.5,1,1.0,0.125,0.25,0.25,2021-05,-0.1261515574448313,2022-05,0.5314413742204557,AVAXUSDT,1.0000000000000002,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,SOLUSDT,55,0,0.0,0.5612711005761927,1.0204929101385323,0.27402105279571004,0.5454545454545454,0.14028637063543403,0.02698327252750321,-0.0869436225184761,-0.34773398666610494,0.8692318001444431,3,0.5,1,1.0,0.125,0.25,0.25,2021-06,-0.044160078351740406,2021-02,0.3541249537545121,SOLUSDT,1.0000000000000002,1.0,low
next_close_base_ccap5_scap1_largest_drop_alloc0.0025,next_close,base,5,1,largest_drop,0.0025,XRPUSDT,62,0,0.0,0.13177752578135934,0.21254439642154735,0.64139936381586,0.5967741935483871,0.03288686024780496,0.005503990899957678,-0.09310922964890223,-0.37257355620002874,0.2914915584836621,5,0.5,1,1.0,0.125,0.25,0.25,2021-05,-0.058810612524917705,2020-12,1.249819167681503,XRPUSDT,0.999999999999999,1.0,low
