scenario_id,scenario_entry_mode,scenario_friction_mode,concurrent_cap,symbol_cap,selection_policy,account_allocation,year,trades_taken,trades_skipped,skip_rate,cumulative_return_units,average_trade_return_pct,median_trade_return_pct,win_rate,account_total_return_pct,cagr_pct,max_drawdown_pct,max_drawdown_units,sharpe_like,max_losing_streak,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,average_exposure_pct,max_exposure_pct,p95_exposure_pct,worst_month,worst_month_return_pct,best_month,best_month_contribution,best_symbol,best_symbol_contribution,positive_symbol_rate,liquidation_margin_risk_proxy
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2020,58,0,0.0,0.37227417298885934,0.641852022394585,0.326114061760595,0.5172413793103449,0.09293759277346769,0.10874640905249588,-0.26831338277322203,-1.074459676548929,0.49543701847932314,10,2.1551724137931036,5,5.0,0.5387931034482759,1.25,1.25,2020-03,-0.033239020791941964,2020-12,1.1815424399083887,BNBUSDT,1.0135563949545012,0.6666666666666666,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2021,195,0,0.0,1.5213808541055585,0.7801953097977223,1.47924363013644,0.5846153846153846,0.380778620605815,0.4133660433621955,-0.4172137195145531,-1.6718352745113119,1.5862447896611356,8,2.1307692307692307,5,5.0,0.5326923076923077,1.25,1.25,2021-05,-0.21007152767953396,2021-02,0.8221092932944537,ADAUSDT,0.3171425157587688,0.5555555555555556,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2022,95,0,0.0,1.0660899228798697,1.1221999188209155,0.27160964041109,0.5368421052631579,0.26675304136098976,0.29615044824529146,-0.10897254327423278,-0.43606772890970324,1.7051637181944428,6,1.9526315789473685,5,4.0,0.4881578947368422,1.25,1.0,2022-02,-0.026760371389578097,2022-05,0.7773573859226719,AVAXUSDT,0.27998465034024345,0.8888888888888888,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2023,18,0,0.0,0.024439227322119103,0.13577348512288392,-0.53122272170366,0.4444444444444444,0.006106856388221615,0.010882549433910427,-0.03153749643453052,-0.1261663870127076,0.23744629603759035,7,1.7777777777777777,5,4.25,0.4444444444444444,1.25,1.0625,2023-06,-0.03153749643454162,2023-08,6.030796530504891,ETHUSDT,1.8438318266330866,0.5,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2024,47,0,0.0,1.3491077647170084,2.8704420525893797,2.3158525106201098,0.8085106382978723,0.3378150201025054,0.4262569128039795,-0.012387107540989817,-0.049550176366849996,5.393409768515565,3,2.24468085106383,5,5.0,0.5611702127659575,1.25,1.25,2024-11,-0.005804595356584397,2024-04,0.4432335661062608,AVAXUSDT,0.25750509326456267,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2025,46,0,0.0,-0.36067008967815606,-0.7840654123438175,0.490247692441025,0.5434782608695652,-0.09017277255870537,-0.11447418652390517,-0.16092825480414907,-0.6440634841733451,-0.9396394038433603,10,1.934782608695652,5,4.0,0.483695652173913,1.25,1.0,2025-02,-0.14949245782995835,2025-03,,ETHUSDT,,0.375,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2026,21,0,0.0,0.2427227409945362,1.155822576164458,0.21757083502939,0.5714285714285714,0.060690311920130746,1.2387436788560802,-0.03430650544097302,-0.1372459031873974,1.4891657547518542,4,1.9285714285714286,5,4.0,0.4821428571428572,1.25,1.0,2026-01,-0.013877871884881987,2026-02,1.2288375419216986,XRPUSDT,0.5059115700742404,0.6666666666666666,low
next_close_base_ccap5_scap1_largest_drop_alloc0.0025,next_close,base,5,1,largest_drop,0.0025,2020,57,0,0.0,0.05408498153162386,0.09488593251162081,-0.050170004304589996,0.47368421052631576,0.013386662004943872,0.015662693371698566,-0.27489782481845415,-1.1008787376842024,0.08141999304402761,10,2.1140350877192984,5,5.0,0.5285087719298246,1.25,1.25,2020-03,-0.11026828702211944,2020-12,8.202919449540227,ADAUSDT,5.862434718001252,0.5555555555555556,low
next_close_base_ccap5_scap1_largest_drop_alloc0.0025,next_close,base,5,1,largest_drop,0.0025,2021,195,0,0.0,1.8240085533724884,0.9353890017294811,1.42696697427414,0.5897435897435898,0.4567283988980986,0.49583171808231796,-0.38565774595323843,-1.5450538534844145,1.8318743498167163,8,2.1307692307692307,5,5.0,0.5326923076923077,1.25,1.25,2021-05,-0.16418855002536814,2021-02,0.7013137470469415,BNBUSDT,0.3079794228878767,0.7777777777777778,low
next_close_base_ccap5_scap1_largest_drop_alloc0.0025,next_close,base,5,1,largest_drop,0.0025,2022,95,0,0.0,1.1207879848990001,1.1797768262094739,0.11020039165921999,0.5157894736842106,0.2804609169435146,0.3113713387561834,-0.10897254327421058,-0.43606772890970324,1.76617852701317,6,1.9526315789473685,5,4.0,0.4881578947368422,1.25,1.0,2022-02,-0.026760371389578097,2022-05,0.7788312270944314,AVAXUSDT,0.2663204979982684,1.0,low
