scenario_entry_mode,scenario_friction_mode,concurrent_cap,symbol_cap,selection_policy,account_allocation,trades_taken,trades_skipped,skip_rate,account_total_return_pct,cagr_pct,max_drawdown_pct,max_exposure_pct,sharpe_like,best_month_contribution,best_symbol_contribution
next_open,base,unlimited,unlimited,symbol_order,0.01,966,0,0.0,35.917847629212,5.270526681038867,-2.6296374589889093,45.0,11.043008143711003,0.23993314945053704,0.15977527782672604
next_open,base,unlimited,unlimited,liquidity_priority,0.01,966,0,0.0,35.917847629212,5.270526681038867,-2.6296374589889093,45.0,11.043008143711003,0.23993314945053704,0.15977527782672604
next_open,base,unlimited,unlimited,largest_drop,0.01,966,0,0.0,35.917847629212,5.270526681038867,-2.6296374589889093,45.0,11.043008143711003,0.23993314945053704,0.15977527782672604
next_open,stress,unlimited,unlimited,symbol_order,0.01,966,0,0.0,33.53435723406542,4.959268631471159,-2.669151190347463,45.0,10.417462584576988,0.24276070912779668,0.16135062578515139
next_open,stress,unlimited,unlimited,largest_drop,0.01,966,0,0.0,33.53435723406542,4.959268631471159,-2.669151190347463,45.0,10.417462584576988,0.24276070912779668,0.16135062578515139
next_open,stress,unlimited,unlimited,liquidity_priority,0.01,966,0,0.0,33.53435723406542,4.959268631471159,-2.669151190347463,45.0,10.417462584576988,0.24276070912779668,0.16135062578515139
next_open,cluster_stress,unlimited,unlimited,liquidity_priority,0.01,966,0,0.0,31.709243133992125,4.717785763820093,-2.694796873646932,45.0,9.9273141932035,0.24399747214842496,0.1625648397017254
next_open,cluster_stress,unlimited,unlimited,largest_drop,0.01,966,0,0.0,31.709243133992125,4.717785763820093,-2.694796873646932,45.0,9.9273141932035,0.24399747214842496,0.1625648397017254
next_open,cluster_stress,unlimited,unlimited,symbol_order,0.01,966,0,0.0,31.709243133992125,4.717785763820093,-2.694796873646932,45.0,9.9273141932035,0.24399747214842496,0.1625648397017254
next_close,base,unlimited,unlimited,largest_drop,0.01,966,0,0.0,30.81140966847018,4.59796846467857,-1.9522459382292134,41.0,10.058192264355494,0.27230414322917035,0.16958940825788266
next_close,base,unlimited,unlimited,symbol_order,0.01,966,0,0.0,30.81140966847018,4.59796846467857,-1.9522459382292134,41.0,10.058192264355494,0.27230414322917035,0.16958940825788266
next_close,base,unlimited,unlimited,liquidity_priority,0.01,966,0,0.0,30.81140966847018,4.59796846467857,-1.9522459382292134,41.0,10.058192264355494,0.27230414322917035,0.16958940825788266
next_close,stress,unlimited,unlimited,liquidity_priority,0.01,966,0,0.0,28.52229248147202,4.289354365483011,-1.9697620839450036,41.0,9.407231047902135,0.2774756086877978,0.17208392805209635
next_close,stress,unlimited,unlimited,symbol_order,0.01,966,0,0.0,28.52229248147202,4.289354365483011,-1.9697620839450036,41.0,9.407231047902135,0.2774756086877978,0.17208392805209635
next_close,stress,unlimited,unlimited,largest_drop,0.01,966,0,0.0,28.52229248147202,4.289354365483011,-1.9697620839450036,41.0,9.407231047902135,0.2774756086877978,0.17208392805209635
next_close,cluster_stress,unlimited,unlimited,liquidity_priority,0.01,966,0,0.0,26.769397875364454,4.0499232642256855,-1.9838700324985803,41.0,8.897339573316724,0.2805840016944848,0.17411005538333524
next_close,cluster_stress,unlimited,unlimited,largest_drop,0.01,966,0,0.0,26.769397875364454,4.0499232642256855,-1.9838700324985803,41.0,8.897339573316724,0.2805840016944848,0.17411005538333524
next_close,cluster_stress,unlimited,unlimited,symbol_order,0.01,966,0,0.0,26.769397875364454,4.0499232642256855,-1.9838700324985803,41.0,8.897339573316724,0.2805840016944848,0.17411005538333524
next_open,base,20,unlimited,largest_drop,0.01,864,102,0.10559006211180125,18.326070708123886,2.8564766951154175,-2.552388067788258,20.0,7.417230910380696,0.16876088962361516,0.18422251189890987
next_open,base,20,unlimited,liquidity_priority,0.01,864,102,0.10559006211180125,17.919335053140983,2.797215630250016,-2.5250452413817848,20.0,7.314672811776574,0.1658239046911585,0.20988934789477512
next_open,base,20,unlimited,symbol_order,0.01,864,102,0.10559006211180125,17.919335053140983,2.797215630250016,-2.5250452413817848,20.0,7.314672811776574,0.1658239046911585,0.20988934789477512
next_open,base,unlimited,unlimited,symbol_order,0.005,966,0,0.0,16.59649224728026,2.603294235806408,-1.3228420214565162,22.5,11.043008143711003,0.254502443911778,0.15977527782672604
next_open,base,unlimited,unlimited,largest_drop,0.005,966,0,0.0,16.59649224728026,2.603294235806408,-1.3228420214565162,22.5,11.043008143711003,0.254502443911778,0.15977527782672604
next_open,base,unlimited,unlimited,liquidity_priority,0.005,966,0,0.0,16.59649224728026,2.603294235806408,-1.3228420214565162,22.5,11.043008143711003,0.254502443911778,0.15977527782672604
next_open,stress,20,unlimited,largest_drop,0.01,864,102,0.10559006211180125,16.480571977231783,2.5862138105423815,-2.593734063302222,20.0,6.7320413755643544,0.18083123732379475,0.19213502126957546
next_close,base,20,unlimited,symbol_order,0.01,864,102,0.10559006211180125,16.407832510200926,2.5754886893953,-2.0646460914893527,20.0,6.758239064925553,0.16399531793515051,0.1837897978902832
next_close,base,20,unlimited,liquidity_priority,0.01,864,102,0.10559006211180125,16.407832510200926,2.5754886893953,-2.0646460914893527,20.0,6.758239064925553,0.16399531793515051,0.1837897978902832
next_close,base,20,unlimited,largest_drop,0.01,864,102,0.10559006211180125,16.349475002276726,2.5668800912092005,-2.0646460914893527,20.0,6.793138952608052,0.1689927977346719,0.19564977455567148
next_open,stress,20,unlimited,symbol_order,0.01,864,102,0.10559006211180125,16.080571912388407,2.5271663854101734,-2.5664296604709147,20.0,6.624847859832244,0.17780358737819518,0.22029533795073056
next_open,stress,20,unlimited,liquidity_priority,0.01,864,102,0.10559006211180125,16.080571912388407,2.5271663854101734,-2.5664296604709147,20.0,6.624847859832244,0.17780358737819518,0.22029533795073056
