scenario_id,scenario_entry_mode,scenario_friction_mode,concurrent_cap,symbol_cap,selection_policy,account_allocation,month,trades_taken,trades_skipped,skip_rate,cumulative_return_units,average_trade_return_pct,median_trade_return_pct,win_rate,account_total_return_pct,cagr_pct,max_drawdown_pct,max_drawdown_units,sharpe_like,max_losing_streak,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,average_exposure_pct,max_exposure_pct,p95_exposure_pct,worst_month,worst_month_return_pct,best_month,best_month_contribution,best_symbol,best_symbol_contribution,positive_symbol_rate,liquidation_margin_risk_proxy
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2020-02,2,0,0.0,0.0523301799882645,2.616508999413225,2.616508999413225,1.0,0.013082938044517434,4.894228161847414,0.0,0.0,3.5047274277441316,0,0.5,1,1.0,0.125,0.25,0.25,2020-02,0.013082938044517434,2020-02,1.0,XRPUSDT,0.6426644468958981,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2020-03,31,0,0.0,-0.13238716196215164,-0.42705536116823106,-0.05341417954734,0.45161290322580644,-0.033239020791941964,-2.900749981467765,-0.26202143313127646,-1.0492257597106498,-0.18949328108213248,6,2.435483870967742,5,5.0,0.6088709677419355,1.25,1.25,2020-03,-0.033239020791941964,2020-03,,BNBUSDT,,0.2857142857142857,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2020-05,4,0,0.0,-0.023475371105471002,-0.5868842776367751,-0.38552411660000496,0.0,-0.005868747256787543,-2.1208105376921083,-0.0022495357824503515,-0.008998199538970101,-1.959409017104649,4,2.0,4,3.6499999999999995,0.5,1.0,0.9125,2020-05,-0.005868747256787543,2020-05,,XRPUSDT,,0.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2020-06,3,0,0.0,-0.029149466656331398,-0.9716488885443799,-0.91760862184938,0.0,-0.0072871956440123675,-2.626632978422483,-0.005556177575471999,-0.022225009647020098,-5.432729866990141,3,1.5,3,2.75,0.375,0.75,0.6875,2020-06,-0.0072871956440123675,2020-06,,BNBUSDT,,0.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2020-09,6,0,0.0,0.0250127723913581,0.4168795398559684,0.6309241155245899,0.6666666666666666,0.006253259048660809,2.3102128745069006,-0.0006075149743045571,-0.0024300598972216,1.2961919668845605,1,2.1666666666666665,5,4.449999999999999,0.5416666666666666,1.25,1.1124999999999998,2020-09,0.006253259048660809,2020-09,1.0,XRPUSDT,0.5366917354218294,0.8,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2020-11,8,0,0.0,0.040868918350499495,0.5108614793812437,1.8357603050071398,0.75,0.010211271466764593,3.799894143383642,-0.037339059928731544,-0.1493694656739642,0.2668454576761405,2,1.875,5,4.25,0.46875,1.25,1.0625,2020-11,0.010211271466764593,2020-11,1.0,ADAUSDT,0.8865972185648572,0.8,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2020-12,4,0,0.0,0.4390743019826914,10.976857549567285,13.02006111923336,1.0,0.10980971012477525,49.310809170295045,0.0,0.0,3.337956253043639,0,2.0,4,3.6499999999999995,0.5,1.0,0.9125,2020-12,0.10980971012477525,2020-12,1.0,XRPUSDT,0.3744480432306762,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2021-01,17,0,0.0,-0.1854962595643406,-1.091154468025533,-0.62393833594342,0.4117647058823529,-0.046368054349921195,-1.2180124061641373,-0.07039463791640443,-0.28166176614124067,-1.5692034525590102,5,2.0294117647058822,5,5.0,0.5073529411764706,1.25,1.25,2021-01,-0.046368054349921195,2021-01,,LINKUSDT,,0.375,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2021-02,35,0,0.0,1.250474103376338,3.572783152503823,4.18238656107471,0.8,0.3130416426878835,9.117593145198422,-0.11446146154292514,-0.45804848981415175,3.0247513877142698,5,2.3,5,5.0,0.575,1.25,1.25,2021-02,0.3130416426878835,2021-02,1.0,ADAUSDT,0.25361077395232634,0.8888888888888888,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2021-04,28,0,0.0,0.8183343021149577,2.9226225075534207,2.71898374427031,0.6428571428571429,0.20474480468055667,8.857963105521494,-0.030107771739762423,-0.12043949719143732,2.2287964526280932,3,2.0357142857142856,5,4.25,0.5089285714285714,1.25,1.0625,2021-04,0.20474480468055667,2021-04,1.0,AVAXUSDT,0.3629083756266382,0.7777777777777778,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2021-05,73,0,0.0,-0.8405826290020956,-1.1514830534275282,-1.11018731355866,0.4383561643835616,-0.21007152767953396,-4.775186635585871,-0.4172137195145864,-1.6718352745113108,-1.2307698524198982,8,2.3904109589041096,5,5.0,0.5976027397260274,1.25,1.25,2021-05,-0.21007152767953396,2021-05,,XRPUSDT,,0.3333333333333333,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2021-06,8,0,0.0,-0.0888445885327731,-1.1105573566596638,-2.039141896149055,0.375,-0.022215128332758738,-1.8552611711854294,-0.0409844901199663,-0.16395749234350468,-0.59286287409919,2,0.875,2,2.0,0.21875000000000003,0.5,0.5,2021-06,-0.022215128332758738,2021-06,,BNBUSDT,,0.4,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2021-08,2,0,0.0,0.0395746024038654,1.97873012019327,1.97873012019327,1.0,0.009893883952249993,3.6796450978363815,0.0,0.0,4.6413754104587115,0,1.0,2,1.8499999999999996,0.25,0.5,0.4624999999999999,2021-08,0.009893883952249993,2021-08,1.0,LINKUSDT,0.6077266878419957,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2021-09,15,0,0.0,0.3389108380126913,2.2594055867512752,3.80443463377787,0.8666666666666667,0.08475071705325021,1.851672579695629,-0.021426898662457727,-0.0857075946498166,1.7868344776380647,2,2.033333333333333,5,4.549999999999997,0.5083333333333333,1.25,1.1374999999999993,2021-09,0.08475071705325021,2021-09,1.0,XRPUSDT,0.29817540972338236,0.8888888888888888,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2021-10,1,0,0.0,-0.0143546109389232,-1.43546109389232,-1.43546109389232,0.0,-0.0035886527347317454,-1.3022256365022522,0.0,0.0,0.0,1,0.5,1,0.95,0.125,0.25,0.2375,2021-10,-0.0035886527347317454,2021-10,,XRPUSDT,,0.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2021-11,8,0,0.0,0.09897927450601471,1.2372409313251838,1.306322202918685,0.75,0.024746842072365105,0.5863592422975294,-0.004659146831065275,-0.018636587324315196,2.021672303900493,1,1.875,5,4.25,0.46875,1.25,1.0625,2021-11,0.024746842072365105,2021-11,1.0,AVAXUSDT,0.3393754480184562,1.0,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2021-12,8,0,0.0,0.1043858217298236,1.304822771622795,1.212089292884975,0.625,0.026096332211000828,1.4963485168856039,-0.011400456722732155,-0.04560136647702198,0.9799990556842453,2,1.75,5,4.25,0.43750000000000006,1.25,1.0625,2021-12,0.026096332211000828,2021-12,1.0,AVAXUSDT,0.9055203067970736,0.6,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,2022-01,8,0,0.0,0.2182482821078426,2.7281035263480327,0.63012838445153,0.625,0.05456753716874818,22.049140736571047,-0.0054630310508674285,-0.021852124203483897,1.3127727579908646,2,2.125,5,4.25,0.53125,1.25,1.0625,2022-01,0.05456753716874818,2022-01,1.0,ADAUSDT,0.7180132341208618,0.6666666666666666,low
