entry_mode,filter_name,event_threshold,min_simultaneous_drops,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,ADAUSDT,11,15.945429740791267,5.585251821766644,1.0139638574264833,0.6143777003943308,0.7272727272727273,11.680375164397775,1.5859237731431197,1.9094314910728656,-0.01472318285496361,2,7.973824963773814,-0.784276556919144,2025-10,2025-06,ADAUSDT,ADAUSDT,0.8752032611132803,1.0,0.8333333333333334,1.0,1.0454545454545454,4
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,AVAXUSDT,12,17.395014262681382,1.0605300576838428,0.5357079385202491,0.12726360692206112,0.6666666666666666,6.56355669660857,0.5597245602560273,0.6739010536184966,-0.1242682218520645,2,4.124527190119733,-5.067464207187938,2025-10,2025-06,AVAXUSDT,AVAXUSDT,0.6458943995833382,1.0,0.8333333333333334,1.0,1.3333333333333333,5
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,LINKUSDT,13,18.8445987845715,3.816635331354242,0.35897699077775075,0.4961625930760515,0.6153846153846154,9.499770957971016,1.4485690705415002,1.744058224692797,-0.03376354143524245,3,6.9208843015871855,-1.1501630210184643,2025-10,2026-01,LINKUSDT,LINKUSDT,0.8621362207804872,1.0000000000000002,0.7142857142857143,1.0,1.2692307692307692,5
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,LTCUSDT,7,10.147091653230806,0.9270095812511552,0.3241529038026237,0.06489067068758086,0.7142857142857143,2.3824613231416283,1.0294550392660797,1.2394504098532833,-0.01950616880281692,2,1.6879367898079558,-0.9753084401408461,2026-02,2026-01,LTCUSDT,LTCUSDT,0.9242761087979754,1.0,0.75,1.0,0.6428571428571429,2
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,XRPUSDT,9,13.046260697011038,4.704072330972664,1.9596310670900638,0.42336650978753976,1.0,7.1147510604784,1.9835152169005164,2.388126391892029,0.0,0,4.704072330972664,0.0,2025-10,2025-05,XRPUSDT,XRPUSDT,0.6659981749921858,1.0,1.0,1.0,0.8333333333333334,3
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,SOLUSDT,9,14.38949432310428,1.1741276008453119,0.09993208927249428,0.10567148407607807,0.5555555555555556,3.9706097635470496,0.8871138218804204,1.121710686230753,-0.07274884180484807,3,3.588392935473021,-1.8437040674393255,2026-02,2026-01,SOLUSDT,SOLUSDT,0.6248985170889076,1.0,0.8,1.0,0.8333333333333334,3
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,ETHUSDT,6,18.55074508420774,2.003757855803459,2.2502908620909894,0.12022547134820755,0.6666666666666666,3.8487553839836077,1.2752653325895786,2.2423613923144514,-0.04592294079433574,2,4.153710303563582,-2.296147039716787,2025-10,2026-01,ETHUSDT,ETHUSDT,0.8794494126091323,0.9999999999999999,0.6666666666666666,1.0,0.6666666666666666,2
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,BNBUSDT,3,9.276190476190477,6.648432017174842,5.312252990916747,0.19945296051524525,1.0,5.815466871742845,1.9801371580960263,3.481925503878346,0.0,0,6.648432017174842,0.0,2025-10,2026-02,BNBUSDT,BNBUSDT,0.7336588548400763,1.0,1.0,1.0,0.8333333333333334,2
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,BTCUSDT,1,365.25,5.26751730140235,5.26751730140235,0.052675173014023496,1.0,0.0,0.0,0.0,0.0,0,5.26751730140235,0.0,2026-02,2026-02,BTCUSDT,BTCUSDT,1.0,1.0,1.0,1.0,0.5,1
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,ADAUSDT,11,15.945429740791267,4.417320603740578,1.3350925156425355,0.4859052664114635,0.6363636363636364,12.461001926757096,1.1757156533179685,1.4155462771980554,-0.12235743158264159,3,8.725245845462943,-3.1215485692735663,2025-10,2025-06,ADAUSDT,ADAUSDT,0.7514884115045719,1.0000000000000002,0.8333333333333334,1.0,1.0454545454545454,4
