entry_mode,filter_name,event_threshold,min_simultaneous_drops,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,2025-05,5,1826.25,0.379170306042278,0.2660629737332965,0.018958515302113902,1.0,0.274112276588695,3.0930777340999263,59.11340105864087,0.0,0,0.379170306042278,0.0,2025-05,2025-05,XRPUSDT,ADAUSDT,1.0,0.45465625004113575,1.0,1.0,2.5,5
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,2025-06,4,152.95092693565977,-0.8725704437217964,-0.8937131739480662,-0.034902817748871856,0.25,1.4545463708913953,-1.1997836042683956,-7.4190617149852445,-0.01787426347896133,3,0.91681965792513,-1.4690338109374383,2025-06,2025-06,SOLUSDT,AVAXUSDT,,,0.0,0.25,1.25,3
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,2025-09,1,365.25,0.35897699077775075,0.35897699077775075,0.0035897699077775073,1.0,0.0,0.0,0.0,0.0,0,0.35897699077775075,0.0,2025-09,2025-09,LINKUSDT,LINKUSDT,1.0,1.0,1.0,1.0,0.5,1
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,2025-10,27,521.6132231404958,6.141482401399646,3.205233776797925,1.6582002483779044,0.8148148148148148,10.900391431733896,2.927608504602733,12.86783294919825,-0.09807147100290267,2,8.532924139008081,-4.38086124407746,2025-10,2025-10,ADAUSDT,LTCUSDT,0.9999999999999999,0.3242704658055587,1.0,1.0,12.537037037037036,26
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,2025-11,4,1461.0,1.4644810733395262,1.5939219183003248,0.05857924293358105,1.0,1.0198616476222022,2.8719210625361784,54.886762045073944,0.0,0,1.4644810733395262,0.0,2025-11,2025-11,AVAXUSDT,SOLUSDT,1.0,0.43874728295807347,1.0,1.0,2.0,4
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,2026-01,15,431.1147540983606,-0.34041147665534294,-0.0630075597443857,-0.05106172149830144,0.4666666666666667,1.2371113208355782,-1.065714909999797,-5.7133634920143805,-0.08991335057880717,5,0.6483944084312147,-1.2056166261060808,2026-01,2026-01,XRPUSDT,SOLUSDT,,,0.0,0.42857142857142855,2.7,6
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,2026-02,15,5478.75,3.671486216979434,5.293676566405906,0.5507229325469151,0.7333333333333333,3.9708824672706484,3.5809684853163484,68.43773239745559,-0.06334888172025813,4,5.582471038792483,-1.5837220430064531,2026-02,2026-02,XRPUSDT,AVAXUSDT,1.0000000000000002,0.21383922164935046,1.0,1.0,3.3,9
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,2025-05,5,1826.25,1.650837237519611,1.486902866697917,0.08254186187598056,1.0,0.4669580693317677,7.905172916626772,151.07982961651857,0.0,0,1.650837237519611,0.0,2025-05,2025-05,XRPUSDT,AVAXUSDT,1.0,0.28148893248431694,1.0,1.0,2.5,5
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,2025-06,4,152.95092693565977,-1.3297579074778856,-1.0830686709992907,-0.05319031629911542,0.25,1.865803314966917,-1.4253998766225406,-8.814197506594107,-0.021661373419985808,3,0.6718926916890489,-1.9969747738668637,2025-06,2025-06,SOLUSDT,AVAXUSDT,,,0.0,0.25,1.25,3
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,2025-09,1,365.25,0.9373938303324805,0.9373938303324805,0.009373938303324805,1.0,0.0,0.0,0.0,0.0,0,0.9373938303324805,0.0,2025-09,2025-09,LINKUSDT,LINKUSDT,1.0,1.0,1.0,1.0,0.5,1
