filter_name,event_threshold,min_simultaneous_drops,exit_model,friction_case,horizon_bars,total_trades_next_open,average_return_pct_next_open,cumulative_return_units_next_open,sharpe_like_next_open,max_drawdown_units_next_open,total_trades_next_close,average_return_pct_next_close,cumulative_return_units_next_close,sharpe_like_next_close,max_drawdown_units_next_close,cum_return_delta_close_minus_open,avg_return_delta_close_minus_open_pct
drop3_breadth4,-0.03,4,pure_horizon_12,base,12,71,2.672133821846603,1.897215013511088,2.7718140271377303,-0.6183722022358334,71,3.1043467180579136,2.2040861698211187,3.5081140459017806,-0.148629783767237,0.3068711563100308,0.43221289621131076
drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,71,2.4894329870917162,1.7674974208351184,2.584881384811158,-0.6465589443559083,71,2.9212138861893777,2.074061859194458,3.3044648294875922,-0.17188513273666084,0.3065644383593398,0.4317808990976615
drop3_breadth4,-0.03,4,pure_horizon_6,base,6,71,2.391437984344748,1.6979209688847712,2.4388179494159696,-0.8684050073936224,71,2.789021469413627,1.9802052432836754,3.2472832517330406,-0.27374333675713935,0.28228427439890424,0.39758348506887886
drop3_breadth4,-0.03,4,pure_horizon_6,stress,6,71,2.20901770528979,1.568402570755751,2.255037410675821,-0.8963418415375739,71,2.606203805367404,1.8504047018108571,3.03746291684694,-0.2895875414090101,0.2820021310551062,0.39718610007761423
drop3_breadth4,-0.03,4,scaled_exit_6_12,base,12,71,2.5317859030956744,1.797567991197929,2.6317517877479863,-0.7433886048147277,71,2.9466840937357697,2.0921457065523965,3.4271556238482197,-0.20021070125457624,0.29457771535446753,0.41489819064009525
drop3_breadth4,-0.03,4,scaled_exit_6_12,stress,12,71,2.349225346190754,1.6679499957954351,2.444426154292002,-0.7714503929467409,71,2.7637088457783916,1.9622332805026579,3.217561304551563,-0.2162132936584159,0.29428328470722276,0.41448349958763764
drop3_breadth4,-0.03,4,wide_stop_2atr_horizon_12,base,12,71,2.411957005385681,1.7124894738238334,2.6276680261199523,-0.3672861724854183,71,2.2895588961651283,1.6255868162772409,2.5128670701018185,-0.42743745688059553,-0.08690265754659254,-0.12239810922055261
drop3_breadth4,-0.03,4,wide_stop_2atr_horizon_12,stress,12,71,2.249897948498926,1.5974275434342373,2.4576962741746513,-0.39233846199432376,71,2.122702448121098,1.5071187381659794,2.335297718320766,-0.44982702643372413,-0.09030880526825791,-0.127195500377828
drop3_breadth5,-0.03,5,pure_horizon_12,base,12,70,2.6969158217253755,1.887841075207763,2.7587490043559137,-0.6277461405391582,70,3.143566285590488,2.2004963999133413,3.505487659477629,-0.148629783767237,0.31265532470557833,0.44665046386511253
drop3_breadth5,-0.03,5,pure_horizon_12,stress,12,70,2.5141902173430397,1.7599331521401278,2.5744071045531416,-0.6541232130508989,70,2.9603942537348127,2.072275977614369,3.304529760800228,-0.17188513273666084,0.3123428254742411,0.446204036391773
drop3_breadth5,-0.03,5,pure_horizon_6,base,6,70,2.4109194945539763,1.6876436461877833,2.424287197029259,-0.8786823300906101,70,2.822453230975651,1.9757172616829557,3.2420499391075266,-0.27814634159584106,0.2880736154951724,0.4115337364216747
drop3_breadth5,-0.03,5,pure_horizon_6,stress,6,70,2.2284797437149657,1.5599358206004759,2.2430778397815905,-0.9048085916928492,70,2.6396021518586945,1.847721506301086,3.0350490519982056,-0.2922707369187814,0.28778568570061,0.4111224081437288
drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,70,2.553917658139676,1.787742360697773,2.6177921949967953,-0.7532142353148841,70,2.9830097582830684,2.088106830798148,3.423247004359077,-0.20424957700882482,0.3003644701003749,0.4290921001433925
drop3_breadth5,-0.03,5,scaled_exit_6_12,stress,12,70,2.371334980529003,1.659934486370302,2.433074909303261,-0.779465902371874,70,2.7999982027967536,1.9599987419577274,3.2164411525943755,-0.21844783220334624,0.30006425558742533,0.42866322226775067
drop3_breadth5,-0.03,5,wide_stop_2atr_horizon_12,base,12,70,2.433022193600727,1.7031155355205088,2.6137062089734022,-0.37666011078874306,70,2.317138637670662,1.6219970463694633,2.5082114071416926,-0.431027226788373,-0.08111848915104547,-0.11588355593006483
drop3_breadth5,-0.03,5,wide_stop_2atr_horizon_12,stress,12,70,2.271233249627495,1.5898632747392467,2.44647328487015,-0.3999027306893144,70,2.1504755094084143,1.5053328565858901,2.333381908212112,-0.4516129080138135,-0.0845304181533566,-0.12075774021908092
drop4_breadth4,-0.04,4,pure_horizon_12,base,12,36,4.621876471096318,1.6638755295946746,2.543905589153253,-0.6039473410080365,36,5.777454670782333,2.07988368148164,3.6177728536454543,-0.13227370172192493,0.4160081518869656,1.1555781996860155
drop4_breadth4,-0.04,4,pure_horizon_12,stress,12,36,4.437226867102417,1.5974016721568702,2.4447169535723834,-0.619546398337892,36,5.59165006551189,2.0129940235842803,3.504927414862844,-0.13754239510785668,0.41559235142741,1.1544231984094724
drop4_breadth4,-0.04,4,pure_horizon_6,base,6,36,3.7826776759347944,1.361763963336526,2.0192276282416954,-0.8872553248707681,36,4.867009500304669,1.752123420109681,3.0856507600816725,-0.3099686712045128,0.390359456773155,1.0843318243698747
drop4_breadth4,-0.04,4,pure_horizon_6,stress,6,36,3.5988668517655302,1.295592066635591,1.9230298140452626,-0.9025712156584492,36,4.682114885664376,1.6855613588391753,2.9713987533249506,-0.31505975833528654,0.38996929220358445,1.0832480338988457
drop4_breadth4,-0.04,4,scaled_exit_6_12,base,12,36,4.202277073515556,1.5128197464656,2.297722187388457,-0.7456013329394021,36,5.322232085543501,1.9160035507956603,3.397006343895998,-0.22112118646321885,0.4031838043300604,1.119955012027945
drop4_breadth4,-0.04,4,scaled_exit_6_12,stress,12,36,4.018046859433974,1.4464968693962306,2.199186830316077,-0.7610588069981704,36,5.136882475588133,1.849277691211728,3.281984106881416,-0.22630107672157157,0.40278082181549735,1.1188356161541595
drop4_breadth4,-0.04,4,wide_stop_2atr_horizon_12,base,12,36,4.938259127519837,1.7777732859071413,2.965236583698171,-0.29921140621473846,36,4.6408360380867135,1.670700973711217,2.769105237222192,-0.38555402109518383,-0.10707231219592428,-0.29742308943312334
drop4_breadth4,-0.04,4,wide_stop_2atr_horizon_12,stress,12,36,4.772698893229343,1.7181716015625634,2.8730926222166113,-0.3132266370507217,36,4.47141473673865,1.609709305225914,2.674108573695918,-0.39818165307191716,-0.1084622963366495,-0.3012841564906932
drop4_breadth5,-0.04,5,pure_horizon_12,base,12,36,4.621876471096318,1.6638755295946746,2.543905589153253,-0.6039473410080365,36,5.777454670782333,2.07988368148164,3.6177728536454543,-0.13227370172192493,0.4160081518869656,1.1555781996860155
drop4_breadth5,-0.04,5,pure_horizon_12,stress,12,36,4.437226867102417,1.5974016721568702,2.4447169535723834,-0.619546398337892,36,5.59165006551189,2.0129940235842803,3.504927414862844,-0.13754239510785668,0.41559235142741,1.1544231984094724
drop4_breadth5,-0.04,5,pure_horizon_6,base,6,36,3.7826776759347944,1.361763963336526,2.0192276282416954,-0.8872553248707681,36,4.867009500304669,1.752123420109681,3.0856507600816725,-0.3099686712045128,0.390359456773155,1.0843318243698747
drop4_breadth5,-0.04,5,pure_horizon_6,stress,6,36,3.5988668517655302,1.295592066635591,1.9230298140452626,-0.9025712156584492,36,4.682114885664376,1.6855613588391753,2.9713987533249506,-0.31505975833528654,0.38996929220358445,1.0832480338988457
drop4_breadth5,-0.04,5,scaled_exit_6_12,base,12,36,4.202277073515556,1.5128197464656,2.297722187388457,-0.7456013329394021,36,5.322232085543501,1.9160035507956603,3.397006343895998,-0.22112118646321885,0.4031838043300604,1.119955012027945
drop4_breadth5,-0.04,5,scaled_exit_6_12,stress,12,36,4.018046859433974,1.4464968693962306,2.199186830316077,-0.7610588069981704,36,5.136882475588133,1.849277691211728,3.281984106881416,-0.22630107672157157,0.40278082181549735,1.1188356161541595
drop4_breadth5,-0.04,5,wide_stop_2atr_horizon_12,base,12,36,4.938259127519837,1.7777732859071413,2.965236583698171,-0.29921140621473846,36,4.6408360380867135,1.670700973711217,2.769105237222192,-0.38555402109518383,-0.10707231219592428,-0.29742308943312334
drop4_breadth5,-0.04,5,wide_stop_2atr_horizon_12,stress,12,36,4.772698893229343,1.7181716015625634,2.8730926222166113,-0.3132266370507217,36,4.47141473673865,1.609709305225914,2.674108573695918,-0.39818165307191716,-0.1084622963366495,-0.3012841564906932
