symbol,timeframe,event_type,direction,param_name,param_value,horizon,occurrences,avg_forward_return,median_forward_return,win_rate,std_forward_return,q05,q10,q25,q75,q90,q95,avg_positive_return,avg_negative_return,payoff_asymmetry
BTCUSDT,15m,large_return_atr,up,return_atr_abs,1.0,1,2165,-0.00011651637815844697,-0.0002755583564986175,0.428175519630485,0.002668002588622338,-0.003938069377783071,-0.002845508634941418,-0.0013206057561185869,0.001005486010183354,0.0026490052230238722,0.004195432965100695,0.0019727018849511513,-0.0016822575635107155,1.1726515176631487
BTCUSDT,15m,large_return_atr,up,return_atr_abs,1.0,3,2165,-0.00012322332521892918,-0.00027993487931277095,0.45727482678983833,0.004584990585101189,-0.0066255574136460105,-0.004698448968015012,-0.0020800554087565537,0.0016572584474379148,0.0044756889644840935,0.007265325859584635,0.0031544669593261015,-0.002884851735176019,1.0934589534923298
BTCUSDT,15m,large_return_atr,up,return_atr_abs,1.0,6,2165,-2.373912467765882e-05,-0.0001409110562188287,0.4868360277136259,0.0066319357904035,-0.009586909584269266,-0.006467508566170577,-0.0028286597588207396,0.0026439589106925787,0.006758763232754683,0.010785502997663501,0.0044296582932716495,-0.00425248202345536,1.041664201950541
BTCUSDT,15m,large_return_atr,up,return_atr_abs,1.0,12,2164,2.3265767399528527e-05,-0.0003014900555136091,0.47689463955637706,0.008838527544522993,-0.013328638300274292,-0.00859444574345707,-0.003884039289066832,0.004176317576088162,0.009203079387103897,0.013708311786972403,0.006260051828207782,-0.005662567461181847,1.1055147459384496
BTCUSDT,15m,large_return_atr,down,return_atr_abs,1.0,1,2210,2.0190884707679534e-05,0.0002788023433439868,0.5669683257918552,0.0031898902004167122,-0.005480001427631287,-0.0030173266858570355,-0.0009672968843328078,0.0013993307697371393,0.00274221494099405,0.004204835701684484,0.0017793920413482728,-0.0022855192182065,0.7785504611703082
BTCUSDT,15m,large_return_atr,down,return_atr_abs,1.0,3,2209,-5.8891644036436204e-05,0.00020050467639931568,0.5414214576731553,0.005104351030985814,-0.007588939959284135,-0.005105188870657451,-0.0017962295469901024,0.002195541379268029,0.004590184366434258,0.0063987869679148265,0.0028765401013589637,-0.0035246136257668396,0.8161292007526424
BTCUSDT,15m,large_return_atr,down,return_atr_abs,1.0,6,2209,-0.00015002209502501965,0.00010892433489018138,0.5151652331371661,0.006711670624587992,-0.010630188317350431,-0.006935728383037265,-0.0026279080642789276,0.002842506323982974,0.006230737208261107,0.008803657623645477,0.0039998244944662266,-0.0045594762676123566,0.877255250318651
BTCUSDT,15m,large_return_atr,down,return_atr_abs,1.0,12,2208,-0.00022895113064985224,0.0003185243217881384,0.521286231884058,0.009242368398662177,-0.016554934883766977,-0.010264522961083478,-0.003553310606426524,0.004269368596985401,0.00898123233358401,0.012738585744552756,0.005684996495422981,-0.0066688316581899,0.8524726349091921
BTCUSDT,15m,large_return_atr,up,return_atr_abs,1.5,1,794,-8.151392657867207e-05,-0.0003099103549249471,0.4345088161209068,0.0030515424179375595,-0.004586871620137589,-0.0034343526907548937,-0.001523432265426089,0.0012169744250806191,0.0034589453878026764,0.005048286433584992,0.002337166300646047,-0.0019399653261165965,1.2047464298367454
BTCUSDT,15m,large_return_atr,up,return_atr_abs,1.5,3,794,2.0077091750093204e-05,-0.00021451146738721283,0.4748110831234257,0.005134096671751584,-0.007478189921557576,-0.005168396235548689,-0.0022692055716216075,0.002136549439166524,0.005402778861614757,0.008890376415786981,0.003601730452298129,-0.0032180123972825434,1.11924070129115
BTCUSDT,15m,large_return_atr,up,return_atr_abs,1.5,6,794,0.00026050293111991557,-2.0811698699052528e-05,0.4987405541561713,0.0073561074544977135,-0.010256105888124471,-0.006653193493705322,-0.0027679902486206776,0.0031899292491586184,0.0077126381485496795,0.012027395520115369,0.005031408507697137,-0.004486428245575009,1.1214730810995686
BTCUSDT,15m,large_return_atr,up,return_atr_abs,1.5,12,793,0.00031300541301018626,-6.945717509687643e-05,0.4930643127364439,0.009546196160572852,-0.013998106025278845,-0.009134153747777995,-0.0038096515720640323,0.004327588607212496,0.010314903043361759,0.016220077739533375,0.006754943685803992,-0.0059526609169957305,1.1347771660431094
BTCUSDT,15m,large_return_atr,down,return_atr_abs,1.5,1,820,-0.00014213904256350806,0.0003532137379003153,0.5634146341463414,0.004020968047098262,-0.006901849149077072,-0.004118467924255975,-0.0013560906656935323,0.0016306766752653412,0.0032494913820442233,0.005098166942686494,0.0021029984894860407,-0.003039495299007339,0.6918906866455276
BTCUSDT,15m,large_return_atr,down,return_atr_abs,1.5,3,819,-0.0002049196299621998,0.00012614317250081442,0.5238095238095238,0.006032718638992449,-0.009656744017252106,-0.005893017699438196,-0.0022366003207853202,0.0024008828625655676,0.0051176144640089575,0.007187394582473432,0.0033452030892853874,-0.004110054621134546,0.8139072099148824
BTCUSDT,15m,large_return_atr,down,return_atr_abs,1.5,6,819,-0.00033219308082052816,4.801784892038974e-05,0.5067155067155067,0.007689908092888223,-0.013234920671572092,-0.008296226510199234,-0.0032219876254684365,0.0028800203241150513,0.0065435154510371995,0.009512821506707646,0.004462202155101774,-0.005257128781087249,0.8487907260622454
BTCUSDT,15m,large_return_atr,down,return_atr_abs,1.5,12,819,-0.0008535635395729219,4.363604628343509e-05,0.5006105006105006,0.01035779313360705,-0.020018146918405,-0.012992289413080903,-0.004815051046911711,0.004539492393238587,0.00904108105010453,0.012609442642005794,0.006102188658627684,-0.007826322466864483,0.7797006428579283
BTCUSDT,15m,large_return_atr,up,return_atr_abs,2.0,1,354,-4.0831827732459905e-06,-0.000311974933957182,0.4406779661016949,0.0031335284314069844,-0.004689357220405154,-0.003484543041607568,-0.001649926424840048,0.0015430782618219285,0.004076612906630261,0.005396565667226587,0.0025752445824124667,-0.002036280815949868,1.2646804714953752
BTCUSDT,15m,large_return_atr,up,return_atr_abs,2.0,3,354,0.0003317289932403588,-4.92241803322635e-05,0.4915254237288136,0.0053264013542568215,-0.006972528978638486,-0.005108694072743569,-0.0022269050472286667,0.0028545656359398874,0.006167575022634764,0.009452278079162492,0.004030726941648362,-0.0032439690235540443,1.2425294176306152
BTCUSDT,15m,large_return_atr,up,return_atr_abs,2.0,6,354,0.0004853718092803533,-0.00017985559545580232,0.4915254237288136,0.00769514062690182,-0.00947950735994798,-0.00655895332042069,-0.0029820213269949047,0.003786566961639648,0.009055959832388558,0.013187006825106313,0.0056718874035951924,-0.004528259931890658,1.2525534065857042
BTCUSDT,15m,large_return_atr,up,return_atr_abs,2.0,12,353,0.0003890159912713506,-0.00045627060995079294,0.4702549575070821,0.009756975445473255,-0.014158954271708568,-0.009360056326416276,-0.003966061393980369,0.004832705295158446,0.011379800218108251,0.016482940239516658,0.007546942961611654,-0.00596507960806817,1.2651872996638482
BTCUSDT,15m,large_return_atr,down,return_atr_abs,2.0,1,366,-0.0004976259933749758,0.00027146471460104404,0.5355191256830601,0.0048042662237633305,-0.008267920205035778,-0.0060573264812238126,-0.0018863142304142988,0.0016532406925652832,0.0033597287472592052,0.005409715145803018,0.0023510680529363675,-0.0037820026585339366,0.6216463247669266
BTCUSDT,15m,large_return_atr,down,return_atr_abs,2.0,3,366,-0.0004879039487434225,1.1650375129512724e-05,0.5027322404371585,0.007221460490153243,-0.011602358127523305,-0.007338439532994845,-0.0026500565233335827,0.0022708165093391353,0.005500806112287759,0.007430480222319458,0.003786118637650451,-0.004808893816306459,0.7873159155255448
BTCUSDT,15m,large_return_atr,down,return_atr_abs,2.0,6,366,-0.0007342973556246578,-0.00026515422679745937,0.4808743169398907,0.008953098160915746,-0.015518736101381797,-0.009999447153074104,-0.00418750073947094,0.002687899224611212,0.006789632371348442,0.009856733149431474,0.0050417411578208594,-0.006084733031237348,0.8285887206452519
BTCUSDT,15m,large_return_atr,down,return_atr_abs,2.0,12,366,-0.0011741947354685022,-0.00022798405597457272,0.4808743169398907,0.011488916580511323,-0.023354016237814634,-0.014675729094711654,-0.005994814673958709,0.004150030563103313,0.009936103487443115,0.014493671371762329,0.006845552969267627,-0.008603013661960916,0.7957156919947626
BTCUSDT,15m,large_return_pct,up,return_pct_abs,0.005,1,712,-0.00017943604219862073,-0.0005546489451374592,0.4297752808988764,0.004124670425892455,-0.005944554716191219,-0.004286396218384225,-0.0025911977903573524,0.0018440980942759921,0.00441562459230187,0.0065945183789229995,0.003265859186599193,-0.002776136387056086,1.1764044453386624
BTCUSDT,15m,large_return_pct,up,return_pct_abs,0.005,3,712,-8.010064087744234e-05,-0.00025717315656648143,0.48735955056179775,0.007065670431823167,-0.011507409345129798,-0.007435983862732498,-0.003651530745344689,0.003285776769818005,0.007837265938217918,0.010520829458347012,0.004982823029841519,-0.004893345883999304,1.0182854733679865
BTCUSDT,15m,large_return_pct,up,return_pct_abs,0.005,6,712,1.4287680981441335e-05,-0.00017250081434627695,0.48735955056179775,0.010127548151825755,-0.015721816941727477,-0.010264900804867581,-0.004761017585834276,0.004815841030924917,0.011221165625272244,0.01509713003134073,0.007109018227856193,-0.006730565743033733,1.0562289262554438
BTCUSDT,15m,large_return_pct,up,return_pct_abs,0.005,12,711,-0.00023467072556816005,-0.00030253060459251024,0.48945147679324896,0.012869736438535131,-0.022617192541586173,-0.014202096825669086,-0.006511678457162273,0.00635373194695088,0.013691728937989867,0.020241078263688816,0.009164114366153315,-0.009245076268044945,0.9912427004878834
BTCUSDT,15m,large_return_pct,down,return_pct_abs,0.005,1,726,5.2042748923990085e-05,0.0006409041213448763,0.5730027548209367,0.005198720593942338,-0.007475477185075297,-0.005843775720812239,-0.0024136571987533606,0.0026529496923164975,0.004942192683349278,0.0064617215862557975,0.0031524469359019915,-0.004108499643923908,0.7672988217399921
BTCUSDT,15m,large_return_pct,down,return_pct_abs,0.005,3,725,1.3373418705184979e-05,0.00026327536416714814,0.5241379310344828,0.00761371467413524,-0.01189360463808593,-0.00827858377277566,-0.003614116087278463,0.0038427344398646035,0.007473830194773879,0.009966146134858134,0.005038257367628481,-0.005521281365616126,0.9125159603356413
BTCUSDT,15m,large_return_pct,down,return_pct_abs,0.005,6,725,0.00022804972536893692,0.00028946162947218745,0.5255172413793103,0.009579565017740911,-0.015105465496540793,-0.010459745711869872,-0.004654858430350184,0.005253622927725798,0.009839241751608399,0.01475590415688841,0.006667797169019315,-0.006904344972394999,0.9657392838391692
BTCUSDT,15m,large_return_pct,down,return_pct_abs,0.005,12,725,-2.7401019828443792e-05,0.0005605395513124112,0.5255172413793103,0.012985642171345395,-0.023746632585657457,-0.016419711317031592,-0.006573137023863196,0.007262768415440046,0.014133617020442692,0.018881462602100454,0.009091395194674187,-0.010126997989960718,0.8977384219575076
BTCUSDT,15m,large_return_pct,up,return_pct_abs,0.01,1,82,-0.0003882379033611338,-0.0007928638524236087,0.4024390243902439,0.006000365494214505,-0.009665325594334284,-0.006279303349575505,-0.0038654738041645487,0.002549835989371918,0.006144527534342405,0.008231000318892545,0.005012262833136012,-0.004025309827940845,1.2451868421020513
BTCUSDT,15m,large_return_pct,up,return_pct_abs,0.01,3,82,3.5404634930910415e-05,-0.0013229556627502026,0.43902439024390244,0.011343474666100079,-0.013703436053909173,-0.012508731152584895,-0.00639585222611283,0.005271838855037847,0.010364496430084327,0.019101732362810687,0.009431090593865024,-0.007317740898147962,1.2887981038317342
BTCUSDT,15m,large_return_pct,up,return_pct_abs,0.01,6,82,-0.000269974792199116,-0.000299053309583297,0.4878048780487805,0.015729310325771368,-0.023050361883857562,-0.016569113691528005,-0.009905227550772139,0.005952726154515586,0.014169102330324361,0.024424453480406293,0.010942419390398288,-0.010948445442291883,0.9994495974862041
BTCUSDT,15m,large_return_pct,up,return_pct_abs,0.01,12,82,-0.0012341603822501506,-0.0005437582543334485,0.45121951219512196,0.015796862235044333,-0.026594497271330862,-0.02400081444783242,-0.008498150338175331,0.004901540083743994,0.014361557001256412,0.025190683390988334,0.011079990637462903,-0.01135912899845866,0.9754260770316426
BTCUSDT,15m,large_return_pct,down,return_pct_abs,0.01,1,101,-0.0004906950967411088,-0.0005229756649973716,0.4752475247524752,0.007576035639965439,-0.012146897587206329,-0.007496580928094576,-0.004432124155591022,0.00274061692156935,0.007251002187318889,0.01002032806320563,0.005256754929350673,-0.005695932856220458,0.9228962247351346
BTCUSDT,15m,large_return_pct,down,return_pct_abs,0.01,3,101,-0.00020979455756643274,-0.00025226113010023976,0.4752475247524752,0.01168150233707977,-0.016154170563103976,-0.010410967593583731,-0.005358506077867142,0.0049599441853946935,0.009085155096204112,0.013508764709420529,0.007730650662614094,-0.007401141172069551,1.0445214437724883
BTCUSDT,15m,large_return_pct,down,return_pct_abs,0.01,6,101,0.00048368645235604503,-0.0011994136861138704,0.44554455445544555,0.013411033232495559,-0.016820099968836932,-0.01314555573398013,-0.005752082025399119,0.005569149002621732,0.012326865515313479,0.021188615334985395,0.01046490716546866,-0.007536937334966591,1.388482708608728
BTCUSDT,15m,large_return_pct,down,return_pct_abs,0.01,12,101,-0.0006156948378530306,0.0004035423358621504,0.504950495049505,0.016746344652589396,-0.02837400450231009,-0.022756365926366096,-0.010653998001591503,0.008386255014549038,0.01543547273982071,0.02474875817204536,0.01199535766262896,-0.013478968388344661,0.8899314336994375
BTCUSDT,15m,large_return_pct,up,return_pct_abs,0.02,1,8,0.0013916123012219506,0.0025222663709821846,0.75,0.005600141853335353,-0.007851304164254535,-0.005581464080565878,-0.0008562043160635913,0.00544248675827147,0.006652300842470481,0.007654157058677611,0.0041483215872824,-0.006878515556959397,0.6030838416997254
BTCUSDT,15m,large_return_pct,up,return_pct_abs,0.02,3,8,0.0024009394876037676,0.0047106449861745725,0.625,0.009454784955426555,-0.01137580167990821,-0.010986781375882503,-0.003785537684168533,0.006557694432547723,0.012568833766501907,0.01537513813292109,0.008624389012864863,-0.007971476387831392,1.0819061103950776
BTCUSDT,15m,large_return_pct,up,return_pct_abs,0.02,6,8,0.0021760337896389315,0.007400714355566995,0.625,0.019504233445468273,-0.029543715501106675,-0.022181751343066533,-0.00662394654030915,0.013696069927171095,0.019894126466276592,0.025149126943684732,0.014745375252728853,-0.01877286864884427,0.785462015877719
