timeframe,event_type,direction,param_name,param_value,horizon,symbols_with_event,total_occurrences,avg_forward_return,median_of_symbol_medians,weighted_win_rate,mean_std_forward_return,best_symbol_avg_return,worst_symbol_avg_return
15m,funding_flip,down,flip,pos_to_neg,3,8,35774,-9.388728915910858e-05,0.0,0.4959747302510203,0.006587532210578865,0.00013325521094879742,-0.00023043237593829921
15m,large_return_atr,down,return_atr_abs,1.0,3,9,18976,-0.00010679662238871497,0.00020050467639931568,0.5211319561551433,0.008881432977038863,0.00022936315956176837,-0.0005499980458936817
15m,funding_extreme,positive,funding_z_abs,1.5,3,7,7411,-0.00011129916814635965,0.0,0.49993253272163,0.005762204118398865,0.00011916301014863766,-0.0005106328966423284
1h,volume_spike,all,volume_z,1.5,3,9,7049,-0.0001202339201334746,-5.770476197597407e-05,0.49510568875017735,0.017495682053755676,0.0007567687880142606,-0.0008211593475404969
15m,large_return_pct,up,return_pct_abs,0.005,3,9,18466,-0.00012134318213054812,-0.00038114597890992474,0.4744936640311925,0.009342267965583361,-2.4940013017934578e-05,-0.000349600503439548
1h,funding_flip,down,flip,pos_to_neg,3,8,8918,-0.00017471397909073804,0.0,0.499887867234806,0.012428480395976757,0.0005708926042009397,-0.0005992565521508676
15m,volatility_expansion,all,atr_jump,2.0,3,9,5284,-0.0002143146652636698,-0.0003111687325822454,0.4835352006056018,0.012153123330122377,0.00045808193980694157,-0.0014260550059050315
15m,funding_extreme,positive,funding_z_abs,2.5,3,4,1177,-0.00022809612222767287,-0.0014967548302146638,0.4851316907391674,0.012864693152458716,0.0019566593390028513,-0.005460147508227485
1h,large_return_pct,down,return_pct_abs,0.01,3,9,4651,-0.00022836479789181544,0.000652484547756238,0.5149430230058052,0.017883630046229407,0.0006446828260254153,-0.0010363017854636669
15m,combo_volume_return,down,ret_atr_and_vol_z,1_1.5,3,9,7475,-0.0002351433239759252,0.00021434035594714018,0.522809364548495,0.011520421894797865,0.0005316960134347749,-0.0007301805581440195
15m,large_return_pct,up,return_pct_abs,0.01,3,9,3476,-0.00024071397062303131,-0.0010627214761282366,0.4574223245109321,0.012203911103908218,0.0003716917982160143,-0.0007383884328221003
1h,funding_flip,up,flip,neg_to_pos,3,8,8973,-0.0002486606619619765,-0.00014638048987403174,0.4880196143987518,0.012575682114527245,0.0007686549542138271,-0.0008960185532968375
15m,combo_volume_return,down,ret_atr_and_vol_z,1_2,3,9,6065,-0.0002652649324614418,0.0002647414564953543,0.5215169002473207,0.012022234383723698,0.00047054392642937606,-0.0008957328696796653
1h,volatility_expansion,all,atr_jump,2.0,3,9,737,-0.0002707693186821206,-0.00022587538007678987,0.47761194029850745,0.014947450851115648,0.0024485733335413745,-0.0019799735503550305
15m,large_return_atr,down,return_atr_abs,1.5,3,9,6256,-0.0003097595616419921,0.00012119188017989391,0.5123081841432225,0.01193688666141571,0.00034851553852494445,-0.0007558453847771688
1h,funding_extreme,positive,funding_z_abs,2.0,3,6,602,-0.00032702184968460787,-0.0020455530732846894,0.49335548172757476,0.01308487204271819,0.0021619971213572954,-0.022206821871530558
1h,volatility_expansion,all,atr_jump,1.5,3,9,5430,-0.0003706302400523832,-0.0004407130904315326,0.49429097605893185,0.013993919344758354,0.000786640514808229,-0.0025881394155881404
15m,combo_volume_return,down,ret_atr_and_vol_z,1.5_1.5,3,9,4043,-0.00047519930729126626,0.0,0.5127380657927282,0.013699573406865907,0.00034870724834062304,-0.0011278825534734743
15m,combo_volume_return,down,ret_atr_and_vol_z,1.5_2,3,9,3515,-0.000564941050968433,8.90034189359179e-05,0.5109530583214794,0.014223602922808205,0.00038754603961771954,-0.0013018293115316195
15m,large_return_atr,down,return_atr_abs,2.0,3,9,2438,-0.0005759153302685297,1.1650375129512724e-05,0.5041017227235439,0.016132835185584858,0.00047643508708364324,-0.001448436398694987
1h,funding_extreme,positive,funding_z_abs,1.5,3,7,1843,-0.0006112575610708723,-0.0004066866120295276,0.4801953336950624,0.010531107252671371,0.0005291640203274731,-0.0028981753306369143
1h,large_return_atr,down,return_atr_abs,1.0,3,9,4468,-0.0006312047677491001,0.00020788059940402004,0.5080572963294538,0.01590898147780396,6.804006626921634e-05,-0.001120727012433809
1h,large_return_pct,down,return_pct_abs,0.02,3,9,892,-0.0007807755310277821,0.0007523120180487064,0.5145739910313901,0.023479242675964556,0.001139128190899036,-0.0025698232474585855
1h,funding_extreme,positive,funding_z_abs,2.5,3,4,289,-0.0008957494543600142,-0.00462463657590334,0.47750865051903113,0.01812549911035338,0.0014345941191058476,-0.022206821871530558
1h,combo_volume_return,down,ret_atr_and_vol_z,1_1.5,3,9,1896,-0.0013993885378445164,-0.0002966967758949446,0.4868143459915612,0.01906072237298978,-0.0007762842038041755,-0.0017736109684384463
1h,large_return_atr,down,return_atr_abs,1.5,3,9,1650,-0.0014311461134410013,0.0001547233612274601,0.5042424242424243,0.01814460814217335,-0.0005708051190854632,-0.0024044130565285763
1h,combo_volume_return,down,ret_atr_and_vol_z,1_2,3,9,1491,-0.0016867647304705956,-0.0004941344877854581,0.48088531187122735,0.018849014119755213,-0.0007244630805081591,-0.0026393170031331404
1h,combo_volume_return,down,ret_atr_and_vol_z,1.5_1.5,3,9,1110,-0.0018979030447166694,-0.0007426202116468383,0.4864864864864865,0.020015517073049473,-0.0011482781578324444,-0.003292604377969195
1h,combo_volume_return,down,ret_atr_and_vol_z,1.5_2,3,9,958,-0.0021839542468734064,-0.000775467042650746,0.47494780793319413,0.019060650182835124,-0.0008348994502173808,-0.0036691093859759806
1h,large_return_atr,down,return_atr_abs,2.0,3,9,723,-0.0024186276658047325,-0.0008040751977499427,0.4785615491009682,0.02060977932533509,-0.0014235201738587665,-0.004105971978382847
15m,large_return_pct,down,return_pct_abs,0.02,6,9,367,0.004371292439237991,0.0026820836810108606,0.5694822888283378,0.04130977206441254,0.02025011020444223,-0.00046072113216721
1h,large_return_pct,up,return_pct_abs,0.02,6,9,830,0.002353988844113407,0.0003809317677614388,0.5144578313253012,0.024469248296391983,0.004428020090526448,-0.001313048704534052
1h,large_return_atr,up,return_atr_abs,1.5,6,9,1628,0.0015252897294490734,-0.00010120633831339765,0.49815724815724816,0.020425709715857575,0.004625750043996357,-0.00043384005513963554
15m,large_return_pct,up,return_pct_abs,0.02,6,9,373,0.0013943293043549227,0.0008797911962228344,0.5254691689008043,0.022017482053471874,0.004047439235880842,-0.00148594423919705
1h,large_return_atr,up,return_atr_abs,2.0,6,9,712,0.001359862047596335,0.0006038627632107829,0.49859550561797755,0.02221908698311018,0.004030573833726263,-0.0016828899973373287
1h,combo_volume_return,up,ret_atr_and_vol_z,1.5_1.5,6,9,1013,0.0013568218464341199,-1.8522688831401624e-05,0.5034550839091807,0.02155997502239855,0.004012422795284675,-0.000867043813028247
1h,combo_volume_return,up,ret_atr_and_vol_z,1.5_2,6,9,861,0.001142474770916036,-7.199424046089309e-05,0.4994192799070848,0.02162922983774574,0.0046308647717286135,-0.001987177090589586
