month,trades,total_r,ev_r,max_drawdown_r
2023-01,97,-31.006570559509758,-0.31965536659288407,-40.26623052097209
2023-02,101,-48.543473760369956,-0.48062845307296986,-49.456040764795596
2023-03,149,-37.801713061799646,-0.2537027722268433,-48.851792891127914
2023-04,114,-16.05354961945178,-0.14082061069694543,-25.912571623665293
2023-05,109,-68.95911956639442,-0.6326524730861873,-84.28290797732787
2023-06,114,3.710832089812417,0.032551158682565064,-21.506491466602014
2023-07,96,-27.74245946099404,-0.28898395271868793,-33.295894535833376
2023-08,91,-15.602360514382827,-0.17145451114706403,-26.22630157544784
2023-09,89,-50.783482383046746,-0.5706009256522107,-60.47482325998849
2023-10,107,36.00074689209327,0.3364555784307782,-27.8026410645085
2023-11,128,-17.968493928943474,-0.1403788588198709,-25.944028337510478
2023-12,155,-37.52817384391737,-0.24211725060591854,-56.331221908468294
2024-01,148,-11.377094282432214,-0.07687225866508253,-39.291363391564495
2024-02,149,-15.963801219753158,-0.10713960550169904,-38.409523413069735
2024-03,146,-30.928150384724724,-0.2118366464707173,-41.1498275007753
2024-04,139,-33.72750038164741,-0.24264388763775116,-51.18322392212099
2024-05,130,-47.46643486785289,-0.36512642206040685,-64.36679070937842
2024-06,132,-60.79988743535054,-0.46060520784356473,-61.880689495122255
2024-07,148,36.37385633997244,0.24576929959440838,-32.19966174788321
2024-08,127,30.26068930415371,0.23827314412719458,-28.755064611242823
2024-09,169,10.689057531849404,0.06324886113520357,-24.602951719615426
2024-10,160,-12.177678836875515,-0.07611049273047196,-26.927076034112808
2024-11,168,-7.918823166059077,-0.04713585217892308,-38.40092873143972
2024-12,180,-56.24753124449854,-0.31248628469165857,-60.38740521569725
2025-01,170,54.43558347019325,0.3202093145305485,-44.28091854018528
2025-02,143,38.486103311798125,0.2691335895929939,-49.4118721057538
2025-03,156,0.6884536033131481,0.004413164123802231,-44.81736198851558
2025-04,151,-54.13769475648619,-0.3585277798442794,-68.2592770155965
2025-05,181,-92.21925632928763,-0.5094986537529703,-125.55785274333284
2025-06,157,34.58274736897671,0.22027227623552045,-24.688772804833246
2025-07,180,17.90838441813539,0.09949102454519662,-27.95269669433397
2025-08,174,-20.899539823011423,-0.12011229783339898,-57.94536995298761
2025-09,147,-18.98271436470246,-0.12913411132450653,-42.38967556116535
2025-10,164,-51.53547359474246,-0.3142406926508687,-63.015983899934945
2025-11,141,-2.7167351398232014,-0.019267625105129086,-31.473687504540287
2025-12,132,-46.350704580500185,-0.3511417013674256,-65.91428677965823
2026-01,147,58.252645241627256,0.3962764982423623,-20.262741179552073
2026-02,144,56.72947102607567,0.39395465990330325,-32.18281256326706
2026-03,135,4.953037746946248,0.036689168495898136,-30.55305212174671
2026-04,152,-93.13450843277711,-0.6127270291630073,-91.98833652764986
2026-05,10,-5.031801342494495,-0.5031801342494495,-5.98041614163731
