month,trades,total_r,ev_r,max_drawdown_r
2023-01,94,-39.700127534170285,-0.4223417822784073,-40.7159699923482
2023-02,108,-53.58792622981778,-0.4961845021279424,-54.51740457095542
2023-03,156,-35.85539033681143,-0.22984224574879122,-58.46360063849753
2023-04,110,-24.069383920204167,-0.21881258109276516,-37.40342476511725
2023-05,106,-86.87210055858417,-0.8195481184772091,-99.85345622179759
2023-06,113,-31.326040927683746,-0.27722160112994465,-35.9490823543591
2023-07,97,-50.84069732487934,-0.5241309002564881,-54.67151077360793
2023-08,90,-54.661574837981206,-0.6073508315331245,-53.428523574443304
2023-09,87,-50.94145503210768,-0.5855339658862952,-54.117449316369395
2023-10,105,3.1126375604388086,0.029644167242274366,-40.82293677407651
2023-11,128,-47.06564951781665,-0.3677003868579426,-52.473176363338496
2023-12,152,-47.44454216762887,-0.3121351458396636,-56.03756377299865
2024-01,141,-21.3999632178356,-0.1517727887789759,-33.26834281963623
2024-02,143,-23.602237170440763,-0.16505060958350184,-36.79189288605472
2024-03,140,-27.552141955457554,-0.19680101396755395,-34.00827789856601
2024-04,132,-30.362316379549547,-0.2300175483299208,-37.93281195586837
2024-05,128,-54.97984083931111,-0.42953000655711804,-58.65348253680914
2024-06,126,-52.66600383146718,-0.41798415739259664,-54.258110254940604
2024-07,149,26.088137885999032,0.17508817373153712,-29.42653219522362
2024-08,129,-8.764352053500426,-0.06794071359302656,-52.60729808406031
2024-09,168,-55.445523540105164,-0.3300328782149117,-71.53877620301881
2024-10,158,-27.86274855434672,-0.17634650983763747,-41.47193778150426
2024-11,167,-36.80012454234746,-0.2203600271996854,-53.162885257145376
2024-12,170,-80.25739488212635,-0.47210232283603737,-80.31285150155509
2025-01,169,26.16428188898343,0.15481823602948777,-44.623116587641306
2025-02,151,2.440561365314859,0.016162658048442774,-66.33681077223937
2025-03,152,-21.27969026034094,-0.13999796223908512,-56.637832281047544
2025-04,148,-71.84842489696277,-0.48546233038488357,-73.30391303414939
2025-05,173,-90.3740199307155,-0.522393178790263,-115.76288691595924
2025-06,150,-4.391556362841065,-0.029277042418940434,-29.383809828271794
2025-07,179,-10.701365181045704,-0.0597841630226017,-26.967833925281557
2025-08,176,-63.23946295717384,-0.35931513043848773,-112.8946403395166
2025-09,153,-45.214092847184354,-0.2955169467136232,-58.857661696088435
2025-10,154,-58.42411912560438,-0.37937739691950895,-69.2387982199613
2025-11,141,-12.07138796516976,-0.08561268060404086,-34.316014171225035
2025-12,127,-77.86492176341017,-0.613109620184332,-87.8894214422383
2026-01,141,63.121305678637526,0.44766883460026613,-23.36011445745677
2026-02,140,55.21027164950127,0.3943590832107234,-41.32678990330338
2026-03,133,-23.37036274079944,-0.1757170130887176,-42.742355488525305
2026-04,152,-114.93444099402325,-0.756147638118574,-113.47717916437018
2026-05,10,-9.588516558086994,-0.9588516558086994,-10.108660433818944
