month,trades,total_r,ev_r,max_drawdown_r
2023-01,94,-36.046941328504445,-0.383478099239409,-37.41038821274808
2023-02,108,-45.055939629764815,-0.4171846262015261,-49.051480835712134
2023-03,155,-23.330845160197676,-0.15052158167869467,-48.461449543510696
2023-04,111,-14.41305204659033,-0.129847315735048,-25.65052094524419
2023-05,104,-62.98984496567229,-0.6056715862083875,-81.65675819329161
2023-06,114,-16.19982473681214,-0.14210372576151,-31.299890563417467
2023-07,95,-36.45899311366105,-0.38377887488064266,-46.30676648577399
2023-08,88,-23.189144320240544,-0.2635130036390971,-30.51173004638608
2023-09,85,-40.67768934436451,-0.4785610511101707,-45.089211421477884
2023-10,106,22.617294846126786,0.2133707060955357,-24.977073237667867
2023-11,127,-22.831202188559462,-0.17977324557920837,-37.30803863034817
2023-12,151,-29.831720452812363,-0.19756106260140638,-43.34842607068984
2024-01,138,-8.355062402081037,-0.06054393044986259,-27.927725353361687
2024-02,142,7.518377254652214,0.0529463186947339,-31.697249444822322
2024-03,140,-12.988752155507363,-0.09277680111076687,-24.300535375262186
2024-04,131,-15.641243369332704,-0.11939880434605117,-27.531547555103156
2024-05,127,-32.59011141543976,-0.25661505051527367,-46.244716833019176
2024-06,125,-19.62945374287544,-0.15703562994300352,-30.401759711678462
2024-07,148,53.39602455555,0.36078394969966215,-20.816955734286026
2024-08,128,7.222915438731873,0.056429026865092755,-48.85180427220274
2024-09,166,-27.425011454307995,-0.16521091237534938,-45.7219544858482
2024-10,155,8.212676242403578,0.05298500801550696,-20.683767560094076
2024-11,164,-3.6728510947238524,-0.022395433504413736,-41.00347618752478
2024-12,167,-62.96304320940801,-0.37702421083477855,-63.65448649619742
2025-01,169,45.30600527174028,0.26808287143041587,-39.84057533891586
2025-02,151,15.142627782802778,0.10028230319736939,-57.62885603041585
2025-03,152,-8.88068229586799,-0.05842554142018414,-49.949836360736924
2025-04,149,-61.85242461209251,-0.4151169437053189,-63.91968518504676
2025-05,171,-69.00237206806528,-0.4035226436728964,-109.52515621504884
2025-06,146,34.948576115154346,0.23937380900790647,-21.62321173168931
2025-07,178,13.29230118717892,0.0746758493661737,-22.24737472899652
2025-08,174,-25.877059844828228,-0.14871873474039213,-86.02295360076138
2025-09,150,-17.456960396561254,-0.11637973597707503,-54.1430130370277
2025-10,150,-37.340161525671846,-0.24893441017114565,-54.51079607504258
2025-11,140,0.8797524791529419,0.0062839462796638705,-28.57035463595885
2025-12,127,-58.87814267448859,-0.4636074226337685,-72.35873808021469
2026-01,138,91.59575976416575,0.663737389595404,-18.248558493211043
2026-02,143,73.97720568213475,0.517323116658285,-34.99089036154752
2026-03,132,-6.015839687958037,-0.04557454309059119,-30.993831688664855
2026-04,150,-90.30227747270284,-0.6020151831513523,-88.95494624241893
2026-05,10,-5.14242930875285,-0.5142429308752849,-7.836272273120424
