month,trades,total_r,ev_r,max_drawdown_r
2023-01,97,-43.954372294663855,-0.4531378587078748,-46.30340503226353
2023-02,102,-59.763448376312475,-0.5859161605520831,-60.50973173918886
2023-03,150,-52.904221761047765,-0.3526948117403184,-58.299339453322276
2023-04,117,-35.625376092628905,-0.3044903939540932,-34.50980625817151
2023-05,109,-86.45803269182353,-0.7931929604754453,-99.0011291174609
2023-06,115,-8.486411569535584,-0.0737948832133529,-27.088099123664435
2023-07,96,-42.33357266386132,-0.4409747152485554,-42.370253731287754
2023-08,92,-37.86667411174467,-0.41159428382331165,-35.93650804676273
2023-09,88,-56.61003781040254,-0.6432958842091198,-65.1269560547314
2023-10,108,-2.683861190886288,-0.024850566582280444,-46.73994474554354
2023-11,128,-32.097946864998605,-0.2507652098828016,-34.910497160478556
2023-12,157,-52.24885785932224,-0.33279527298931366,-68.22636778962772
2024-01,148,-34.72871912475029,-0.23465350759966414,-60.48606802130353
2024-02,149,-49.25710359851744,-0.330584587909513,-66.19679619528915
2024-03,147,-40.12447488442388,-0.27295561145866587,-48.82210111552316
2024-04,138,-42.25438467599889,-0.3061911933043398,-54.276759397704225
2024-05,131,-58.983830157313804,-0.4502582454756779,-74.04037239885434
2024-06,132,-89.03312385215814,-0.6744933625163495,-89.64250493425754
2024-07,148,16.973784759799283,0.11468773486350867,-34.65428861541229
2024-08,127,6.238938263425862,0.04912549813721151,-34.74558522381193
2024-09,172,-27.867058776905058,-0.1620177835866573,-46.72314894276725
2024-10,158,-27.412997334299725,-0.17349998312847928,-37.31004600340565
2024-11,169,-28.72185751262195,-0.1699518196013133,-50.587085447590425
2024-12,181,-87.25893159691711,-0.4820935447343487,-90.0381131065051
2025-01,171,32.04648635824946,0.18740635297221905,-52.60171646350423
2025-02,145,25.629737165392726,0.1767568080371912,-55.77860147756461
2025-03,157,-18.94165735769638,-0.1206474990936075,-55.81559540076799
2025-04,152,-77.34182508617921,-0.5088277966196001,-81.39234014076862
2025-05,183,-119.52813861919923,-0.6531592274273181,-138.60360876031805
2025-06,155,21.510749332408352,0.13877902795102162,-25.466775783539603
2025-07,179,-2.79554818856736,-0.01561758764562771,-33.9965461709634
2025-08,175,-42.93483343546275,-0.24534190534550143,-70.04790290977668
2025-09,150,-47.154426258486176,-0.3143628417232412,-53.37247934936937
2025-10,166,-79.4446146500323,-0.47858201596405003,-88.35072468439756
2025-11,144,-13.179987294706226,-0.09152768954657102,-38.265908633607474
2025-12,134,-60.25628494186934,-0.4496737682229055,-76.28653804858233
2026-01,149,34.812995482490415,0.23364426498315716,-25.907989297035535
2026-02,144,38.95877633854461,0.2705470579065598,-38.91494537879276
2026-03,136,-18.730080409369357,-0.13772117948065704,-39.18433079379887
2026-04,155,-129.64085080221267,-0.8363925858207268,-128.36290378950292
2026-05,10,-7.718301588922921,-0.7718301588922921,-8.180220132213332
