symbol,timeframe,param_id,friction_case,entry_mode,signal_time,entry_time,entry_time_semantic,exit_time,side,raw_entry,entry,raw_exit,exit,stop,target,atr_at_signal,risk,room_structure,room_reference_price,room_to_target_r,available_room_r,ema_200_at_signal,ema_200_slope_at_signal,ema_distance_atr_at_signal,gross_r,fee_r,net_r,exit_reason,taker_fee_bps_per_side,slippage_bps_per_side,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr
ETHUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-08-31 23:00:00+00:00,2025-09-01 01:00:00+00:00,next_candle_close,2025-09-01 07:00:00+00:00,short,4393.82,4391.62309,4435.202375714286,4437.419976902143,4435.202375714286,4304.464518571429,29.052857142857192,43.57928571428579,4254.97,4389.58,3.088852829817561,3.088852829817561,4467.172493826153,-1.051960636565127,2.670735392550877,-1.0508865886971295,0.08103889655087103,-1.1319254852480005,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LINKUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-08-31 22:00:00+00:00,2025-09-01 00:00:00+00:00,next_candle_close,2025-09-01 07:00:00+00:00,short,23.195,23.183402500000003,23.479009642857147,23.490749147678574,23.479009642857147,22.592188214285716,0.1970714285714286,0.2956071428571429,22.814,23.484,2.2665216866014313,2.2665216866014313,24.043367699399507,-0.036737058553093505,2.838400794343267,-1.039713197414521,0.06315700114220128,-1.1028701985567224,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
BTCUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-09-04 14:00:00+00:00,2025-09-04 16:00:00+00:00,next_candle_close,2025-09-04 18:00:00+00:00,short,109448.0,109393.27600000001,110131.09385714287,110186.15940407144,110131.09385714287,107917.6402857143,491.8785714285727,737.817857142859,108333.0,109799.9,1.9881600666056631,1.9881600666056631,110665.4088246097,-15.71224734786665,1.7595985572129842,-1.074632982104562,0.11904262456014571,-1.1936756066647076,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
AVAXUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-09-05 12:00:00+00:00,2025-09-05 14:00:00+00:00,next_candle_close,2025-09-05 14:00:00+00:00,long,24.977,24.9894885,24.62680992857143,24.614496523607144,24.62680992857143,25.714845642857142,0.2417857142857144,0.36267857142857163,25.594,25.028,1.5606105366814438,1.5606105366814438,24.30738753276178,0.03572554848231135,2.9803765262437394,-1.0339512889217097,0.0547084817591728,-1.0886597706808825,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-09-19 14:00:00+00:00,2025-09-19 16:00:00+00:00,next_candle_close,2025-09-20 03:00:00+00:00,short,4472.29,4470.053855,4463.6,4465.8318,4509.351712142857,4391.458140714286,26.19857142857128,39.29785714285692,4404.08,4493.16,2.266790264827246,2.266790264827246,4527.211410068436,-0.5582014101601089,1.2997430093192237,0.10743728302161674,0.09095544953014575,0.01648183349147099,time_stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LINKUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-10-05 02:00:00+00:00,2025-10-05 04:00:00+00:00,next_candle_close,2025-10-05 07:00:00+00:00,long,22.341,22.3521705,22.83024192857143,22.818826807607145,22.113134785714287,22.83024192857143,0.15935714285714248,0.2390357142857137,23.082,22.438,2.694158075601389,2.694158075601389,21.975333359064464,0.006145691086260285,2.9033316777666958,1.9522451237113558,0.0755887001113404,1.8766564236000154,target,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-10-15 14:00:00+00:00,2025-10-15 16:00:00+00:00,next_candle_close,2025-10-16 03:00:00+00:00,short,3979.23,3977.240385,4012.92,4014.9264599999997,4052.6185992857145,3826.4839564285717,50.252142857142836,75.37821428571425,3885.09,4007.86,1.6287199313935918,1.6287199313935918,4155.766150537569,-5.445641518240336,2.9432804678207978,-0.4999597742811204,0.04241101713928335,-0.5423707914204037,time_stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-11-13 03:00:00+00:00,2025-11-13 05:00:00+00:00,next_candle_close,2025-11-13 15:00:00+00:00,long,2.4723,2.47353615,2.4248075785714285,2.4235951747821427,2.4248075785714285,2.570993292857143,0.032485714285714354,0.04872857142857153,2.5693,2.4824,1.7833479917912594,1.7833479917912594,2.388569002941194,8.393972208242673e-05,2.8883772181690524,-1.0248807579155714,0.04019926036174134,-1.0650800182773128,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-11-28 01:00:00+00:00,2025-11-28 03:00:00+00:00,next_candle_close,2025-11-28 08:00:00+00:00,short,0.4245,0.42428775,0.43005203571428574,0.43026706173214285,0.43005203571428574,0.41275917857142863,0.003842857142857136,0.0057642857142857044,0.4101,0.4229,2.220570012391574,2.220570012391574,0.4337046431322847,-9.918409824727359e-05,2.8116171719699974,-1.0373031505576185,0.059299962152416466,-1.0966031127100349,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-12-21 13:00:00+00:00,2025-12-21 15:00:00+00:00,next_candle_close,2025-12-21 23:00:00+00:00,short,1.9064,1.9054468000000002,1.9230396571428574,1.9240011769714287,1.9230396571428574,1.870261085714286,0.011728571428571422,0.017592857142857132,1.8621,1.898,2.0406008932196418,2.0406008932196418,1.930262912127061,-0.00043210199893062295,2.7507964054741434,-1.054653989443763,0.087068244705806,-1.141722234149569,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
