timeframe,param_id,friction_case,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
4h,n100_atr14_m1.5_vz1_cl0.8_cs0.2,stress,100,14,1.5,1.0,0.8,0.2,150,-0.2263197231174344,-33.94795846761516,-36.669514707524456,0.6733185021375173,147,-0.26417177530464686,-38.83325096978309,-47.23679622948162,0.6179392713823699,-0.037852052187212465,-3
4h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,stress,20,14,1.2,1.0,0.8,0.2,440,-0.17624323172578044,-77.5470219593434,-96.46609040193555,0.7304592120452073,436,-0.21832931878849648,-95.19158299178447,-118.6173314971088,0.6657267561418463,-0.04208608706271605,-4
4h,n20_atr14_m1.2_vz1_cl0.75_cs0.25,stress,20,14,1.2,1.0,0.75,0.25,505,-0.14537639918867515,-73.41508159028095,-92.33100391164405,0.7734555211630185,495,-0.19126502002135176,-94.67618491056912,-115.26513566597067,0.6999854164301372,-0.04588862083267661,-10
4h,n50_atr14_m2_vz2_cl0.8_cs0.2,stress,50,14,2.0,2.0,0.8,0.2,138,-0.34259679460112763,-47.27835765495561,-47.948730680207056,0.5422442637597457,137,-0.3909312191316516,-53.557577021036266,-54.61093488737068,0.4817160754616709,-0.048334424530523945,-1
4h,n20_atr14_m1.5_vz1_cl0.8_cs0.2,stress,20,14,1.5,1.0,0.8,0.2,403,-0.17138844237285158,-69.06954227625918,-86.08610516109128,0.7414905375771819,399,-0.21991974688789712,-87.74797900827095,-112.02459926276275,0.6656102150918722,-0.04853130451504553,-4
4h,n20_atr14_m1.2_vz2_cl0.8_cs0.2,stress,20,14,1.2,2.0,0.8,0.2,310,-0.18948982834385997,-58.74184678659659,-68.22403056030852,0.7185877199120227,305,-0.2421851374948325,-73.86646693592391,-85.83523213484634,0.6402744040272246,-0.052695309150972536,-5
4h,n20_atr14_m1.2_vz1_cl0.7_cs0.3,stress,20,14,1.2,1.0,0.7,0.3,552,-0.13571767919730474,-74.91615891691221,-93.83208123827532,0.785147527274463,540,-0.18932173836622604,-102.23373871776207,-121.94159957006472,0.7009867906691936,-0.0536040591689213,-12
4h,n20_atr14_m1.5_vz2_cl0.8_cs0.2,stress,20,14,1.5,2.0,0.8,0.2,298,-0.17908024025307676,-53.365911595416875,-62.8480953691288,0.7324664596563205,293,-0.23439085661654344,-68.67652098864723,-80.64528618756967,0.6498842807478564,-0.05531061636346668,-5
4h,n20_atr14_m2_vz2_cl0.8_cs0.2,stress,20,14,2.0,2.0,0.8,0.2,239,-0.16832174645995232,-40.228897403928606,-49.711081177640544,0.7481540113414035,235,-0.22394051736459974,-52.62602158068094,-73.89594591827736,0.6688978924244221,-0.055618770904647424,-4
4h,n50_atr14_m1.2_vz2_cl0.8_cs0.2,stress,50,14,1.2,2.0,0.8,0.2,170,-0.32848888068619353,-55.843109716652904,-54.70283739739196,0.5593694356353068,169,-0.38611495332902035,-65.25342711260444,-65.24824521997878,0.4782507549399559,-0.05762607264282682,-1
4h,n50_atr14_m1.5_vz2_cl0.8_cs0.2,stress,50,14,1.5,2.0,0.8,0.2,166,-0.3290773404557649,-54.62683851565698,-53.48656619639604,0.5578838799444084,165,-0.38809205871607033,-64.0351896881516,-64.03000779552595,0.4747109966860033,-0.05901471826030541,-1
4h,n20_atr14_m1.5_vz1_cl0.75_cs0.25,stress,20,14,1.5,1.0,0.75,0.25,465,-0.13829180947293865,-64.30569140491647,-81.31910816851959,0.7863684832290334,457,-0.19964928758757688,-91.23972442752263,-109.92661170865222,0.6892636893945102,-0.061357478114638236,-8
4h,n50_atr14_m2_vz1_cl0.75_cs0.25,stress,50,14,2.0,1.0,0.75,0.25,211,-0.147525679098463,-31.127918289775693,-37.53961124177254,0.7775322656901641,206,-0.2091069218934125,-43.07602591004298,-56.98275941465681,0.6829798665984971,-0.0615812427949495,-5
4h,n100_atr14_m1.5_vz1.5_cl0.8_cs0.2,stress,100,14,1.5,1.5,0.8,0.2,142,-0.262526020267152,-37.278694877935585,-42.21412462847699,0.6213445107231214,139,-0.32642663154977064,-45.37330178541812,-46.426659651752544,0.5345760430125462,-0.06390061128261865,-3
4h,n100_atr14_m1.5_vz1_cl0.75_cs0.25,stress,100,14,1.5,1.0,0.75,0.25,177,-0.07625055683551767,-13.496348559886627,-30.17789879298934,0.8786510075596347,173,-0.1438486101035645,-24.88580954791666,-38.19110061941092,0.7739946202066007,-0.06759805326804684,-4
