timeframe,param_id,friction_case,entry_mode,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,taker_fee_bps_per_side,slippage_bps_per_side,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
1h,n20_atr14_m1.2_vz1.5_cl0.7_cs0.3,base,next_close,20,14,1.2,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-11,2,48.29752066115702,0.0,-1.0808415654936738,-2.1616831309873477,,,0.0,0.0,-1.0808415654936738
1h,n20_atr14_m1.2_vz1.5_cl0.7_cs0.3,base,next_close,20,14,1.2,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-12,2,47.771117166212534,0.5,-0.07662893119836506,-0.15325786239673012,,,0.8657660700539069,0.9884643717528389,-1.141722234149569
1h,n20_atr14_m1.2_vz1.5_cl0.7_cs0.3,base,next_close,20,14,1.2,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-01,2,103.12941176470588,0.0,-1.1720570105701054,-2.3441140211402107,,,0.0,0.0,-1.1720570105701054
1h,n20_atr14_m1.2_vz1.5_cl0.7_cs0.3,base,next_close,20,14,1.2,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-02,2,104.35714285714286,0.5,0.32353401390959324,0.6470680278191865,,,1.5041986538703078,1.9304273205348474,-1.283359292715661
1h,n20_atr14_m1.2_vz1.5_cl0.7_cs0.3,base,next_close,20,14,1.2,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-03,1,365.25,0.0,-1.1041599401708353,-1.1041599401708353,,,0.0,0.0,-1.1041599401708353
1h,n20_atr14_m1.2_vz1.5_cl0.7_cs0.3,base,next_close,20,14,1.2,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2026-04,5,73.78787878787878,0.2,-0.3160344307013449,-1.5801721535067246,,,0.5436366128772968,1.8823583607605407,-0.8656326285668163
1h,n20_atr14_m1.2_vz1.5_cl0.8_cs0.2,base,next_close,20,14,1.2,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-06,2,182.625,0.0,-1.2140675742181009,-2.4281351484362017,,,0.0,0.0,-1.2140675742181009
1h,n20_atr14_m1.2_vz1.5_cl0.8_cs0.2,base,next_close,20,14,1.2,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-07,3,1095.75,0.3333333333333333,-0.1318434904442196,-0.39553047133265884,,,0.8251026573702838,1.8659702775383868,-1.130750374435523
1h,n20_atr14_m1.2_vz1.5_cl0.8_cs0.2,base,next_close,20,14,1.2,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-08,2,43.50372208436724,0.0,-0.8945790031690811,-1.7891580063381622,,,0.0,0.0,-0.8945790031690811
1h,n20_atr14_m1.2_vz1.5_cl0.8_cs0.2,base,next_close,20,14,1.2,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-09,4,76.3921568627451,0.25,-0.8434322349680936,-3.3737289398723744,,,0.004861595515230262,0.01648183349147099,-1.1300702577879485
1h,n20_atr14_m1.2_vz1.5_cl0.8_cs0.2,base,next_close,20,14,1.2,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-10,2,66.66159695817491,0.5,0.6671428160898059,1.3342856321796117,,,3.4600986138749814,1.8766564236000154,-0.5423707914204037
1h,n20_atr14_m1.2_vz1.5_cl0.8_cs0.2,base,next_close,20,14,1.2,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,2025-11,1,365.25,0.0,-1.0966031127100349,-1.0966031127100349,,,0.0,0.0,-1.0966031127100349
