symbol,timeframe,param_id,friction_case,entry_mode,signal_time,entry_time,exit_time,side,raw_entry,entry,raw_exit,exit,stop,target,atr_at_signal,risk,room_structure,available_room_r,ema_200_at_signal,ema_200_slope_at_signal,ema_distance_atr_at_signal,gross_r,fee_r,net_r,exit_reason,taker_fee_bps_per_side,slippage_bps_per_side,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr
LTCUSDT,1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-05-19 04:00:00+00:00,2025-05-19 05:00:00+00:00,2025-05-19 16:00:00+00:00,short,95.25,95.202375,98.06523214285714,98.11426475892857,98.06523214285714,89.47666071428571,1.9085714285714286,2.862857142857143,95.57,2.0000000000000013,98.63642708313043,-0.0583314794715335,1.8057626932569621,-1.0171271613023936,0.027010308948353295,-1.0441374702507469,stop,4.0,5.0,100,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
SOLUSDT,1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-05-19 04:00:00+00:00,2025-05-19 05:00:00+00:00,2025-05-19 17:00:00+00:00,short,162.61,162.52869500000003,165.43,165.512715,167.48726642857144,152.61155214285716,3.305714285714288,4.958571428571432,164.05,2.0,169.2254831657289,-0.18034704192967865,1.7803968089931794,-0.6017902621722758,0.02646257412849322,-0.628252836300769,time_stop,4.0,5.0,100,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
AVAXUSDT,1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-05-29 02:00:00+00:00,2025-05-29 03:00:00+00:00,2025-05-29 04:00:00+00:00,long,24.191,24.203095499999996,23.66920264285714,23.65736804153571,23.66920264285714,25.27088121428571,0.3559285714285712,0.5338928571428568,24.018,1.9999999999999971,23.315268877062866,0.007832560328896676,2.598080618326281,-1.0221666223158725,0.035857729056472026,-1.0580243513723446,stop,4.0,5.0,100,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
SOLUSDT,1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-06-09 21:00:00+00:00,2025-06-09 22:00:00+00:00,2025-06-10 06:00:00+00:00,long,159.77,159.849885,157.33095642857143,157.25229095035715,157.33095642857143,164.88774214285715,1.6792857142857136,2.5189285714285705,156.94,2.000000000000003,154.13218906329283,0.1688583053946502,2.886829141382403,-1.0312297375584836,0.050355088198553825,-1.0815848257570373,stop,4.0,5.0,100,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LINKUSDT,1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-06-09 21:00:00+00:00,2025-06-09 22:00:00+00:00,2025-06-10 10:00:00+00:00,long,14.367,14.374183500000001,14.6,14.5927,14.171897785714286,14.778754928571429,0.13485714285714273,0.2022857142857141,14.088,1.9999999999999987,13.937803089762507,0.005880595153660906,2.6042143767610684,1.0802369350282486,0.05727914816384187,1.0229577868644066,time_stop,4.0,5.0,100,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
BTCUSDT,1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-07-01 14:00:00+00:00,2025-07-01 15:00:00+00:00,2025-07-02 03:00:00+00:00,short,105908.3,105855.34585000001,106140.0,106193.06999999999,106404.35656428573,104757.32442142858,366.0071428571443,549.0107142857164,106222.0,1.9999999999999984,106618.3849921195,-2.35315575999266,2.0649460177734578,-0.6151503808798555,0.15449491992219713,-0.7696453008020526,time_stop,4.0,5.0,100,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
BTCUSDT,1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-07-30 18:00:00+00:00,2025-07-30 19:00:00+00:00,2025-07-30 23:00:00+00:00,short,116865.2,116806.7674,117621.43882857142,117680.2495479857,117621.43882857142,115177.42454285714,543.1142857142851,814.6714285714277,116923.0,1.999999999999996,118013.97341111785,-28.57684921003238,2.8299263185399015,-1.0721894954845854,0.11513206857354598,-1.1873215640581314,stop,4.0,5.0,100,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
BNBUSDT,1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-08-07 10:00:00+00:00,2025-08-07 11:00:00+00:00,2025-08-07 14:00:00+00:00,long,777.35,777.738675,772.6622464285714,772.2759153053571,772.6622464285714,787.891532142857,3.384285714285714,5.076428571428571,775.39,1.999999999999992,767.60988530652,0.11073352321272978,2.9637316527800643,-1.076102936893201,0.12213425785436895,-1.1982371947475698,stop,4.0,5.0,100,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LTCUSDT,1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-09-15 08:00:00+00:00,2025-09-15 09:00:00+00:00,2025-09-15 21:00:00+00:00,short,113.63,113.573185,113.57,113.62678499999998,114.90282785714285,110.91389928571428,0.8864285714285732,1.3296428571428598,113.84,1.999999999999997,115.35841438457211,-0.008796117440638795,2.908767234811403,-0.04031157668546018,0.0683491717432177,-0.10866074842867787,time_stop,4.0,5.0,100,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-10-01 08:00:00+00:00,2025-10-01 09:00:00+00:00,2025-10-01 21:00:00+00:00,long,0.8332,0.8336166,0.8406,0.8401797000000001,0.8207701714285714,0.8593094571428572,0.008564285714285722,0.012846428571428583,0.8158,2.0000000000000013,0.8053825463691306,0.00010485116873382161,2.7343148526452907,0.5108890742285267,0.05211709357798161,0.4587719806505451,time_stop,4.0,5.0,100,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LTCUSDT,1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-10-01 08:00:00+00:00,2025-10-01 09:00:00+00:00,2025-10-01 21:00:00+00:00,long,110.47,110.525235,112.34,112.28383000000001,109.1270207142857,113.32166357142857,0.9321428571428579,1.398214285714287,107.65,2.0000000000000027,106.37633862765264,0.01426886170349917,2.8682957251235957,1.2577435504470076,0.06374103519795653,1.194002515249051,time_stop,4.0,5.0,100,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
