timeframe,param_id,friction_case,entry_mode,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,taker_fee_bps_per_side,slippage_bps_per_side,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
1h,n100_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,100,14,2.0,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,8,22.150347441566645,0.375,-0.2678828245288576,-2.1430625962308607,-2.4942195072343787,4,0.5070464153455551,0.7347765530783281,-0.869478451093169
1h,n20_atr14_m1.2_vz2_cl0.7_cs0.3,base,next_close,20,14,1.2,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,72,78.64822429906542,0.3472222222222222,-0.27259266628496226,-19.626671972517283,-20.38080454151445,8,0.6125308882034329,1.2410736701113163,-1.0777343345808552
1h,n50_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,50,14,2.0,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,25,27.483069977426638,0.32,-0.2730603804640737,-6.826509511601843,-7.673749196533288,5,0.5537387310958761,1.0588255631199708,-0.8998302362683299
1h,n50_atr14_m1.2_vz1_cl0.75_cs0.25,base,next_close,50,14,1.2,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,61,64.81527272727273,0.3114754098360656,-0.30228767454595573,-18.4395481473033,-18.866101992401127,8,0.5227818595495684,1.0631639421315071,-0.9199919773286174
1h,n50_atr14_m1.5_vz2_cl0.8_cs0.2,base,next_close,50,14,1.5,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,26,27.626181818181816,0.34615384615384615,-0.3023197211180271,-7.860312749068704,-6.816175278817957,3,0.47074751534337655,0.7768236656033936,-0.8736309258528968
1h,n20_atr14_m1.2_vz1_cl0.7_cs0.3,base,next_close,20,14,1.2,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,129,134.95810955961332,0.31007751937984496,-0.3033803919633866,-39.136070563276874,-41.31598446445,11,0.5484998537692761,1.1886003338131756,-0.973933527143864
1h,n20_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,20,14,2.0,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,44,48.37020316027088,0.3409090909090909,-0.30432844512703566,-13.390451585589568,-15.036973077395592,8,0.5749105475716312,1.2073242167933187,-1.0862177530168742
1h,n100_atr14_m1.5_vz1.5_cl0.7_cs0.3,base,next_close,100,14,1.5,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,18,20.021317091739625,0.3333333333333333,-0.3060670365901061,-5.50920665862191,-5.900046293343536,4,0.4656304666529594,0.8000875509232214,-0.8591443303467697
1h,n20_atr14_m1.2_vz1.5_cl0.7_cs0.3,base,next_close,20,14,1.2,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,99,105.192,0.30303030303030304,-0.30834624064153493,-30.526277823511958,-29.482140353261205,10,0.5514811341399142,1.2511303014272765,-0.9863795198018875
1h,n50_atr14_m2_vz1_cl0.8_cs0.2,base,next_close,50,14,2.0,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,25,27.483069977426638,0.32,-0.30925825340251084,-7.731456335062771,-8.93546979084494,7,0.5170268144111847,1.0345735433539893,-0.9416496871702755
