event_definition,dislocation_definition,entry_mode,exit_model,friction_case,month,total_trades,trades_year,avg_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,profit_factor,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate
basket_return_le_1%,rel_btc_le_1%,next_close,fixed_horizon_6,base,2025-05,58,9.150971922246221,0.2756227057844233,0.33760924513108975,0.603448275862069,0.15986116935496553,-0.11239794728683694,1.998423583888997,1.9322876473587427,1.0,0.2881138043954164,1.0,0.875
basket_return_le_1%,rel_btc_le_2%,next_close,fixed_horizon_6,base,2025-05,15,2.3666306695464363,0.37774047025993307,0.6748332020913761,0.6,0.05666107053898996,-0.02901716481024308,1.5989154521146949,2.6800286556976993,1.0,0.3958599363025702,1.0,0.8333333333333334
basket_return_le_1%,symbol_zscore_le_-1,next_close,fixed_horizon_6,base,2025-05,175,27.610691144708422,0.14124196801115052,0.2663788696172587,0.5771428571428572,0.2471734440195134,-0.3025325557596184,1.4259177401791148,1.3067385487478227,1.0,0.3544100792187522,1.0,0.75
basket_return_le_1%,symbol_zscore_le_-2,next_close,fixed_horizon_6,base,2025-05,151,23.824082073434127,0.08327600816408133,0.1422233624533221,0.5562913907284768,0.1257467723277628,-0.3253987582287989,0.7794072519473151,1.1737548997482397,1.0,0.5824099093635873,1.0,0.625
basket_return_le_1%,rel_btc_le_-1_atr_equiv,next_close,fixed_horizon_6,base,2025-05,81,12.779805615550757,0.3185728708164286,0.381286210827172,0.6296296296296297,0.25804402536130716,-0.08636373513380499,2.9459546476336875,2.2656327949897563,1.0,0.2830108367661913,1.0,0.75
basket_return_le_1%,bottom_1_performer,next_close,fixed_horizon_6,base,2025-05,22,3.471058315334773,0.03491097948367736,0.06972561653319173,0.5454545454545454,0.007680415486409018,-0.05394451520340152,0.1075560225026652,1.0585219908040329,1.0,8.24063002825975,1.0,0.6666666666666666
basket_return_le_1%,bottom_2_performer,next_close,fixed_horizon_6,base,2025-05,44,6.942116630669546,0.10318434751086714,0.17760713245239762,0.5454545454545454,0.045401112904781535,-0.10466340122279941,0.4469036934166733,1.1787540675526988,1.0,1.2439325223973072,1.0,0.5714285714285714
basket_return_le_1%,bottom_3_performer,next_close,fixed_horizon_6,base,2025-05,66,10.41317494600432,0.1697142469933482,0.3017951394019303,0.5606060606060606,0.1120114030156098,-0.15017501458691873,0.9310793112129707,1.3206312176370991,1.0,0.7189474868344212,1.0,0.5714285714285714
basket_return_le_2%,rel_btc_le_1%,next_close,fixed_horizon_6,base,2025-05,33,5.20658747300216,0.23048615148847604,0.27370292375527244,0.5454545454545454,0.0760604299911971,-0.09205423602836316,1.1937175351469222,1.7238643000551532,1.0,0.396061085264977,1.0,0.75
basket_return_le_2%,rel_btc_le_2%,next_close,fixed_horizon_6,base,2025-05,15,2.3666306695464363,0.37774047025993307,0.6748332020913761,0.6,0.05666107053898996,-0.02901716481024308,1.5989154521146949,2.6800286556976993,1.0,0.3958599363025702,1.0,0.8333333333333334
basket_return_le_2%,symbol_zscore_le_-1,next_close,fixed_horizon_6,base,2025-05,40,6.311015118790497,0.23161911274660169,0.3132366784964114,0.575,0.09264764509864068,-0.08434173245746236,1.438560265203471,1.8356813062361146,1.0,0.38871351445801816,1.0,0.875
basket_return_le_2%,symbol_zscore_le_-2,next_close,fixed_horizon_6,base,2025-05,40,6.311015118790497,0.23161911274660169,0.3132366784964114,0.575,0.09264764509864068,-0.08434173245746236,1.438560265203471,1.8356813062361146,1.0,0.38871351445801816,1.0,0.875
basket_return_le_2%,rel_btc_le_-1_atr_equiv,next_close,fixed_horizon_6,base,2025-05,34,5.364362850971922,0.3521220962817716,0.3670283220323612,0.5882352941176471,0.11972151273580234,-0.052939893684608684,2.2946764151870567,2.6662699553518436,1.0,0.3008096950130009,1.0,0.875
basket_return_le_2%,bottom_1_performer,next_close,fixed_horizon_6,base,2025-05,5,0.7888768898488121,0.2763077829062777,-0.4709087624099583,0.4,0.013815389145313887,-0.012887822852434125,0.48663794707080804,1.7851031102157018,1.0,0.6696001673867428,1.0,1.0
basket_return_le_2%,bottom_2_performer,next_close,fixed_horizon_6,base,2025-05,10,1.5777537796976242,0.15385333540849708,-0.36898779436940526,0.4,0.015385333540849706,-0.031163235051522964,0.45939708423905307,1.4288914793717828,1.0,1.2898879664800968,1.0,0.4
basket_return_le_2%,bottom_3_performer,next_close,fixed_horizon_6,base,2025-05,15,2.3666306695464363,0.25789659722347635,-0.04915213888599716,0.4666666666666667,0.038684489583521456,-0.037970374724706504,1.0206304115469556,1.9063958975716486,1.0,0.4585679035719676,1.0,0.5714285714285714
breadth_down_1pct_ge_4,rel_btc_le_1%,next_close,fixed_horizon_6,base,2025-05,58,9.150971922246221,0.2756227057844233,0.33760924513108975,0.603448275862069,0.15986116935496553,-0.11239794728683694,1.998423583888997,1.9322876473587427,1.0,0.2881138043954164,1.0,0.875
