event_definition,dislocation_definition,exit_model,friction_case,total_trades_next_open,avg_return_pct_next_open,median_return_pct_next_open,cumulative_return_units_next_open,total_trades_next_close,avg_return_pct_next_close,median_return_pct_next_close,cumulative_return_units_next_close,avg_return_delta_close_minus_open_pct,cum_return_delta_close_minus_open
basket_return_le_1%,bottom_3_performer,fixed_horizon_12,stress,777,-0.10192880361860639,-0.07301801646625958,-0.7919868041165716,777,-0.0994890710840979,-0.11247524389332395,-0.7730300823234406,0.002439732534508493,0.018956721793131015
basket_return_le_1%,bottom_3_performer,fixed_horizon_6,base,777,0.025231814649054437,0.1584466859378209,0.196051199823153,777,0.025514132232109084,-0.04458410361213076,0.1982448074434876,0.0002823175830546469,0.0021936076203346033
basket_return_le_1%,bottom_3_performer,fixed_horizon_6,stress,777,-0.15482343956611427,-0.021741716641039275,-1.2029781254287077,777,-0.15454140415969492,-0.22456957676469474,-1.2007867103208294,0.0002820354064193564,0.0021914151078783473
basket_return_le_1%,bottom_3_performer,scaled_exit_6_12,base,777,0.05170559318429354,0.1572697116336142,0.4017524590419608,777,0.05306783872019076,-0.05724114980512389,0.4123371068558822,0.0013622455358972205,0.010584647813921433
basket_return_le_1%,bottom_3_performer,scaled_exit_6_12,stress,777,-0.12837612159236034,-0.022917514558552374,-0.9974824647726397,777,-0.1270152376218964,-0.2372139722305165,-0.986908396322135,0.0013608839704639386,0.010574068450504681
basket_return_le_1%,rel_basket_le_-1_atr_equiv,fixed_horizon_12,base,80,0.496216838139233,-0.5374887303449849,0.39697347051138643,80,0.4227408949967322,0.1199264461532202,0.33819271599738576,-0.07347594314250083,-0.058780754514000666
basket_return_le_1%,rel_basket_le_-1_atr_equiv,fixed_horizon_12,stress,80,0.31569083404014003,-0.7169815449537441,0.252552667232112,80,0.2422883301578717,-0.060223455417103146,0.19383066412629738,-0.07340250388226832,-0.05872200310581463
basket_return_le_1%,rel_basket_le_-1_atr_equiv,fixed_horizon_6,base,80,0.037821792822037084,-0.2944448598931814,0.030257434257629667,80,-0.03703007797963096,0.04131593650114292,-0.02962406238370477,-0.07485187080166805,-0.059881496641334436
basket_return_le_1%,rel_basket_le_-1_atr_equiv,fixed_horizon_6,stress,80,-0.14224604508574812,-0.47418059703258736,-0.1137968360685985,80,-0.21702310138645942,-0.13875539380586263,-0.17361848110916753,-0.0747770563007113,-0.05982164504056903
basket_return_le_1%,rel_basket_le_-1_atr_equiv,scaled_exit_6_12,base,80,0.26701931548063507,-0.40926727340437113,0.21361545238450802,80,0.19285540850855054,0.06322553288851071,0.15428432680684043,-0.07416390697208453,-0.05933112557766759
basket_return_le_1%,rel_basket_le_-1_atr_equiv,scaled_exit_6_12,stress,80,0.08672239447719603,-0.5888882454554277,0.06937791558175682,80,0.012632614385706191,-0.1168676960765068,0.010106091508564952,-0.07408978009148984,-0.05927182407319187
basket_return_le_1%,rel_basket_le_1%,fixed_horizon_12,base,49,2.5054378869111753,0.855622174501294,1.2276645645864759,49,2.2952680729109254,0.8143243276157366,1.1246813557263533,-0.21016981400024992,-0.10298320886012258
basket_return_le_1%,rel_basket_le_1%,fixed_horizon_12,stress,49,2.322903664868174,0.674736944499137,1.1382227957854054,49,2.112943915754517,0.6334803748425256,1.0353425187197134,-0.2099597491136569,-0.10288027706569203
basket_return_le_1%,rel_basket_le_1%,fixed_horizon_6,base,49,2.077679833623059,0.7072829395637825,1.0180631184752988,49,1.8573703221130704,0.39622595091099116,0.9101114578354045,-0.22030951150998845,-0.10795166063989436
basket_return_le_1%,rel_basket_le_1%,fixed_horizon_6,stress,49,1.8955731560748732,0.5265459747381397,0.9288308464766879,49,1.6754838440867323,0.2157998877786051,0.8209870836024988,-0.22008931198814086,-0.10784376287418906
basket_return_le_1%,rel_basket_le_1%,scaled_exit_6_12,base,49,2.291558860267117,0.6649000561594698,1.1228638415308874,49,2.0763191975119977,0.4682479478982949,1.017396406780879,-0.2152396627551192,-0.10546743475000842
basket_return_le_1%,rel_basket_le_1%,scaled_exit_6_12,stress,49,2.109238410471524,0.48420545305753354,1.0335268211310467,49,1.8942138799206243,0.28774989872595763,0.9281648011611059,-0.21502453055089954,-0.10536201996994077
basket_return_le_1%,rel_basket_le_2%,fixed_horizon_12,base,13,8.242229630465161,3.9261298602994015,1.0714898519604708,13,5.275345542030943,2.3814034038368703,0.6857949204640226,-2.9668840884342176,-0.3856949314964482
basket_return_le_1%,rel_basket_le_2%,fixed_horizon_12,stress,13,8.053961480775463,3.7421756555643655,1.04701499250081,13,5.090042795210959,2.1989931543526624,0.6617055633774247,-2.9639186855645043,-0.3853094291233854
basket_return_le_1%,rel_basket_le_2%,fixed_horizon_6,base,13,6.393419448773006,4.798356932138629,0.8311445283404908,13,3.419928619111502,1.2752121975744404,0.4445907204844953,-2.973490829661504,-0.38655380785599547
basket_return_le_1%,rel_basket_le_2%,fixed_horizon_6,stress,13,6.206999186245362,4.61353093579167,0.8069098942118971,13,3.2364803628963728,1.0939075870298343,0.4207424471765285,-2.970518823348989,-0.3861674470353686
basket_return_le_1%,rel_basket_le_2%,scaled_exit_6_12,base,13,7.3178245396190835,4.509979394988031,0.9513171901504808,13,4.347637080571223,1.7788744843264668,0.565192820474259,-2.9701874590478603,-0.38612436967622177
basket_return_le_1%,rel_basket_le_2%,scaled_exit_6_12,stress,13,7.130480333510411,4.325441632205555,0.9269624433563535,13,4.163261579053665,1.5970664629488422,0.5412240052769764,-2.967218754456746,-0.385738438079377
basket_return_le_1%,rel_basket_le_3%,fixed_horizon_12,base,4,25.885520957775356,25.093681800831224,1.0354208383110142,4,2.000887188781833,3.15150356713175,0.08003548755127332,-23.884633768993524,-0.9553853507597408
basket_return_le_1%,rel_basket_le_3%,fixed_horizon_12,stress,4,25.679618325182552,24.888570612069174,1.027184733007302,4,1.818857265539727,2.9683236019572337,0.07275429062158908,-23.860761059642826,-0.954430442385713
basket_return_le_1%,rel_basket_le_3%,fixed_horizon_6,base,4,22.56016912758761,21.94057108960904,0.9024067651035044,4,-0.6364574305177345,0.40499550478611746,-0.02545829722070938,-23.196626558105343,-0.9278650623242137
basket_return_le_1%,rel_basket_le_3%,fixed_horizon_6,stress,4,22.35759018664102,21.73861143736571,0.8943036074656407,4,-0.8158513258364952,0.22456067647807984,-0.03263405303345981,-23.173441512477513,-0.9269376604991005
basket_return_le_1%,rel_basket_le_3%,scaled_exit_6_12,base,4,24.22284504268148,23.517126445220132,0.9689138017072593,4,0.6822148791320495,1.7782495359589339,0.027288595165281978,-23.54063016354943,-0.9416252065419773
basket_return_le_1%,rel_basket_le_3%,scaled_exit_6_12,stress,4,24.018604255911786,23.313591024717443,0.9607441702364714,4,0.5015029698516154,1.5964421392176564,0.020060118794064614,-23.51710128606017,-0.9406840514424067
basket_return_le_1%,rel_btc_le_-1_atr_equiv,fixed_horizon_12,base,655,0.041052394691178974,0.09964368995839754,0.2688931852272223,655,0.16988562765165927,0.11502189851665631,1.1127508611183683,0.1288332329604803,0.843857675891146
basket_return_le_1%,rel_btc_le_-1_atr_equiv,fixed_horizon_12,stress,655,-0.13901867220559688,-0.08048593898190667,-0.9105723029466595,655,-0.010314208158005002,-0.06512310095460702,-0.06755806343493276,0.1287044640475919,0.8430142395117267
