event_definition,dislocation_definition,occurrences,symbols,first_signal,last_signal,avg_event_return_pct,avg_rel_to_btc_pct,avg_rel_to_basket_pct,avg_forward_1_pct,median_forward_1_pct,win_rate_forward_1,avg_forward_3_pct,median_forward_3_pct,win_rate_forward_3,avg_forward_6_pct,median_forward_6_pct,win_rate_forward_6,avg_forward_12_pct,median_forward_12_pct,win_rate_forward_12
basket_return_le_1%,rel_btc_le_1%,419,8,2025-05-09T08:30:00+00:00,2026-03-21T23:45:00+00:00,-2.784420145664068,-1.8873182257655812,-0.4654940918444074,-0.011664313178761087,0.1666666666666483,0.5608591885441527,0.5339422698263543,0.40361006782891895,0.6539379474940334,0.5381037217588653,0.47988708539166147,0.6324582338902148,0.7676263944937594,0.8233157901065713,0.6563245823389021
basket_return_le_1%,rel_btc_le_2%,84,8,2025-05-09T08:30:00+00:00,2026-02-06T00:00:00+00:00,-5.422054039199095,-4.059345676862935,-1.1116268801612268,-0.3084574143432307,0.2474736993968718,0.5476190476190477,1.7047569910802944,1.2244119983303214,0.7380952380952381,1.7419009081124193,1.0907026532026465,0.7142857142857143,2.63761409263969,1.6648252615994563,0.7857142857142857
basket_return_le_1%,symbol_zscore_le_-1,2014,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.5718982289800485,-0.6677012294004682,-0.030533324840012303,0.03879702368003016,0.09078448383667004,0.5402184707050646,0.10761231254881175,0.11964935420396561,0.55759682224429,0.11400410473570671,0.18652299293591135,0.5655412115193644,0.12997023849803438,0.3187560438602466,0.573982125124131
basket_return_le_1%,symbol_zscore_le_-2,1717,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.6517856431091889,-0.7211332230727896,-0.0569917740567047,0.01697620091984667,0.08213951352211701,0.5381479324403029,0.0946833994947416,0.11000768546844952,0.5521258008153757,0.08271586548775006,0.16651248843664312,0.5626092020966803,0.08890905268431587,0.2764152299998379,0.5631916132789749
basket_return_le_1%,rel_btc_le_-1_atr_equiv,655,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-2.1724372577686477,-1.383951304179793,-0.2585858258056137,-0.08192047018936986,0.0,0.4961832061068702,0.1317696191082129,0.14010507880910517,0.5633587786259542,0.055510390303579356,0.2366863905325367,0.5633587786259542,0.23346320716715435,0.3850073604348303,0.5954198473282443
basket_return_le_1%,bottom_1_performer,259,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-2.1519212589019987,-1.2543770682862647,-0.6133168099567542,0.053705040410474615,0.08714373590321678,0.525096525096525,0.21091308116838314,0.1744093863960572,0.5907335907335908,0.2506978051839601,0.2424408764466479,0.5598455598455598,0.3996964001198299,0.4112737389621479,0.5598455598455598
basket_return_le_1%,bottom_2_performer,518,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-2.0400489850109134,-1.1425047943951792,-0.5014445360656685,0.05242032784337894,0.07543840921444556,0.525096525096525,0.1763247232756675,0.14971018372959,0.5675675675675675,0.22020611099577464,0.16928462418251966,0.5617760617760618,0.2987994185700587,0.3981405496984891,0.5714285714285714
basket_return_le_1%,bottom_3_performer,777,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.9548216776848513,-1.0572774870691173,-0.41621722873960676,0.026280277904326167,0.07408583373023081,0.5302445302445302,0.15624934013467712,0.13945233265721946,0.5688545688545689,0.20189263922944065,0.2426609848484862,0.5688545688545689,0.2728507049254551,0.41473530129301217,0.5778635778635779
basket_return_le_2%,rel_btc_le_1%,191,8,2025-05-09T08:30:00+00:00,2026-03-21T23:45:00+00:00,-3.8758757568163813,-2.5306685356117855,-0.44125205182719135,-0.09261966949927657,0.056811725940231206,0.5340314136125655,0.8158988426654223,0.4431758431608257,0.6335078534031413,0.5861383130349342,0.375586854460086,0.612565445026178,1.2704861068980282,1.0456154641436122,0.6544502617801047
basket_return_le_2%,rel_btc_le_2%,74,8,2025-05-09T08:30:00+00:00,2026-02-06T00:00:00+00:00,-5.733026863167989,-4.23403681287157,-1.0306783417713568,-0.2267666982319388,0.36261584415164805,0.5675675675675675,1.8838360548869515,1.2244119983303214,0.7567567567567568,1.7507877536656415,0.970992909204127,0.7162162162162162,2.844646441809675,1.7242460662299397,0.7972972972972973
basket_return_le_2%,symbol_zscore_le_-1,287,8,2025-05-09T08:30:00+00:00,2026-03-21T23:45:00+00:00,-3.2602692730833147,-1.7968207174482669,-0.050270890828054866,-0.11293375022109449,-0.004629843974268688,0.4912891986062718,0.46916139735965706,0.15495867768595684,0.5644599303135889,0.41600288606105235,0.18115727529985914,0.5679442508710801,0.8460728590226195,0.5766871165644005,0.5993031358885017
basket_return_le_2%,symbol_zscore_le_-2,269,8,2025-05-09T08:30:00+00:00,2026-03-21T23:45:00+00:00,-3.2965679125861915,-1.8187015769914112,-0.031249030388278413,-0.189926090304335,-0.060967977680070895,0.4721189591078067,0.3910287582595788,0.0966297349435985,0.5427509293680297,0.3448385399484438,0.17376194613378804,0.5613382899628253,0.72547433386508,0.5364167362021721,0.5836431226765799
basket_return_le_2%,rel_btc_le_-1_atr_equiv,188,8,2025-05-09T08:30:00+00:00,2026-03-21T23:45:00+00:00,-3.691399523890378,-2.37767118918182,-0.2987486243158028,-0.24410845035300957,-0.03686589423210762,0.4734042553191489,0.42162096500484253,0.25947191926186663,0.5691489361702128,0.23437432176863604,0.3076290822048189,0.5957446808510638,0.798974055956108,0.7503959290058315,0.6223404255319149
basket_return_le_2%,bottom_1_performer,38,7,2025-05-09T08:30:00+00:00,2026-03-21T23:45:00+00:00,-4.342155897222253,-2.9122744149055726,-1.1896173321382957,-0.09415268508596893,-0.15468764055766027,0.39473684210526316,0.9171537709884933,0.27487640248540224,0.631578947368421,1.0382684709303924,0.3677534434449292,0.6578947368421053,2.0686161682101942,1.018240461596498,0.6578947368421053
basket_return_le_2%,bottom_2_performer,76,8,2025-05-09T08:30:00+00:00,2026-03-21T23:45:00+00:00,-4.224433445340774,-2.7945519630240936,-1.0718948802568158,0.026833056506019096,-0.058261766617812016,0.4473684210526316,0.8332875786132246,0.2943007151759991,0.631578947368421,0.8251510708681344,0.26334671046096547,0.5921052631578947,1.6424154149728718,0.8665857028752555,0.6578947368421053
basket_return_le_2%,bottom_3_performer,114,8,2025-05-09T08:30:00+00:00,2026-03-21T23:45:00+00:00,-4.083154369427133,-2.653272887110451,-0.9306158043431739,-0.12482387747604039,-0.05110955565925668,0.45614035087719296,0.7057583253531909,0.21562166279639472,0.6052631578947368,0.6655633588085569,0.2645044561902399,0.5789473684210527,1.4145435432055948,0.8292524603783824,0.631578947368421
breadth_down_1pct_ge_4,rel_btc_le_1%,465,8,2025-05-09T08:30:00+00:00,2026-03-21T23:45:00+00:00,-2.6570173207674017,-1.8208348516999286,-0.4767957255483183,0.011322883969034782,0.14708159157763578,0.5720430107526882,0.5215674015008185,0.3917843998575199,0.6494623655913978,0.5596557922076622,0.49264043256234125,0.6430107526881721,0.7467290171006926,0.8205796157603418,0.6451612903225806
breadth_down_1pct_ge_4,rel_btc_le_2%,85,8,2025-05-09T08:30:00+00:00,2026-02-06T00:00:00+00:00,-5.391937097121369,-4.0363300848603245,-1.1212845880278823,-0.32748130463144115,0.2253725917848115,0.5411764705882353,1.6562533228412046,1.211596711380336,0.7294117647058823,1.6985444314764304,1.0130494505494525,0.7058823529411765,2.588355735907156,1.6438356164383494,0.7764705882352941
breadth_down_1pct_ge_4,symbol_zscore_le_-1,2583,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.4421783123882144,-0.615233402726802,-0.03811709053824747,0.04353248499705093,0.09048072290571696,0.5466511807975223,0.07420373930373995,0.11355893708835385,0.5528455284552846,0.050475292393981706,0.14003640946647078,0.5528455284552846,0.001145226889695615,0.1944768572539779,0.5451025938830817
breadth_down_1pct_ge_4,symbol_zscore_le_-2,2107,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.5390471389649325,-0.6740229101600305,-0.07050365559030677,0.01366035758367737,0.08151204849966565,0.5415282392026578,0.0595106065593009,0.10306871955305663,0.5472235405790223,0.02342950568522844,0.1268271029519097,0.550545799715235,-0.017477217265068262,0.17755681818181213,0.5415282392026578
breadth_down_1pct_ge_4,rel_btc_le_-1_atr_equiv,797,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-2.0014777105347266,-1.2856923528278776,-0.2673414028988738,-0.06522128167617758,0.018395202531173993,0.506900878293601,0.10416583226336584,0.11969776314804115,0.548306148055207,0.01394418712826444,0.19120458891013214,0.5545796737766625,0.16701901410919207,0.3334408949123402,0.5859473023839398
breadth_down_1pct_ge_4,bottom_1_performer,334,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.983749140438942,-1.1660134606727557,-0.5844100004545294,0.056935802225254135,0.08916942392260818,0.5329341317365269,0.15246997926236353,0.1709282028759751,0.5718562874251497,0.1640438975967802,0.21786682268322144,0.562874251497006,0.20762112435990832,0.24671955236444942,0.5419161676646707
breadth_down_1pct_ge_4,bottom_2_performer,668,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.8766636725889014,-1.0589279928227153,-0.47732453260448904,0.05952186807124893,0.09134321013385405,0.5404191616766467,0.12808202507547883,0.12269156533022407,0.5598802395209581,0.13163791703461983,0.15277794834710479,0.5568862275449101,0.13061290202235276,0.23588384455716094,0.5464071856287425
breadth_down_1pct_ge_4,bottom_3_performer,1002,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.7969380778281536,-0.9792023980619676,-0.39759893784374106,0.03770287669205185,0.09267858700182652,0.5439121756487026,0.11716067299982398,0.12316530070287657,0.5588822355289421,0.11882887377705623,0.1808747388781562,0.5568862275449101,0.10860977274111656,0.23588384455716094,0.5489021956087824
breadth_down_1pct_ge_5,rel_btc_le_1%,419,8,2025-05-09T08:30:00+00:00,2026-03-21T23:45:00+00:00,-2.784420145664068,-1.8873182257655812,-0.4654940918444074,-0.011664313178761087,0.1666666666666483,0.5608591885441527,0.5339422698263543,0.40361006782891895,0.6539379474940334,0.5381037217588653,0.47988708539166147,0.6324582338902148,0.7676263944937594,0.8233157901065713,0.6563245823389021
breadth_down_1pct_ge_5,rel_btc_le_2%,84,8,2025-05-09T08:30:00+00:00,2026-02-06T00:00:00+00:00,-5.422054039199095,-4.059345676862935,-1.1116268801612268,-0.3084574143432307,0.2474736993968718,0.5476190476190477,1.7047569910802944,1.2244119983303214,0.7380952380952381,1.7419009081124193,1.0907026532026465,0.7142857142857143,2.63761409263969,1.6648252615994563,0.7857142857142857
breadth_down_1pct_ge_5,symbol_zscore_le_-1,2014,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.5718982289800485,-0.6677012294004682,-0.030533324840012303,0.03879702368003016,0.09078448383667004,0.5402184707050646,0.10761231254881175,0.11964935420396561,0.55759682224429,0.11400410473570671,0.18652299293591135,0.5655412115193644,0.12997023849803438,0.3187560438602466,0.573982125124131
breadth_down_1pct_ge_5,symbol_zscore_le_-2,1717,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.6517856431091889,-0.7211332230727896,-0.0569917740567047,0.01697620091984667,0.08213951352211701,0.5381479324403029,0.0946833994947416,0.11000768546844952,0.5521258008153757,0.08271586548775006,0.16651248843664312,0.5626092020966803,0.08890905268431587,0.2764152299998379,0.5631916132789749
breadth_down_1pct_ge_5,rel_btc_le_-1_atr_equiv,655,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-2.1724372577686477,-1.383951304179793,-0.2585858258056137,-0.08192047018936986,0.0,0.4961832061068702,0.1317696191082129,0.14010507880910517,0.5633587786259542,0.055510390303579356,0.2366863905325367,0.5633587786259542,0.23346320716715435,0.3850073604348303,0.5954198473282443
breadth_down_1pct_ge_5,bottom_1_performer,259,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-2.1519212589019987,-1.2543770682862647,-0.6133168099567542,0.053705040410474615,0.08714373590321678,0.525096525096525,0.21091308116838314,0.1744093863960572,0.5907335907335908,0.2506978051839601,0.2424408764466479,0.5598455598455598,0.3996964001198299,0.4112737389621479,0.5598455598455598
breadth_down_1pct_ge_5,bottom_2_performer,518,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-2.0400489850109134,-1.1425047943951792,-0.5014445360656685,0.05242032784337894,0.07543840921444556,0.525096525096525,0.1763247232756675,0.14971018372959,0.5675675675675675,0.22020611099577464,0.16928462418251966,0.5617760617760618,0.2987994185700587,0.3981405496984891,0.5714285714285714
breadth_down_1pct_ge_5,bottom_3_performer,777,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.9548216776848513,-1.0572774870691173,-0.41621722873960676,0.026280277904326167,0.07408583373023081,0.5302445302445302,0.15624934013467712,0.13945233265721946,0.5688545688545689,0.20189263922944065,0.2426609848484862,0.5688545688545689,0.2728507049254551,0.41473530129301217,0.5778635778635779
breadth_down_1pct_ge_6,rel_btc_le_1%,372,8,2025-05-09T08:30:00+00:00,2026-03-21T23:45:00+00:00,-2.9270565684168535,-1.9659568286910072,-0.4546159271845391,-0.0007747437304463851,0.17684575313929862,0.5591397849462365,0.6271603050345075,0.4350068214239,0.6586021505376344,0.5951244036169314,0.4970938797109081,0.6424731182795699,0.898806021335234,0.9057545373104436,0.6801075268817204
breadth_down_1pct_ge_6,rel_btc_le_2%,83,8,2025-05-09T08:30:00+00:00,2026-02-06T00:00:00+00:00,-5.450332052460525,-4.0747991517082545,-1.100920189626876,-0.3112574568098574,0.2695748070089321,0.5542168674698795,1.7425752567713548,1.2372272852803068,0.7469879518072289,1.7779413619201754,1.1683558558558405,0.7228915662650602,2.6815664340897873,1.6858149067605632,0.7951807228915663
breadth_down_1pct_ge_6,symbol_zscore_le_-1,1538,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.7192556848642702,-0.7326241943334104,-0.03650724724409653,0.05572829634900054,0.08760145583467382,0.5396618985695709,0.17415889110010355,0.13629591650970996,0.570221066319896,0.20520749038407388,0.24322225254126417,0.5851755526657998,0.2645197165127382,0.415808791414396,0.5968790637191157
breadth_down_1pct_ge_6,symbol_zscore_le_-2,1356,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-1.782638094883772,-0.7769766811665829,-0.05383224859424572,0.029796721235656923,0.08443103402863139,0.5376106194690266,0.1682748756025568,0.129568519869816,0.5663716814159292,0.17955237631251775,0.22751384881641856,0.5833333333333334,0.21840524265488512,0.3730263305070092,0.588495575221239
breadth_down_1pct_ge_6,rel_btc_le_-1_atr_equiv,537,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-2.3471990786009673,-1.4856973767752073,-0.25626999611694856,-0.09113138599666519,-0.013982102908272065,0.48789571694599626,0.23601471719105943,0.16499912234511083,0.5735567970204841,0.13852854600677691,0.2867017516298809,0.5828677839851024,0.35609391829756565,0.4872712808273727,0.6163873370577281
breadth_down_1pct_ge_6,bottom_1_performer,197,8,2025-05-09T08:30:00+00:00,2026-04-29T18:00:00+00:00,-2.3392705183760034,-1.3593595489894208,-0.6572093271327569,0.06050610564838326,0.08714373590321678,0.5076142131979695,0.3001118742669582,0.15882183078255174,0.5888324873096447,0.3573586624029733,0.26820836810108606,0.5786802030456852,0.5974641529816312,0.5773535996229429,0.5888324873096447
