event_definition,dislocation_definition,entry_mode,exit_model,friction_case,total_trades,trades_year,avg_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,profit_factor,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate
basket_return_le_1%,rel_btc_le_1%,next_close,fixed_horizon_6,base,419,66.10788336933045,0.45990907550842763,0.1974846273602138,0.5560859188544153,1.9270190263803118,-0.985235855740805,2.5188344768817,1.6737200211770784,0.5565070163630181,0.3203409118542644,0.5454545454545454,0.875
basket_return_le_1%,rel_btc_le_2%,next_close,fixed_horizon_6,base,84,13.253131749460044,2.5674574811716675,0.9460885903306429,0.7261904761904762,2.1566642841842008,-0.32183559563452224,3.521206505558389,4.942509615213497,0.6450105032713048,0.26642086495816886,1.0,0.875
basket_return_le_1%,symbol_zscore_le_-1,next_close,fixed_horizon_6,base,2014,317.75961123110153,-0.08587551868812991,-0.05708991412347368,0.4741807348560079,-1.7295329463789364,-3.7228386816409644,-1.7998833444895683,0.8641036035234498,,,0.5,0.125
basket_return_le_1%,symbol_zscore_le_-2,next_close,fixed_horizon_6,base,1717,270.9003239740821,-0.09128672201680843,-0.0823983872331379,0.46825859056493885,-1.5673930170286008,-3.3361701266086667,-1.7054814002350371,0.855233447914593,,,0.5,0.0
basket_return_le_1%,rel_btc_le_-1_atr_equiv,next_close,fixed_horizon_6,base,655,103.34287257019439,0.005569047259517886,-0.036895060822814615,0.48396946564885496,0.036477259549842156,-1.2889250780847883,0.04810303189718234,1.0079903207716543,7.228185261980464,5.421244988519232,0.4166666666666667,0.375
basket_return_le_1%,bottom_1_performer,next_close,fixed_horizon_6,base,259,40.863822894168464,0.07627949249466628,-0.023917147244398796,0.49034749034749037,0.19756388556118568,-0.45801644192836827,0.4275128941992393,1.117874932384108,0.937722002924077,1.6806568832251858,0.6666666666666666,0.5
basket_return_le_1%,bottom_2_performer,next_close,fixed_horizon_6,base,518,81.72764578833693,0.016548840582860203,-0.047985878626763886,0.47297297297297297,0.08572299421921586,-0.8398063303553549,0.1446871443137037,1.024652314161673,3.7203906547742696,4.172293039776193,0.6666666666666666,0.375
basket_return_le_1%,bottom_3_performer,next_close,fixed_horizon_6,base,777,122.59146868250541,0.025514132232109084,-0.04458410361213076,0.4800514800514801,0.1982448074434876,-1.2750109147847621,0.2751501012658253,1.038897426600525,1.9859865476123795,2.534567287073048,0.6666666666666666,0.625
basket_return_le_2%,rel_btc_le_1%,next_close,fixed_horizon_6,base,191,30.135097192224624,1.0033482427042317,0.37619510768211134,0.581151832460733,1.9163951435650823,-0.5319862709284862,2.7856007506677614,2.3331266235676456,0.591933638882866,0.25992700396940555,0.7,1.0
basket_return_le_2%,rel_btc_le_2%,next_close,fixed_horizon_6,base,74,11.675377969762419,2.7373211395717623,0.9842645689523335,0.7432432432432432,2.025617643283104,-0.30996867120451277,3.356437216936901,5.022752484714842,0.60906449607897,0.2710936829788436,1.0,0.875
basket_return_le_2%,symbol_zscore_le_-1,next_close,fixed_horizon_6,base,287,45.281533477321815,0.6538680369499041,0.05677995125660481,0.5226480836236934,1.876601266046225,-0.5693917617860251,2.6207532343466364,1.9256422048239497,0.4671932205462254,0.265912331518567,0.7,1.0
basket_return_le_2%,symbol_zscore_le_-2,next_close,fixed_horizon_6,base,269,42.441576673866095,0.6877498056115326,0.06165672078698677,0.5278810408921933,1.850046977095023,-0.5693917617860251,2.6341457346847332,2.007007416605296,0.46494501000833616,0.22113706783279766,0.7,1.0
basket_return_le_2%,rel_btc_le_-1_atr_equiv,next_close,fixed_horizon_6,base,188,29.661771058315335,0.7047979637787403,0.19552829574002398,0.5638297872340425,1.3250201719040318,-0.5428768815930337,2.026499353374563,1.9852237903683887,0.6581890418530771,0.2621546363316129,0.8,1.0
basket_return_le_2%,bottom_1_performer,next_close,fixed_horizon_6,base,38,5.995464362850972,1.5194378974665552,0.3357981581004111,0.5789473684210527,0.577386401037291,-0.039240118178654915,1.594826838305855,4.944665033731899,0.6908837301215213,0.6428427076820119,0.7,1.0
basket_return_le_2%,bottom_2_performer,next_close,fixed_horizon_6,base,76,11.990928725701943,1.0271694064264203,0.33051639441448405,0.5394736842105263,0.7806487488840794,-0.13721736840593918,1.729140856901428,2.5315871983037486,0.6436973658430951,0.4145982258598687,0.7,0.75
basket_return_le_2%,bottom_3_performer,next_close,fixed_horizon_6,base,114,17.986393088552916,1.0360335502845006,0.2238933513628494,0.5350877192982456,1.1810782473243309,-0.26099490653832724,2.0785562268739963,2.443534152292928,0.648965693084465,0.5258935004711607,0.7,0.625
breadth_down_1pct_ge_4,rel_btc_le_1%,next_close,fixed_horizon_6,base,465,73.36555075593952,0.4320223058652084,0.23168157864147612,0.5612903225806452,2.008903722273219,-1.0498310797186194,2.6061064114852974,1.653083323083048,0.5260431544749493,0.3223119239103248,0.5454545454545454,0.875
breadth_down_1pct_ge_4,rel_btc_le_2%,next_close,fixed_horizon_6,base,85,13.410907127429805,2.5383547313817494,0.9273689885198302,0.7294117647058823,2.157601521674487,-0.32183559563452224,3.520116042783854,4.944222940669058,0.6447303180660102,0.2663051347733665,1.0,0.875
breadth_down_1pct_ge_4,symbol_zscore_le_-1,next_close,fixed_horizon_6,base,2583,407.53380129589635,-0.1919088325605138,-0.13726225659735683,0.4440572977158343,-4.957005145038071,-6.148961828440253,-4.88870885106027,0.7151614607696563,,,0.4166666666666667,0.0
breadth_down_1pct_ge_4,symbol_zscore_le_-2,next_close,fixed_horizon_6,base,2107,332.4327213822894,-0.17877339918298862,-0.1294954542930359,0.44565733270052205,-3.76675552078557,-5.010283144839674,-3.9257288594533484,0.7309769549227273,,,0.4166666666666667,0.0
breadth_down_1pct_ge_4,rel_btc_le_-1_atr_equiv,next_close,fixed_horizon_6,base,797,125.74697624190065,-0.09540532406991127,-0.08588218131987173,0.4642409033877039,-0.7603804328371928,-1.6548519690404904,-0.9701207071665338,0.8688811755853147,,,0.4166666666666667,0.25
breadth_down_1pct_ge_4,bottom_1_performer,next_close,fixed_horizon_6,base,334,52.69697624190065,-0.0637998113276844,-0.09380987610171135,0.46107784431137727,-0.21309136983446592,-0.7103359548319719,-0.4418448279121024,0.9088997507027887,,,0.5833333333333334,0.5
breadth_down_1pct_ge_4,bottom_2_performer,next_close,fixed_horizon_6,base,668,105.3939524838013,-0.11901480438722188,-0.12220546315114036,0.4476047904191617,-0.7950188933066421,-1.4116377673961353,-1.2762618093436011,0.8352457412889402,,,0.4166666666666667,0.125
breadth_down_1pct_ge_4,bottom_3_performer,next_close,fixed_horizon_6,base,1002,158.09092872570196,-0.11066170740841307,-0.12220546315114036,0.45209580838323354,-1.1088303082322988,-2.1351820772333214,-1.4653140073578843,0.8438267394226656,,,0.4166666666666667,0.25
breadth_down_1pct_ge_5,rel_btc_le_1%,next_close,fixed_horizon_6,base,419,66.10788336933045,0.45990907550842763,0.1974846273602138,0.5560859188544153,1.9270190263803118,-0.985235855740805,2.5188344768817,1.6737200211770784,0.5565070163630181,0.3203409118542644,0.5454545454545454,0.875
breadth_down_1pct_ge_5,rel_btc_le_2%,next_close,fixed_horizon_6,base,84,13.253131749460044,2.5674574811716675,0.9460885903306429,0.7261904761904762,2.1566642841842008,-0.32183559563452224,3.521206505558389,4.942509615213497,0.6450105032713048,0.26642086495816886,1.0,0.875
breadth_down_1pct_ge_5,symbol_zscore_le_-1,next_close,fixed_horizon_6,base,2014,317.75961123110153,-0.08587551868812991,-0.05708991412347368,0.4741807348560079,-1.7295329463789364,-3.7228386816409644,-1.7998833444895683,0.8641036035234498,,,0.5,0.125
