timestamp,symbol,friction_mode,allocation,trade_return,account_return,equity,total_return_pct,active_positions_before_entry
2020-02-15 21:15:00+00:00,XRPUSDT,base,0.005,0.0336307461781208,0.000168153730890604,1.0001681537308906,0.016815373089063,0
2020-02-16 20:00:00+00:00,LTCUSDT,base,0.005,0.0186994338101437,9.349716905071851e-05,1.0002616666218391,0.026166662183912948,0
2020-03-12 10:30:00+00:00,ADAUSDT,base,0.005,-0.0252339168382792,-0.000126169584191396,1.000135464023279,0.013546402327890839,2
2020-03-12 10:30:00+00:00,LTCUSDT,base,0.005,-0.039177859640944,-0.00019588929820472,0.9999395481891218,-0.006045181087821483,1
2020-03-12 10:30:00+00:00,XRPUSDT,base,0.005,-0.0141064158868609,-7.053207943430449e-05,0.9998690203734794,-0.013097962652064421,0
2020-03-12 14:00:00+00:00,ADAUSDT,base,0.005,-0.0469597968139217,-0.0002347989840696085,0.9996342521432929,-0.0365747856707066,6
2020-03-12 14:00:00+00:00,BNBUSDT,base,0.005,0.0111903832009296,5.5951916004647994e-05,0.9996901835950042,-0.030981640499583296,1
2020-03-12 14:00:00+00:00,BTCUSDT,base,0.005,-0.0005017000430459,-2.5085002152295e-06,0.9996876758719635,-0.031232412803650078,4
2020-03-12 14:00:00+00:00,ETHUSDT,base,0.005,0.0225423215521433,0.00011271160776071651,0.9998003522771695,-0.019964772283054266,2
2020-03-12 14:00:00+00:00,LINKUSDT,base,0.005,-0.0552154453385552,-0.000276077226692776,0.9995243301686664,-0.047566983133362495,3
2020-03-12 14:00:00+00:00,LTCUSDT,base,0.005,-0.0404267332685485,-0.00020213366634274252,0.9993222926512106,-0.06777073487893581,0
2020-03-12 14:00:00+00:00,XRPUSDT,base,0.005,-0.0005341417954734,-2.670708977367e-06,0.9993196237521923,-0.06803762478077013,5
2020-03-12 14:15:00+00:00,BTCUSDT,base,0.005,-0.0472802319112813,-0.00023640115955640651,0.9990833834343699,-0.0916616565630135,9
2020-03-12 14:15:00+00:00,ETHUSDT,base,0.005,-0.0252893372685194,-0.000126446686342597,0.9989570526511545,-0.10429473488454688,7
2020-03-12 14:15:00+00:00,LINKUSDT,base,0.005,-0.0678218381102714,-0.000339109190551357,0.9986182971336345,-0.13817028663655195,8
2020-03-12 19:30:00+00:00,ETHUSDT,base,0.005,0.0049012905037712,2.4506452518856e-05,0.9986427697255176,-0.13572302744824238,1
2020-03-12 19:30:00+00:00,LTCUSDT,base,0.005,0.0132666325769831,6.63331628849155e-05,0.9987090128590257,-0.1290987140974309,0
2020-03-12 22:00:00+00:00,LINKUSDT,base,0.005,-0.0643107475778048,-0.00032155373788902406,0.9983878742428774,-0.1612125757122551,2
2020-03-12 23:45:00+00:00,BNBUSDT,base,0.005,-0.1634609184587105,-0.0008173045922935525,0.9975718872483685,-0.24281127516314616,3
2020-03-12 23:45:00+00:00,ETHUSDT,base,0.005,-0.1647988059349174,-0.000823994029674587,0.9967498939691046,-0.3250106030895372,2
2020-03-12 23:45:00+00:00,LINKUSDT,base,0.005,-0.1805453961191447,-0.0009027269805957235,0.9958501009469128,-0.4149899053087158,1
2020-03-13 02:30:00+00:00,ADAUSDT,base,0.005,-0.2437884659263993,-0.0012189423296319966,0.9946362171049004,-0.5363782895099645,9
2020-03-13 02:30:00+00:00,BNBUSDT,base,0.005,-0.2520894662906314,-0.001260447331453157,0.9933825305392838,-0.6617469460716174,7
2020-03-13 02:30:00+00:00,BTCUSDT,base,0.005,-0.1770823991575102,-0.0008854119957875511,0.9925029777303386,-0.7497022269661424,4
2020-03-13 02:30:00+00:00,ETHUSDT,base,0.005,-0.1459777901968647,-0.0007298889509843234,0.9917785607730741,-0.8221439226925864,5
2020-03-13 02:30:00+00:00,LINKUSDT,base,0.005,-0.2220592870639643,-0.0011102964353198216,0.9906773925724212,-0.9322607427578844,3
2020-03-13 02:30:00+00:00,LTCUSDT,base,0.005,-0.1691383748931578,-0.000845691874465789,0.9898395847513057,-1.0160415248694266,8
2020-03-13 02:30:00+00:00,XRPUSDT,base,0.005,-0.1864051363088888,-0.000932025681544444,0.9889170288377082,-1.1082971162291844,6
2020-03-13 05:15:00+00:00,ADAUSDT,base,0.005,0.2939177421666011,0.0014695887108330055,0.9903703301392385,-0.9629669860761525,8
