friction_mode,allocation,month,monthly_return,monthly_return_pct
base,0.005,2020-02,0.0002616666218391295,0.026166662183912948
base,0.005,2020-03,-0.004911591634829016,-0.49115916348290156
base,0.005,2020-05,-0.00011737303476599958,-0.011737303476599958
base,0.005,2020-06,-0.00014574049253102128,-0.014574049253102128
base,0.005,2020-09,0.0001396761846799155,0.01396761846799155
base,0.005,2020-11,0.0010155609026156753,0.10155609026156753
base,0.005,2020-12,0.0019317404097860535,0.19317404097860535
base,0.005,2021-01,-0.0020238297715675646,-0.20238297715675646
base,0.005,2021-02,0.008659800490503855,0.8659800490503855
base,0.005,2021-04,0.008723284085053296,0.8723284085053296
base,0.005,2021-05,-0.00423031129669893,-0.423031129669893
base,0.005,2021-06,-0.000444382147860356,-0.0444382147860356
base,0.005,2021-08,0.00019788234607109878,0.019788234607109878
base,0.005,2021-09,0.002288107001103823,0.2288107001103823
base,0.005,2021-10,-7.177305469463491e-05,-0.007177305469463491
base,0.005,2021-11,0.0006085030988767226,0.06085030988767226
base,0.005,2021-12,0.0036561024457320013,0.3656102445732001
base,0.005,2022-01,0.001181733568311305,0.1181733568311305
base,0.005,2022-02,-0.0007887906242118881,-0.0788790624211888
base,0.005,2022-04,-1.1014543124132636e-05,-0.0011014543124132636
base,0.005,2022-05,0.010349948774286633,1.0349948774286633
base,0.005,2022-06,0.0009705440880514171,0.09705440880514171
base,0.005,2022-09,-0.0001038247153865024,-0.01038247153865024
base,0.005,2022-10,0.00018170487085700238,0.018170487085700238
base,0.005,2022-11,0.000924532972468084,0.0924532972468084
base,0.005,2022-12,-0.0002826272733700286,-0.028262727337002858
base,0.005,2023-01,-0.00023359104398523733,-0.023359104398523733
base,0.005,2023-03,0.000250169244900178,0.0250169244900178
base,0.005,2023-06,-0.0006253447394518608,-0.06253447394518608
base,0.005,2023-08,0.001184183862326993,0.11841838623269929
base,0.005,2024-03,0.0011570836217291713,0.11570836217291713
base,0.005,2024-04,0.005286095724485573,0.5286095724485573
base,0.005,2024-06,0.00047781555890380467,0.04778155589038047
base,0.005,2024-07,0.0005016459494970871,0.05016459494970871
base,0.005,2024-08,0.003820627238400709,0.3820627238400709
base,0.005,2024-11,-0.00011609190713179895,-0.011609190713179895
base,0.005,2024-12,0.0009747389775467408,0.09747389775467408
base,0.005,2025-01,0.0007045127507645521,0.07045127507645521
base,0.005,2025-02,-0.0049356799414169705,-0.49356799414169705
base,0.005,2025-03,0.0017905131024036347,0.17905131024036347
base,0.005,2025-04,-0.0014669307049000047,-0.14669307049000047
base,0.005,2025-06,-4.353254938560536e-05,-0.004353254938560536
base,0.005,2025-10,0.006495267185339992,0.6495267185339992
base,0.005,2025-11,0.0002879264426303152,0.02879264426303152
base,0.005,2026-01,-0.00033445409625920686,-0.033445409625920686
base,0.005,2026-02,0.002756879321745842,0.2756879321745842
base,0.01,2020-02,0.0005233646874738263,0.052336468747382625
base,0.01,2020-03,-0.009815647389806115,-0.9815647389806115
base,0.01,2020-05,-0.00023473842818033663,-0.023473842818033663
base,0.01,2020-06,-0.00029146730397555665,-0.029146730397555665
base,0.01,2020-09,0.0002793517910877341,0.02793517910877341
base,0.01,2020-11,0.002031426892116217,0.2031426892116217
base,0.01,2020-12,0.0038656090400248644,0.38656090400248644
base,0.01,2021-01,-0.004044378210894428,-0.4044378210894428
base,0.01,2021-02,0.01738787785422735,1.7387877854227352
base,0.01,2021-04,0.017516626102747068,1.7516626102747068
base,0.01,2021-05,-0.008462975554073715,-0.8462975554073715
base,0.01,2021-06,-0.0008890823638181278,-0.08890823638181278
base,0.01,2021-08,0.00039578336024526095,0.039578336024526095
base,0.01,2021-09,0.004580175719977708,0.4580175719977708
base,0.01,2021-10,-0.00014354610938926982,-0.014354610938926982
base,0.01,2021-11,0.0012172804539287707,0.12172804539287707
base,0.01,2021-12,0.00732269811256403,0.732269811256403
base,0.01,2022-01,0.002364101281524089,0.23641012815240892
base,0.01,2022-02,-0.0015773070181499538,-0.15773070181499538
base,0.01,2022-04,-2.2029086248376295e-05,-0.0022029086248376295
base,0.01,2022-05,0.020798368973057313,2.0798368973057313
base,0.01,2022-06,0.0019415433138403326,0.19415433138403326
base,0.01,2022-09,-0.00020769531623787696,-0.020769531623787696
base,0.01,2022-10,0.00036340974171400475,0.036340974171400475
base,0.01,2022-11,0.0018433349384003872,0.18433349384003872
base,0.01,2022-12,-0.0005652117380972044,-0.05652117380972044
base,0.01,2023-01,-0.00046715646176875847,-0.04671564617687585
base,0.01,2023-03,0.0005003715237097417,0.05003715237097417
base,0.01,2023-06,-0.0012503682813322925,-0.12503682813322925
base,0.01,2023-08,0.002369572018999788,0.23695720189997882
base,0.01,2024-03,0.0023152769782075477,0.23152769782075477
base,0.01,2024-04,0.010597957112338907,1.0597957112338907
base,0.01,2024-06,0.0009558074910722691,0.09558074910722691
base,0.01,2024-07,0.0010034711620630077,0.10034711620630077
base,0.01,2024-08,0.0076534308371916104,0.765343083719161
base,0.01,2024-11,-0.0002321838142634869,-0.02321838142634869
base,0.01,2024-12,0.0019499440639969556,0.19499440639969556
base,0.01,2025-01,0.0014093438485174303,0.14093438485174303
base,0.01,2025-02,-0.009850129706985067,-0.9850129706985067
base,0.01,2025-03,0.0035835274069140333,0.3583527406914033
base,0.01,2025-04,-0.0029324938357859764,-0.29324938357859764
base,0.01,2025-06,-8.706952819992342e-05,-0.008706952819992342
base,0.01,2025-10,0.013023531351207707,1.3023531351207707
base,0.01,2025-11,0.0005759065533754715,0.05759065533754715
base,0.01,2026-01,-0.0006688488102779555,-0.06688488102779555
base,0.01,2026-02,0.005520296556158488,0.5520296556158488
base,0.015,2020-02,0.0007850941969043124,0.07850941969043124
base,0.015,2020-03,-0.01471204309233276,-1.471204309233276
base,0.015,2020-05,-0.0003520961805006939,-0.03520961805006939
base,0.015,2020-06,-0.0004371804349548869,-0.04371804349548869
base,0.015,2020-09,0.0004190268147752363,0.04190268147752363
base,0.015,2020-11,0.003047596786621032,0.3047596786621032
base,0.015,2020-12,0.005801606001782922,0.5801606001782922
base,0.015,2021-01,-0.006061648906454997,-0.6061648906454997
base,0.015,2021-02,0.02618471191908389,2.618471191908389
base,0.015,2021-04,0.02638053915159988,2.638053915159988
base,0.015,2021-05,-0.012697827551890306,-1.2697827551890306
base,0.015,2021-06,-0.0013341001344316927,-0.13341001344316927
base,0.015,2021-08,0.0005937030425229306,0.05937030425229306
base,0.015,2021-09,0.006876209634165686,0.6876209634165686
base,0.015,2021-10,-0.0002153191640837937,-0.02153191640837937
base,0.015,2021-11,0.0018263321370497465,0.18263321370497465
base,0.015,2021-12,0.010999808980752146,1.0999808980752146
base,0.015,2022-01,0.003547103125463247,0.3547103125463247
base,0.015,2022-02,-0.0023655489718829026,-0.23655489718829026
base,0.015,2022-04,-3.304362937250893e-05,-0.003304362937250893
base,0.015,2022-05,0.03134610976845331,3.134610976845331
base,0.015,2022-06,0.0029129974775876644,0.29129974775876644
