friction_mode,allocation,allocation_pct,trades,account_total_return_pct,cagr_pct,max_drawdown_pct,worst_month_pct,best_month_pct,monthly_volatility_pct,sharpe_like,max_exposure_pct,average_exposure_pct,p95_exposure_pct,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,conservative_dd_ok,moderate_dd_ok,aggressive_dd_ok
base,0.005,0.5,676,4.672092582509002,0.7671892983389217,-1.2585712254177928,-0.49356799414169705,1.0349948774286633,0.30332040977055635,4.757556519288687,5.0,1.8357988165680474,4.5,3.671597633136095,10,9.0,True,True,True
base,0.01,1.0,676,9.552037139195457,1.5386460632899945,-2.502865704491608,-0.9850129706985067,2.0798368973057313,0.6082454390259664,4.757556519288687,10.0,3.671597633136095,9.0,3.671597633136095,10,9.0,True,True,True
base,0.015,1.5,676,14.648577641621241,2.3143789755463606,-3.7330259169998325,-1.4743427783104668,3.134610976845331,0.9147907810260859,4.757556519288686,15.0,5.507396449704141,13.5,3.671597633136095,10,9.0,True,True,True
base,0.02,2.0,676,19.970802549330614,3.0943965831373488,-4.949193149738862,-1.9615652411413165,4.199402681776587,1.2229722571964454,4.757556519288687,20.0,7.34319526627219,18.0,3.671597633136095,10,9.0,True,True,True
base,0.03,3.0,676,31.33045744418719,4.667319403109937,-7.3401079026532035,-2.9354044422740366,6.359384498496534,1.8443075429505982,4.757556519288686,30.0,11.014792899408283,27.0,3.671597633136095,10,9.0,True,True,True
base,0.05,5.0,676,57.199128768483185,7.864942383368767,-11.960107580734626,-4.876212878352004,10.803397499869938,3.1073222639139373,4.757556519288687,50.0,18.357988165680474,45.0,3.671597633136095,10,9.0,False,True,True
stress,0.005,0.5,676,4.032391926215384,0.6638521709149581,-1.3284129950136059,-0.5363451607864667,0.9930473685713537,0.3024538322608117,4.1235861985280575,5.0,1.8357988165680474,4.5,3.671597633136095,10,9.0,True,True,True
stress,0.01,1.0,676,8.217183377386794,1.330512481876589,-2.6407599956090766,-1.0714768717725698,1.9951120884577067,0.6062462377038652,4.1235861985280575,10.0,3.671597633136095,9.0,3.671597633136095,10,9.0,True,True,True
stress,0.015,1.5,676,12.559703882076189,1.9999790259318528,-3.9372146422383514,-1.6053840636007233,3.0062677960113193,0.9113910869367773,4.123586198528058,15.0,5.507396449704141,13.5,3.671597633136095,10,9.0,True,True,True
stress,0.02,2.0,676,17.0654520041267,2.6722497526127986,-5.2179489541107404,-2.1380557950468337,4.026588653097596,1.2179023644530471,4.1235861985280575,20.0,7.34319526627219,18.0,3.671597633136095,10,9.0,True,True,True
stress,0.03,3.0,676,26.58949880016259,4.025194828656953,-7.732936616913744,-3.1996497512857935,6.095025109451546,1.8350807141653074,4.123586198528058,30.0,11.014792899408283,27.0,3.671597633136095,10,9.0,True,True,True
stress,0.05,5.0,676,47.85814391914131,6.76462879769919,-12.581659638788267,-5.307544897228988,10.345201996330422,3.0864626060960467,4.123586198528058,50.0,18.357988165680474,45.0,3.671597633136095,10,9.0,False,True,True
cluster_stress,0.005,0.5,676,3.5406727433743512,0.5840596886671268,-1.3941763539903174,-0.6235823600007184,0.9632225216293033,0.3032892945741023,3.6307829531585796,5.0,1.8357988165680474,4.5,3.671597633136095,10,9.0,True,True,True
cluster_stress,0.01,1.0,676,7.196663027618477,1.1699437907277677,-2.7705206291155915,-1.2453056446829258,1.9348934232300996,0.6077035348977361,3.6307829531585796,10.0,3.671597633136095,9.0,3.671597633136095,10,9.0,True,True,True
cluster_stress,0.015,1.5,676,10.971348852949191,1.757645031437849,-4.1292389630243065,-1.865157922398919,2.915078916218028,0.9132558421773768,3.6307829531585796,15.0,5.507396449704141,13.5,3.671597633136095,10,9.0,True,True,True
cluster_stress,0.02,2.0,676,14.868193677711394,2.347156007758988,-5.470535394572806,-2.4831274291600702,3.9038456603496696,1.2199594438652328,3.6307829531585796,20.0,7.34319526627219,18.0,3.671597633136095,10,9.0,True,True,True
cluster_stress,0.03,3.0,676,23.04265168600894,3.531576911022416,-8.101668319140787,-3.713371911242347,5.907391797404737,1.8368739723567902,3.6307829531585796,30.0,11.014792899408283,27.0,3.671597633136095,10,9.0,True,True,True
cluster_stress,0.05,5.0,676,41.01975604954347,5.9217954706172415,-13.163620241489305,-6.150768580613164,10.020442452330425,3.0851123960441225,3.6307829531585787,50.0,18.357988165680474,45.0,3.671597633136095,10,9.0,False,True,True
